จำนวน,ประเภท,_id,ปี,อำเภอ
1,แปรรูปไม้,1,2566,เมืองอุทัยธานี
2,แปรรูปไม้,2,2566,หนองฉาง
0,แปรรูปไม้,3,2566,หนองขาหย่าง
1,แปรรูปไม้,4,2566,บ้านไร่
2,แปรรูปไม้,5,2566,ลานสัก
0,แปรรูปไม้,6,2566,ห้วยคต
1,แปรรูปไม้,7,2566,สว่างอารมณ์
0,แปรรูปไม้,8,2566,ทัพทัน
0,โรงโม่หิน,9,2566,เมืองอุทัยธานี
1,โรงโม่หิน,10,2566,หนองฉาง
0,โรงโม่หิน,11,2566,หนองขาหย่าง
1,โรงโม่หิน,12,2566,บ้านไร่
0,โรงโม่หิน,13,2566,ลานสัก
0,โรงโม่หิน,14,2566,ห้วยคต
0,โรงโม่หิน,15,2566,สว่างอารมณ์
0,โรงโม่หิน,16,2566,ทัพทัน
1,แปรรูปไม้,17,2567,เมืองอุทัยธานี
2,แปรรูปไม้,18,2567,หนองฉาง
0,แปรรูปไม้,19,2567,หนองขาหย่าง
1,แปรรูปไม้,20,2567,บ้านไร่
2,แปรรูปไม้,21,2567,ลานสัก
0,แปรรูปไม้,22,2567,ห้วยคต
1,แปรรูปไม้,23,2567,สว่างอารมณ์
0,แปรรูปไม้,24,2567,ทัพทัน
0,โรงโม่หิน,25,2567,เมืองอุทัยธานี
1,โรงโม่หิน,26,2567,หนองฉาง
0,โรงโม่หิน,27,2567,หนองขาหย่าง
1,โรงโม่หิน,28,2567,บ้านไร่
0,โรงโม่หิน,29,2567,ลานสัก
0,โรงโม่หิน,30,2567,ห้วยคต
0,โรงโม่หิน,31,2567,สว่างอารมณ์
0,โรงโม่หิน,32,2567,ทัพทัน
1,แปรรูปไม้,33,2568,เมืองอุทัยธานี
2,แปรรูปไม้,34,2568,หนองฉาง
0,แปรรูปไม้,35,2568,หนองขาหย่าง
1,แปรรูปไม้,36,2568,บ้านไร่
2,แปรรูปไม้,37,2568,ลานสัก
0,แปรรูปไม้,38,2568,ห้วยคต
1,แปรรูปไม้,39,2568,สว่างอารมณ์
0,แปรรูปไม้,40,2568,ทัพทัน
0,โรงโม่หิน,41,2568,เมืองอุทัยธานี
1,โรงโม่หิน,42,2568,หนองฉาง
0,โรงโม่หิน,43,2568,หนองขาหย่าง
1,โรงโม่หิน,44,2568,บ้านไร่
0,โรงโม่หิน,45,2568,ลานสัก
0,โรงโม่หิน,46,2568,ห้วยคต
0,โรงโม่หิน,47,2568,สว่างอารมณ์
0,โรงโม่หิน,48,2568,ทัพทัน
