ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการข้อมูล,จังหวัด,หน่วย
3,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,1,2563,เชียรใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,2,2563,ทุ่งใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,3,2563,พระพรหม,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,4,2563,สิชล,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,5,2563,หัวไทร,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
3,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,6,2564,เชียรใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,7,2564,ทุ่งใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,8,2564,พระพรหม,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,9,2564,สิชล,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,10,2564,หัวไทร,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
3,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,11,2565,เชียรใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,12,2565,ทุ่งใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
0,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,13,2565,พระพรหม,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,14,2565,สิชล,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,15,2565,หัวไทร,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
3,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,16,2566,เชียรใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,17,2566,ทุ่งใหญ่,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
0,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,18,2566,พระพรหม,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
1,สำนักงานอุตสาหกรรมจังหวัดนครศรีธรรมราช,19,2566,สิชล,โรงงานยางพาราที่ได้รับมาตรฐานการผลิตเกษตรอุตสาหกรรม(GMP),นครศรีธรรมราช,โรงงาน
