ประเภท,_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,ปีก่อตั้ง
ก่อผลกระทบด้านฝุ่น,1,2568,บริษัท โรงสีข้าวบุญสนอง จำกัด,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 60 เกวียน/วัน),ท่าบ่อ,ท่าบ่อ,2515
ก่อผลกระทบด้านฝุ่น,2,2568,บริษัท โรงสีข้าวบุญสนอง จำกัด (สาขา 1),"สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าวรวมกับของเดิมเป็น 80 เกวียน/วัน) ขัดข้าวกำลังการผลิต 10-12 ตัน/ชั่วโมง อบเมล็ดข้าวเปลือก (กำลังการผลิต 460 ตัน/วัน) และคัดคุณภาพข้าว
",ท่าบ่อ,ท่าบ่อ,2524
ก่อผลกระทบด้านฝุ่น,3,2568,มุ่ยเจริญ,ทำเส้นก๋วยเตี๋ยว,ท่าบ่อ,ท่าบ่อ,2528
ไม่ก่อผลกระทบด้านฝุ่น,4,2568,จิตเจริญน้ำแข็งหลอด,ทำน้ำแข็งก้อนเล็ก,ท่าบ่อ,ท่าบ่อ,2534
ก่อผลกระทบด้านฝุ่น,5,2568,เจริญชัยพลาสติก,ล้างบดหรือย่อยพลาสติก,โพนสา,ท่าบ่อ,2537
ไม่ก่อผลกระทบด้านฝุ่น,6,2568,โรงน้ำแข็งใจเจริญ,ทำน้ำแข็งก้อนเล็ก,ท่าบ่อ,ท่าบ่อ,2538
ก่อผลกระทบด้านฝุ่น,7,2568,อัญญารัตน์อิฐมอญ,ผลิตอิฐดินเผา,บ้านเดื่อ,ท่าบ่อ,2545
ก่อผลกระทบด้านฝุ่น,8,2568,บริษัท โรงสีข้าวศรีเรืองฤทธิ์ พระอาทิตย์ จำกัด,สีข้าว ขนาด 40 เกวียน/วัน,บ้านว่าน,ท่าบ่อ,2545
ไม่ก่อผลกระทบด้านฝุ่น,9,2568,เจริญชัย,ทำน้ำแข็งก้อนเล็ก,โพนสา,ท่าบ่อ,2546
ก่อผลกระทบด้านฝุ่น,10,2568,สงกรานต์ค้าไม้,ทำวงกบ ประตู หน้าต่าง และเครื่องเรือนเครื่องใช้จากไม้,ท่าบ่อ,ท่าบ่อ,2547
ก่อผลกระทบด้านฝุ่น,11,2568,โรงงานซีแพค ท่าบ่อ,ผลิตคอนกรีตผสมเสร็จ,บ้านเดื่อ,ท่าบ่อ,2549
ไม่ก่อผลกระทบด้านฝุ่น,12,2568,โรงน้ำแข็งหลักหิน,ทำน้ำแข็งก้อนเล็ก,ท่าบ่อ,ท่าบ่อ,2551
ก่อผลกระทบด้านฝุ่น,13,2568,บริษัท พรทวี พูนทรัพย์ ทชาภร-คมจักร การค้า จำกัด,ทำเส้นก๋วยเตี๋ยว,บ้านเดื่อ,ท่าบ่อ,2552
ก่อผลกระทบด้านฝุ่น,14,2568,ห้างหุ้นส่วนจำกัด ทีพีคอนกรีต ท่าบ่อ,ผลิตคอนกรีตผสมเสร็จ,ท่าบ่อ,ท่าบ่อ,2553
ก่อผลกระทบด้านฝุ่น,15,2568,บริษัท แม่น้ำโขง คอร์ปอเรชั่น จำกัด,ทำผลิตภัณฑ์จากคอนกรีต เช่น อิฐบล็อค เสา ท่อ แผ่นพื้นต่างๆ เป็นต้น,กองนาง,ท่าบ่อ,2555
ไม่ก่อผลกระทบด้านฝุ่น,16,2568,ห้างหุ้นส่วนจำกัด พี.ที.คาร์เซอร์วิส ท่าบ่อ,ซ่อมรถยนต์ ซ่อมเครื่องยนต์และเคาะพ่นสีรถยนต์,ท่าบ่อ,ท่าบ่อ,2555
ก่อผลกระทบด้านฝุ่น,17,2568,อัญญารัตน์อิฐมอญ,ผลิตอิฐดินเผา,บ้านเดื่อ,ท่าบ่อ,2555
ก่อผลกระทบด้านฝุ่น,18,2568,เอกสิทธิ์อิฐมอญ,ผลิตอิฐดินเผา,บ้านเดื่อ,ท่าบ่อ,2555
ไม่ก่อผลกระทบด้านฝุ่น,19,2568,โรงน้ำแข็งเอ็กซ์ตร้า,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิตเพิ่มขึ้น 30 เมตริกตัน/วัน รวมเป็น 70 เมตริกตัน/วัน),บ้านถ่อน,ท่าบ่อ,2556
ไม่ก่อผลกระทบด้านฝุ่น,20,2568,บริษัท พี.พี.โซลาร์ เพาเวอร์ จำกัด,ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ ขนาดกำลังการผลิต 1.1 เมกะวัตต์,บ้านว่าน,ท่าบ่อ,2556
ก่อผลกระทบด้านฝุ่น,21,2568,บริษัท อินทรี ท่าบ่อคอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,บ้านถ่อน,ท่าบ่อ,2557
ก่อผลกระทบด้านฝุ่น,22,2568,บริษัท แม่น้ำโขง คอร์ปอเรชั่น จำกัด,ผลิตคอนกรีตผสมเสร็จ,กองนาง,ท่าบ่อ,2558
ไม่ก่อผลกระทบด้านฝุ่น,23,2568,โรงน้ำแข็งวอเตอร์เซเว่น,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิตเพิ่มขึ้น 100 เมตริกตัน/วัน รวมเป็น 150 เมตริกตัน/วัน),บ้านเดื่อ,ท่าบ่อ,2558
