worker_m55,_id,factory56,factory57,dcode,worker_m56,worker_w56,factory55,worker_w57,worker_w55,worker_m57
0,1,0,2,1001,0,0,0,4,0,3
0,2,0,0,1002,0,0,0,0,0,0
48,3,1,2,1003,0,0,3,2,28,20
4,4,0,1,1004,0,0,1,3,4,13
80,5,3,3,1005,40,63,8,55,11,42
49,6,2,4,1006,5,12,5,48,23,80
0,7,0,0,1007,0,0,0,0,0,0
0,8,0,0,1008,0,0,0,0,0,0
0,9,4,5,1009,48,29,0,43,0,32
25,10,3,3,1010,29,11,2,0,3,25
84,11,15,14,1011,219,30,8,52,59,107
10,12,8,5,1012,121,103,1,14,4,53
0,13,0,0,1013,0,0,0,0,0,0
0,14,1,0,1014,8,1,0,0,0,0
29,15,0,3,1015,0,0,3,34,53,36
12,16,1,3,1016,45,30,3,14,33,21
5,17,0,1,1017,0,0,1,0,2,11
115,18,7,1,1018,79,143,11,0,205,4
7,19,1,1,1019,8,4,2,0,1,65
12,20,1,2,1020,1,1,3,10,85,9
595,21,25,45,1021,396,174,28,524,8147,625
99,22,7,7,1022,26,28,5,20,146,52
117,23,5,3,1023,99,50,7,22,109,48
41,24,5,4,1024,121,60,5,15,15,23
16,25,0,2,1025,0,0,1,0,0,10
0,26,0,0,1026,0,0,0,0,0,0
15,27,2,3,1027,27,58,1,8,2,51
0,28,1,0,1028,48,0,0,0,0,0
1,29,3,3,1029,29,15,1,10,1,45
70,30,3,3,1030,33,43,4,0,11,79
0,31,4,1,1031,36,0,0,6,0,4
56,32,5,3,1032,112,44,7,218,11,27
13,33,3,0,1033,36,0,2,0,3,0
5,34,6,8,1034,83,22,2,150,10,176
143,35,21,9,1035,239,118,23,45,154,59
0,36,2,2,1036,22,1,0,4,0,19
5,37,1,0,1037,2,1,1,0,0,0
40,38,4,2,1038,57,33,1,6,0,16
47,39,1,2,1039,4,7,2,0,9,13
40,40,17,11,1040,201,147,6,101,89,100
0,41,4,1,1041,51,9,0,0,0,7
92,42,3,1,1042,54,0,3,30,24,20
25,43,2,7,1043,16,12,2,15,28,39
0,44,3,2,1044,31,12,0,84,0,56
71,45,3,4,1045,44,0,4,118,55,88
38,46,2,3,1046,45,30,2,4,2,54
18,47,3,4,1047,23,10,3,22,3,42
0,48,1,2,1048,20,0,0,2,0,17
35,49,9,8,1049,131,49,2,104,130,95
833,50,68,67,1050,648,524,99,731,901,642
