ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
ตัดหรือเย็บเครื่องนุ่งห่มอย่างใดอย่างหนึ่ง จากผ้าหนังสัตว์ ขนสัตว์ หรือวัสดุอื่นๆ,,, 12.00 ,ก2-28(1)-1/63,50100174125630,1,12.82,2801,บริษัท วีจี อินดัสเทรียล จำกัด,พระโขนง,63,สุขุมวิท 50 (เหลือสุข),คลองเตย,166,กรุงเทพมหานคร,บริษัท วีจี อินดัสเทรียล จำกัด,2, 52 ,10110
พิมพ์สิ่งพิมพ์ต่างๆ,,สุขุมวิท, 32.00 ,ก2-41(1)-9/64,50100010925649,2,52.44,4101,ห้างหุ้นส่วนจำกัด สุรศักดิ์ฟิล์ม,พระโขนง,64,เกษมสุวรรณ,คลองเตย,215,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด สุรศักดิ์ฟิล์ม,2, 40 ,10110
พิมพ์สิ่งพิมพ์ต่าง ๆ,,สุนทรโกษา, 0.50 ,ก2-41(1)-10/64,50100012825649,3,57.89,4101,บริษัท นิวนำชวนพริ้นติ้ง จำกัด,คลองเตย,64,,คลองเตย,"87, 89, 91",กรุงเทพมหานคร,บริษัท นิวนำชวนพริ้นติ้ง จำกัด,2, 8 ,10110
ประกอบเครื่องชั่ง,,ริมทางรถไฟสายปากน้ำ, 0.50 ,ก2-69-2/64,50100013025645,4,57.44,6900,ห้างหุ้นส่วนจำกัด ซ้งหลีฮวดเครื่องชั่ง,คลองตัน,64,,คลองเตย,1619,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ซ้งหลีฮวดเครื่องชั่ง,2, 9 ,10110
ผลิตขนมปัง,,เจริญรัถ, 2.70 ,ก2-10(2)-1/64,50100063625641,5,54.7,1002,นายเจริญ ประดิษฐ์ชูสกุล,คลองต้นไทร,64,เจริญรัถ 20,คลองสาน,126,กรุงเทพมหานคร,นายเจริญ ประดิษฐ์ชูสกุล,2, 10 ,10600
ตัดเย็บมุ้ง ผ้าปูที่นอน และเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 70 เครื่อง),,กรุงธนบุรี, 13.05 ,ก2-23(1)-2/64,50100063725649,6,20.1,2301,บริษัท สถิตย์การ์เม้นท์ จำกัด,คลองต้นไทร,64,,คลองสาน,85,กรุงเทพมหานคร,บริษัท สถิตย์การ์เม้นท์ จำกัด,2, 55 ,10600
"ทำผลิตภัณฑ์จากผ้าใบ เช่น ผ้าใบคลุมรถ, คลุมเรือ และคลุมสินค้า",,เจริญนคร, 23.10 ,2-23(3)-3/38,10100800325389,7,55.0,2303,บริษัท กิติวัฒน์ผ้าใบ จำกัด,บางลำภูล่าง,38,,คลองสาน,"1553,1555,1557",กรุงเทพมหานคร,บริษัท กิติวัฒน์ผ้าใบ จำกัด,2, 22 ,10600
ปักลวดลายผ้า และถักแถบตราต่าง ๆ (จำนวนเครื่องปักผ้า 16 เครื่อง เครื่องถัก 2 เครื่อง),,เจริญนคร, 29.70 ,ก2-23(4)-5/64,50100064025643,8,57.38,2304,จรินทร์ เหลืองเมตตากุล,คลองต้นไทร,64,เจริญนคร 14,คลองสาน,560,กรุงเทพมหานคร,จรินทร์ เหลืองเมตตากุล,2, 54 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป,,เจริญนคร, 10.50 ,ก2-28(1)-39/64,50100064725648,9,26.7,2801,,คลองต้นไทร,64,เจริญนคร 10,คลองสาน,"139,141,143",กรุงเทพมหานคร,นายธนเกียรติ กนกวลีวงศ์,2, 54 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 40 เครื่อง),,เจริญนคร, 5.20 ,2-28(1)-63/31,10100006325316,10,10.32,2801,ห้างหุ้นส่วนจำกัด ไพจิตจันทร์การ์เม้นท์,บางลำภูล่าง,31,รวมโชค,คลองสาน,24-30,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ไพจิตจันทร์การ์เม้นท์,2, 100 ,10600
