วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2569-04-27T00:00:00,1,GI(E) 4-011,บริษัท ฟาบริเนท จำกัด,1,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,2,GI(E) 4-024,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),2,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,3,GI(E) 4-039,บริษัท ไทยซัมมิท ฮาร์เนส จำกัด (มหาชน),3,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,4,GI(E) 4-040,บริษัท นิคเคสยามอลูมิเนียม จำกัด,4,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,5,GI(E) 4-054,บริษัท สยามคอมเพรสเซอร์อุตสาหกรรม จำกัด,5,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,6,GI(E) 4-061,บริษัท ทาทา สตีล การผลิต (ประเทศไทย) จำกัด (มหาชน),6,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,7,GI(E) 4-085,บริษัท นิตตั้น (ประเทศไทย) จำกัด,7,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,8,GI(E) 4-086,บริษัท ซีพีแรม จำกัด (ชลบุรี),8,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,9,GI(E) 4-088,บริษัท ไทย โอนลี่ วัน แมเนจ แอนด์ เซอร์วิส จำกัด,9,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,10,GI(E) 4-089,บริษัท สยามวัฒนา เวสต์ แมนเน็จเม้นท์ จำกัด,10,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,11,GI(E) 4-091,บริษัท ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),11,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,12,GI(E) 4-103,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),12,2566-04-28T00:00:00,ชลบุรี
2569-06-29T00:00:00,13,GI(E) 4-107,บริษัท อีสเทิร์น ซีบอร์ด เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,13,2566-06-29T00:00:00,ชลบุรี
2569-06-29T00:00:00,14,GI(E) 4-108,บริษัท โกลว์ ไอพีพี จำกัด,14,2566-06-29T00:00:00,ชลบุรี
2569-06-29T00:00:00,15,GI(E) 4-111,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน) โรงงานชลบุรี,15,2566-06-29T00:00:00,ชลบุรี
2569-06-29T00:00:00,16,GI(E) 4-118,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) โรงงานผลิตอาหารสัตว์บกศรีราชา,16,2566-06-29T00:00:00,ชลบุรี
2569-07-20T00:00:00,17,GI(E) 4-137,บริษัท อีสเทิร์น ซีบอร์ด เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,17,2566-07-21T00:00:00,ชลบุรี
