วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2568-02-10T00:00:00,1,GI(E) 3-001,บริษัท โฮริคาวะ รับเบอร์ (ประเทศไทย) จำกัด,1,2565-03-10T00:00:00,ชลบุรี
2568-02-10T00:00:00,2,GI(E) 3-002,บริษัท ซัมโด (ประเทศไทย) จำกัด,2,2565-03-10T00:00:00,ชลบุรี
2568-02-10T00:00:00,3,GI(E) 3-006,บริษัท ยูนิวานซ์ (ประเทศไทย) จำกัด,3,2565-03-10T00:00:00,ชลบุรี
2568-02-10T00:00:00,4,GI(E) 3-007,บริษัท เค.ดี.ฮีท เทคโนโลยี (ประเทศไทย) จำกัด,4,2565-03-10T00:00:00,ชลบุรี
2568-02-10T00:00:00,5,GI(E) 3-010,บริษัท ทีเอฟโอ เทค (ไทยแลนด์) จำกัด,5,2565-03-10T00:00:00,ชลบุรี
2568-03-10T00:00:00,6,GI(E) 3-014,บริษัท เมลเท็กซ์ เอเซีย (ประเทศไทย) จำกัด,6,2565-04-10T00:00:00,ชลบุรี
2568-03-10T00:00:00,7,GI(E) 3-015,บริษัท อาปิโก อมตะ จำกัด,7,2565-04-10T00:00:00,ชลบุรี
2568-03-10T00:00:00,8,GI(E) 3-016,บริษัท ชิโรกิ คอร์ปอร์เรชั่น (ไทยแลนด์) จำกัด,8,2565-04-10T00:00:00,ชลบุรี
2568-03-10T00:00:00,9,GI(E) 3-021,บริษัท วูเทคไทย จำกัด,9,2565-04-10T00:00:00,ชลบุรี
2568-04-10T00:00:00,10,GI(E) 3-029,บริษัท ไทรอัมพ์ เอวิเอชั่น เซอร์วิสเซส เอเซีย จำกัด,10,2565-05-10T00:00:00,ชลบุรี
2568-06-10T00:00:00,11,GI(E) 3-033,บริษัท ปิ่นทอง อินดัสเตรียล ปาร์ค จำกัด (มหาชน),11,2565-07-10T00:00:00,ชลบุรี
2568-11-10T00:00:00,12,GI(E) 3-049,บริษัท มารูโกะ รับเบอร์ (ไทยแลนด์) จำกัด,12,2565-12-10T00:00:00,ชลบุรี
2568-10-16T00:00:00,13,GI(E) 3-059,บริษัท ซี เอส รับเบอร์ อินดัสทรี่ จำกัด,13,2565-10-17T00:00:00,ชลบุรี
2568-10-16T00:00:00,14,GI(E) 3-066,บริษัท อาซาฮี เทค อลูมิเนียม (ประเทศไทย) จำกัด,14,2565-10-17T00:00:00,ชลบุรี
2568-10-17T00:00:00,15,GI(E) 3-101,บริษัท สยาม เซอร์วิส แอนด์ คอนซัลแทนซี่ จำกัด,15,2565-10-18T00:00:00,ชลบุรี
2568-10-17T00:00:00,16,GI(E) 3-102,บริษัท ออโตลิฟ (ประเทศไทย) จำกัด,16,2565-10-18T00:00:00,ชลบุรี
2568-10-17T00:00:00,17,GI(E) 3-114,บริษัท ไทย ทสึซูกิ จำกัด,17,2565-10-18T00:00:00,ชลบุรี
2568-10-19T00:00:00,18,GI(E) 3-122,บริษัท หมิงไท่ อินดัสเตรียล (ประเทศไทย) จำกัด,18,2565-10-20T00:00:00,ชลบุรี
2568-10-24T00:00:00,19,GI(E) 3-124,บริษัท กิฟุ เซอิคิ (ประเทศไทย) จำกัด,19,2565-10-25T00:00:00,ชลบุรี
2568-10-24T00:00:00,20,GI(E) 3-125,บริษัท ไทยลัสเตอร์โปรดักส์ จำกัด,20,2565-10-25T00:00:00,ชลบุรี
2568-10-24T00:00:00,21,GI(E) 3-126,บริษัท เอ็กซ์สตาร์ เอเชีย คอร์ปอเรชั่น จำกัด,21,2565-10-25T00:00:00,ชลบุรี
2568-10-24T00:00:00,22,GI(E) 3-127,บริษัท อาจีกาว่า แอนด์ เอส ซี ไอ เมทัล เทค จำกัด,22,2565-10-25T00:00:00,ชลบุรี
2568-10-24T00:00:00,23,GI(E) 3-128,บริษัท อาจีกาว่า แอนด์ เอสซีไอ เมทัล เทค จำกัด,23,2565-10-25T00:00:00,ชลบุรี
2568-10-26T00:00:00,24,GI(E) 3-135,บริษัท ชิมิซุ เมทัล แสตมปิ้ง (ไทยแลนด์) จำกัด,24,2565-10-27T00:00:00,ชลบุรี
2568-10-30T00:00:00,25,GI(E) 3-142,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),25,2565-10-31T00:00:00,ชลบุรี
2568-01-11T00:00:00,26,GI(E) 3-146,บริษัท ซีบีซี อิงส์ (ประเทศไทย) จำกัด,26,2565-02-11T00:00:00,ชลบุรี
2568-01-11T00:00:00,27,GI(E) 3-147,บริษัท เทคโนพลาสอุตสาหกรรม (ประเทศไทย) จำกัด,27,2565-02-11T00:00:00,ชลบุรี
2568-03-11T00:00:00,28,GI(E) 3-151,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),28,2565-04-11T00:00:00,ชลบุรี
2568-03-11T00:00:00,29,GI(E) 3-156,บริษัท มี้ด จอห์นสัน นิวทริชัน (ประเทศไทย) จำกัด,29,2565-04-11T00:00:00,ชลบุรี
