จำนวน,ที่มา,_id,ปีงบประมาณ,หน่วยนับ,รายการข้อมูล,จังหวัด,ประเภทมลพิษ
4,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,1,2566,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,น้ำเสีย
6,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,2566,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,ฝุ่นควัน
11,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,3,2566,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,กลิ่น
2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,4,2566,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,เสียง
1,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,5,2566,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,กากของเสีย
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,6,2566,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,อื่น ๆ
6,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,7,2567,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,น้ำเสีย
6,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,8,2567,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,ฝุ่นควัน
5,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,9,2567,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,กลิ่น
2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,10,2567,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,เสียง
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,11,2567,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,กากของเสีย
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,12,2567,เรื่อง,ข้อร้องเรียนด้านสิ่งแวดล้อมของโรงงานอุตสาหกรรม,กาญจนบุรี,อื่น ๆ
