จำนวน,ที่มา,_id,หน่วยนับ,ระดับ,รายการข้อมูล,จังหวัด,พ.ศ.
2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,1,แห่ง,ระดับ 1,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2563
2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,แห่ง,ระดับ 2,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2563
3,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,3,แห่ง,ระดับ 3,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2563
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,4,แห่ง,ระดับ 4,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2563
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,5,แห่ง,ระดับ 5,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2563
1,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,6,แห่ง,ระดับ 1,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2564
2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,7,แห่ง,ระดับ 2,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2564
10,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,8,แห่ง,ระดับ 3,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2564
3,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,9,แห่ง,ระดับ 4,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2564
3,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,10,แห่ง,ระดับ 5,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2564
464,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,11,แห่ง,ระดับ 1,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2565
19,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,12,แห่ง,ระดับ 2,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2565
7,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,13,แห่ง,ระดับ 3,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2565
4,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,14,แห่ง,ระดับ 4,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2565
2,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,15,แห่ง,ระดับ 5,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2565
196,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,16,แห่ง,ระดับ 1,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2566
6,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,17,แห่ง,ระดับ 2,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2566
6,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,18,แห่ง,ระดับ 3,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2566
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,19,แห่ง,ระดับ 4,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2566
0,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,20,แห่ง,ระดับ 5,สถานประกอบการที่เข้าสู่อุตสาหกรรมสีเขียวระดับต่าง ๆ,กาญจนบุรี,2566
