วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2569-02-10T00:00:00,1,GI(E) 3-005,บริษัท โรงโม่หินแกรนิตไทย จำกัด,1,03/10/2566,ชลบุรี
2569-02-10T00:00:00,2,GI(E) 3-007,บริษัท จีเอฟพีที นิชิเร (ประเทศไทย) จำกัด,2,03/10/2566,ชลบุรี
2569-04-10T00:00:00,3,GI(E) 3-015,บริษัท เอส แอนด์ เอส ภัทรชาติ จำกัด,3,05/10/2566,ชลบุรี
2569-08-10T00:00:00,4,GI(E) 3-027,บริษัท จี.เอส. อิเล็คเทค (ประเทศไทย) จำกัด,4,09/10/2566,ชลบุรี
2569-08-10T00:00:00,5,GI(E) 3-028,บริษัท ยามาโตะ โพลีเมอร์ จำกัด,5,09/10/2566,ชลบุรี
2569-10-15T00:00:00,6,GI(E) 3-033,บริษัท เอ็นซุ โมลดิ้ง โพรดักส์ (ไทยแลนด์) จำกัด,6,16/10/2566,ชลบุรี
2569-10-15T00:00:00,7,GI(E) 3-037,บริษัท พีซีเอ็ม โพรเซ็สซิ่ง (ประเทศไทย) จำกัด,7,16/10/2566,ชลบุรี
2569-10-16T00:00:00,8,GI(E) 3-039,บริษัท ไดโฮ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,8,17/10/2566,ชลบุรี
2569-10-16T00:00:00,9,GI(E) 3-040,บริษัท เอจีซี เทคโน กลาส (ประเทศไทย) จำกัด,9,17/10/2566,ชลบุรี
2569-10-16T00:00:00,10,GI(E) 3-047,บริษัท นิจิได เอเชีย จำกัด,10,17/10/2566,ชลบุรี
2569-10-16T00:00:00,11,GI(E) 3-049,บริษัท นิเทระ เอเชีย จำกัด,11,17/10/2566,ชลบุรี
2569-10-19T00:00:00,12,GI(E) 3-065,บริษัท เวฟ เครสท์ (ประเทศไทย) จำกัด,12,20/10/2566,ชลบุรี
2569-10-19T00:00:00,13,GI(E) 3-067,บริษัท สยามมิชลิน จำกัด,13,20/10/2566,ชลบุรี
2569-10-19T00:00:00,14,GI(E) 3-068,บริษัท สยามมิชลิน จำกัด,14,20/10/2566,ชลบุรี
2569-10-19T00:00:00,15,GI(E) 3-071,บริษัท เอส.พี.ออโตโมทีฟ โปรดักส์ จำกัด,15,20/10/2566,ชลบุรี
2569-10-19T00:00:00,16,GI(E) 3-074,บริษัท เอ็นทีเอ็น แมนูแฟคเจอริ่ง(ไทยแลนด์) จำกัด,16,20/10/2566,ชลบุรี
2569-10-25T00:00:00,17,GI(E) 3-078,บริษัท ทวีกาญจน์ค้าถัง 2002 จำกัด,17,26/10/2566,ชลบุรี
2569-10-25T00:00:00,18,GI(E) 3-080,บริษัท เอ็นพลัส พรีซิชั่น (ประเทศไทย) จำกัด,18,26/10/2566,ชลบุรี
2569-10-25T00:00:00,19,GI(E) 3-083,บริษัท สยามคูโบต้าคอร์ปอเรชั่น จำกัด,19,26/10/2566,ชลบุรี
2569-02-11T00:00:00,20,GI(E) 3-103,บริษัท เจียเหม่ย อินดัสทรี จำกัด,20,03/11/2566,ชลบุรี
2569-05-11T00:00:00,21,GI(E) 3-108,บริษัท หยวนเด้น อินดัสเตรียล จำกัด,21,06/11/2566,ชลบุรี
2569-07-11T00:00:00,22,GI(E) 3-114,บริษัท นิฟโก้ (ไทยแลนด์) จำกัด,22,08/11/2566,ชลบุรี
2569-07-11T00:00:00,23,GI(E) 3-115,บริษัท ไทยโซบิ โคเกอิ จำกัด,23,08/11/2566,ชลบุรี
2569-09-11T00:00:00,24,GI(E) 3-120,บริษัท กรุงไทยอาหาร จำกัด (มหาชน),24,10/11/2566,ชลบุรี
2569-09-11T00:00:00,25,GI(E) 3-122,บริษัท มารุ โกลบอล จำกัด,25,10/11/2566,ชลบุรี
2569-12-11T00:00:00,26,GI(E) 3-126,บริษัท ปรินดา จำกัด (มหาชน),26,13/11/2566,ชลบุรี
2569-11-14T00:00:00,27,GI(E) 3-131,บริษัท บูรพาแอกกริเกต จำกัด,27,15/11/2566,ชลบุรี
2569-11-16T00:00:00,28,GI(E) 3-140,บริษัท อิโต เซอิโค (ประเทศไทย) จำกัด,28,17/11/2566,ชลบุรี
2569-11-19T00:00:00,29,GI(E) 3-143,บริษัท เฟิสท์ ฉื่อ จิ้น ฮั้ว จำกัด,29,20/11/2566,ชลบุรี
2569-11-19T00:00:00,30,GI(E) 3-164,บริษัท ไทยอีสเทิร์น อินโนเวชั่น จำกัด,30,20/11/2566,ชลบุรี
2569-11-21T00:00:00,31,GI(E) 3-171,บริษัท อาหารสยาม (2513) จำกัด,31,22/11/2566,ชลบุรี
2569-11-21T00:00:00,32,GI(E) 3-172,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),32,22/11/2566,ชลบุรี
2569-11-21T00:00:00,33,GI(E) 3-192,บริษัท เอส เอส ซี ออยล์ จำกัด,33,22/11/2566,ชลบุรี
2569-11-21T00:00:00,34,GI(E) 3-193,บริษัท ยูนิไทย ชิปยาร์ด แอนด์ เอนจิเนียริ่ง จำกัด,34,22/11/2566,ชลบุรี
2569-11-21T00:00:00,35,GI(E) 3-194,บริษัท ยูเซ็น โลจิสติกส์ (ประเทศไทย) จำกัด,35,22/11/2566,ชลบุรี
2569-11-21T00:00:00,36,GI(E) 3-195,บริษัท ไทยซัมมิท พีเคเค จำกัด,36,22/11/2566,ชลบุรี
2569-11-21T00:00:00,37,GI(E) 3-197,บริษัท ทีพีซีเอส จำกัด (มหาชน),37,22/11/2566,ชลบุรี
2569-11-21T00:00:00,38,GI(E) 3-198,บริษัท แคนาเดียน โซลาร์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,38,22/11/2566,ชลบุรี
2569-11-21T00:00:00,39,GI(E) 3-210,บริษัท ยามาฮ่ามอเตอร์พาร์ทแมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,39,22/11/2566,ชลบุรี
2569-11-22T00:00:00,40,GI(E) 3-244,บริษัท วาลโบร (ประเทศไทย) จำกัด,40,23/11/2566,ชลบุรี
