วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
--,1,GI(E) 1-214,บริษัท เฮเดย์ ฟู้ดส์ (ประเทศไทย) จำกัด,1,2567-10-29T00:00:00,ชลบุรี
--,2,GI(E) 1-315,บริษัท มอลเทน (ไทยแลนด์) จำกัด,2,2567-11-25T00:00:00,ชลบุรี
--,3,GI(E) 1-331,บริษัท โยวเอ็กซ์เจน แมทชีนารี่ อินดัสทรี่ (ไทยแลนด์) จำกัด,3,2567-03-12T00:00:00,ชลบุรี
--,4,GI(E) 1-344,บริษัท คอนเซอิ (ประเทศไทย) จำกัด,4,2567-12-19T00:00:00,ชลบุรี
--,5,GI(E) 1-358,บริษัท เจียเหว่ย อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,5,2567-12-23T00:00:00,ชลบุรี
--,6,GI(E) 1-361,บริษัท อีสเทิร์น พี.ยู. โฟม อินดัสตรี จำกัด,6,2567-12-26T00:00:00,ชลบุรี
--,7,GI(E) 1-379,บริษัท มาสด้า พาวเวอร์เทรน แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,7,2568-02-01T00:00:00,ชลบุรี
--,8,GI(E) 1-408,บริษัท ฮุยเท็กซ์ จำกัด,8,2568-01-15T00:00:00,ชลบุรี
--,9,GI(E) 1-439,บริษัท อูเอดะ พลาสติก (ประเทศไทย) จำกัด,9,2568-01-21T00:00:00,ชลบุรี
--,10,GI(E) 1-456,บริษัท ยาซัน อเบรซีฟส์ (ไทยแลนด์) จำกัด,10,2568-01-22T00:00:00,ชลบุรี
--,11,GI(E) 1-474,บริษัท นิคคิ ฟรอน (ไทยแลนด์) จำกัด,11,2568-01-29T00:00:00,ชลบุรี
--,12,GI(E) 1-475,บริษัท เทคโน ทูลส์ (ประเทศไทย) จำกัด,12,2568-01-29T00:00:00,ชลบุรี
--,13,GI(E) 1-476,บริษัท ซี วาย ซี เมทัล จำกัด,13,2568-01-29T00:00:00,ชลบุรี
--,14,GI(E) 1-477,บริษัท โตโย รับเบอร์ เคมิคัล โพรดักส์ (ประเทศไทย) จำกัด,14,2568-01-29T00:00:00,ชลบุรี
--,15,GI(E) 1-478,บริษัท ทาปิรัส (ประเทศไทย) จำกัด,15,2568-01-29T00:00:00,ชลบุรี
--,16,GI(E) 1-479,บริษัท ที.ดี.เอ็ม. (ไทยแลนด์) จำกัด,16,2568-01-29T00:00:00,ชลบุรี
--,17,GI(E) 1-480,บริษัท เทคนิคส์ เซอร์เฟซส์ (ไทยแลนด์) จำกัด,17,2568-01-29T00:00:00,ชลบุรี
--,18,GI(E) 1-481,บริษัท ไทย มะรุมะ โทไค จำกัด,18,2568-01-29T00:00:00,ชลบุรี
--,19,GI(E) 1-482,บริษัท ไทยซีทเบลท์ จำกัด,19,2568-01-29T00:00:00,ชลบุรี
--,20,GI(E) 1-483,บริษัท ไทยดริ้งค์ จำกัด,20,2568-01-29T00:00:00,ชลบุรี
--,21,GI(E) 1-484,บริษัท ไทโย กิเคง (ประเทศไทย) จำกัด,21,2568-01-29T00:00:00,ชลบุรี
--,22,GI(E) 1-485,บริษัท ไทโย เคเบิลเทค (ประเทศไทย) จำกัด,22,2568-01-29T00:00:00,ชลบุรี
--,23,GI(E) 1-492,บริษัท นิเด็ค เอเลซิส (ไทยแลนด์) จำกัด,23,2568-01-29T00:00:00,ชลบุรี
--,24,GI(E) 1-493,บริษัท บางกอก อินสทรูเมนท์ แอนด์ เซอร์วิส จำกัด,24,2568-01-29T00:00:00,ชลบุรี
--,25,GI(E) 1-494,บริษัท บีเค แจแปน นีดเดิล (ประเทศไทย) จำกัด,25,2568-01-30T00:00:00,ชลบุรี
--,26,GI(E) 1-495,บริษัท พลาล็อค เอเซีย (ประเทศไทย) จำกัด,26,2568-01-30T00:00:00,ชลบุรี
--,27,GI(E) 1-496,บริษัท มอลลิเก้ เฮลท์ แคร์ (ประเทศไทย) จำกัด,27,2568-01-30T00:00:00,ชลบุรี
--,28,GI(E) 1-497,บริษัท แม็กซ์ซอฟพรีซิชั่น(ประเทศไทย) จำกัด,28,2568-01-30T00:00:00,ชลบุรี
--,29,GI(E) 1-498,บริษัท เรดิคอน ทรานสมิชชั่น (ประเทศไทย) จำกัด,29,2568-01-30T00:00:00,ชลบุรี
--,30,GI(E) 1-499,บริษัท ลาริส โกลเบิล (ไทยแลนด์) จำกัด,30,2568-01-30T00:00:00,ชลบุรี
--,31,GI(E) 1-500,บริษัท ไลเน็กซ์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,31,2568-01-30T00:00:00,ชลบุรี
--,32,GI(E) 1-501,บริษัท วิลสัน เลเธอร์ (ไทยแลนด์) จำกัด,32,2568-01-30T00:00:00,ชลบุรี
--,33,GI(E) 1-502,บริษัท ไวน์ คอนเน็คชั่น จำกัด,33,2568-01-30T00:00:00,ชลบุรี
--,34,GI(E) 1-503,บริษัท สยาม สแตรี่ เซอร์วิสส์ จำกัด,34,2568-01-30T00:00:00,ชลบุรี
--,35,GI(E) 1-504,บริษัท อันสุโคะ (ประเทศไทย) จำกัด,35,2568-01-30T00:00:00,ชลบุรี
--,36,GI(E) 1-505,บริษัท อาร์ติแฟท จำกัด,36,2568-01-30T00:00:00,ชลบุรี
--,37,GI(E) 1-506,บริษัท อินาบา (ประเทศไทย) จำกัด,37,2568-01-30T00:00:00,ชลบุรี
--,38,GI(E) 1-507,บริษัท เอส.พี.ซี พรีเชียส เมททอล จำกัด,38,2568-01-30T00:00:00,ชลบุรี
--,39,GI(E) 1-508,บริษัท เอสวี พรีซิชั่น คอมโพเน้นท์ส (ประเทศไทย) จำกัด,39,2568-01-30T00:00:00,ชลบุรี
--,40,GI(E) 1-509,บริษัท เอสอีดับเบิลยู ยูโรไดรฟ (ประเทศไทย) จำกัด,40,2568-01-30T00:00:00,ชลบุรี
--,41,GI(E) 1-510,บริษัท โอสึกิ เซโก (ประเทศไทย) จำกัด,41,2568-01-30T00:00:00,ชลบุรี
--,42,GI(E) 1-511,บริษัท ฮากะ เอ็มเอฟ พรีซิชั่น (ประเทศไทย) จำกัด,42,2568-01-30T00:00:00,ชลบุรี
--,43,GI(E) 1-512,บริษัท โฮยู คอสเมติคส์ (ประเทศไทย) จำกัด,43,2568-01-30T00:00:00,ชลบุรี
--,44,GI(E) 1-513,บริษัท ไฮ-เทค เมมเบรนส์ จำกัด,44,2568-01-30T00:00:00,ชลบุรี
--,45,GI(E) 1-529,บริษัท คอปเปอร์ คอร์ด อินดัสทรี้ จำกัด,45,2568-07-02T00:00:00,ชลบุรี
--,46,GI(E) 1-530,บริษัท โตเกียว เซสาคุโชะ (เอเซีย) จำกัด,46,2568-07-02T00:00:00,ชลบุรี
--,47,GI(E) 1-531,บริษัท ไทย ทานาซาว่า ฮัคโคชะ จำกัด,47,2568-07-02T00:00:00,ชลบุรี
--,48,GI(E) 1-532,บริษัท นันไค เอ็กซ์เพรส (ไทยแลนด์) จำกัด,48,2568-07-02T00:00:00,ชลบุรี
--,49,GI(E) 1-533,บริษัท แอพต้าร์ (ประเทศไทย) จำกัด,49,2568-07-02T00:00:00,ชลบุรี
--,50,GI(E) 1-534,บริษัท แอร์วอเตอร์ (ไทยแลนด์) จำกัด,50,2568-07-02T00:00:00,ชลบุรี
--,51,GI(E) 1-539,บริษัท โตโยดะ เซโก (ประเทศไทย) จำกัด,51,2568-11-02T00:00:00,ชลบุรี
--,52,GI(E) 1-588,บริษัท เอ็มเคเอ เทค จำกัด,52,2568-02-23T00:00:00,ชลบุรี
--,53,GI(E) 1-606,บริษัท มหานคร เปเปอร์ แอนด์ เมททอล จำกัด,53,2568-02-28T00:00:00,ชลบุรี
--,54,GI(E) 1-607,ห้างหุ้นส่วนจำกัด หนามเตย,54,2568-02-28T00:00:00,ชลบุรี
--,55,GI(E) 1-608,บริษัท ไท้ ฝู หลง อินเตอร์เนชั่นแนล จำกัด,55,2568-02-28T00:00:00,ชลบุรี
--,56,GI(E) 1-609,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด,56,2568-02-28T00:00:00,ชลบุรี
