เงินทุน,_id,ปี,คนงาน,สถานประกอบการ,อำเภอ
,1,2564,14957,236,อำเภอเมืองนนทบุรี
,2,2564,5073,141,อำเภอบางกรวย
,3,2564,5868,169,อำเภอบางใหญ่
,4,2564,14001,387,อำเภอบางบัวทอง
,5,2564,15791,357,อำเภอไทรน้อย
,6,2564,19373,268,อำเภอปากเกร็ด
7945,7,2563,14996,241,อำเภอเมืองนนทบุรี
22841,8,2563,4654,139,อำเภอบางกรวย
8783,9,2563,5769,166,อำเภอบางใหญ่
22469,10,2563,13723,387,อำเภอบางบัวทอง
25461,11,2563,1538,344,อำเภอไทรน้อย
17694,12,2563,18931,257,อำเภอปากเกร็ด
7769.71,13,2562,14791,233,อำเภอเมืองนนทบุรี
22808.2,14,2562,4635,138,อำเภอบางกรวย
7622.59,15,2562,5615,162,อำเภอบางใหญ่
21332.62,16,2562,12308,379,อำเภอบางบัวทอง
24704.35,17,2562,14610,338,อำเภอไทรน้อย
16328.79,18,2562,18309,244,อำเภอปากเกร็ด
8119.5,19,2565,14952,233,อำเภอเมืองนนทบุรี
23342.89,20,2565,4914,140,อำเภอบางกรวย
11213.67,21,2565,6172,175,อำเภอบางใหญ่
23082.72,22,2565,13941,385,อำเภอบางบัวทอง
28142.2,23,2565,16464,374,อำเภอไทรน้อย
18999.94,24,2565,19453,275,อำเภอปากเกร็ด
8119.6,25,2566,14864,230,อำเภอเมืองนนทบุรี
23383.6,26,2566,4947,139,อำเภอบางกรวย
11734,27,2566,6583,178,อำเภอบางใหญ่
23085.5,28,2566,14068,385,อำเภอบางบัวทอง
33756,29,2566,16941,390,อำเภอไทรน้อย
19298,30,2566,19707,275,อำเภอปากเกร็ด
"8,118",31,2567,"14,633",229,อำเภอเมืองนนทบุรี
"23,385",32,2567,"4,927",138,อำเภอบางกรวย
"11,930",33,2567,"6,678",180,อำเภอบางใหญ่
"23,400",34,2567,"14,020",381,อำเภอบางบัวทอง
"34,597",35,2567,"17,362",405,อำเภอไทรน้อย
"19,463",36,2567,"19,813",277,อำเภอปากเกร็ด
