เจ้าของข้อมูล,น้ำที่ระบายออก,_id,ชื่อชุดข้อมูล,น้ำเสียปัจจุบัน,ข้อมูล ณ วันที่,หน่วย
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,1,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7739,ม.ค.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,2,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7739,ก.พ.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,3,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7739,มี.ค.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,4,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7859,เม.ย.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,5,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7860,พ.ค.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,,6,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,,มิ.ย.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,,7,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,,ก.ค.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,,8,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,,ส.ค.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,,9,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,,ก.ย.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,10,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7867,ต.ค.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,11,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7867,พ.ย.-68,ลบ.ม./วัน
สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,46,12,ปริมาณน้ำเสียจากโรงงานจังหวัดสุพรรณบุรี,7867,ธ.ค.-68,ลบ.ม./วัน
