_id,หน่วย,กลุ่มอุตสาหกรรม,ค่าข้อมูล,รายการ,ปี
1,โรงงาน,ผลิตภัณฑ์จากพืช,44,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
2,โรงงาน,การผลิตอื่นๆ,41,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
3,โรงงาน,อุตสาหกรรมอาหาร,34,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
4,โรงงาน,ผลิตภัณฑ์อโลหะ,21,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
5,โรงงาน,ผลิตภัณฑ์จากปิโตรเลียม,15,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
6,โรงงาน,ผลิตภัณฑ์โลหะ,14,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
7,โรงงาน,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,12,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
8,โรงงาน,ผลิตเครื่องจักรและเครื่องกล,11,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
9,โรงงาน,แปรรูปไม้และผลิตภัณฑ์จากไม้,10,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
10,โรงงาน,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,5,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
11,โรงงาน,อุตสาหกรรมเครื่องดื่ม,5,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
12,โรงงาน,เคมีภัณฑ์และผลิตภัณฑ์เคมี,3,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
13,โรงงาน,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,1,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
14,โรงงาน,ยางและผลิตภัณฑ์ยาง,1,โรงงานอุตสาหกรรมที่จดทะเบียน,2569
