ที่มา,_id,ปี,คนทำงาน,หน่วยนับ,เพศ,อำเภอ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,1,2564,1639,คน,ชาย,เมืองอ่างทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,2,2564,687,คน,หญิง,เมืองอ่างทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,3,2564,383,คน,ชาย,ไชโย
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,4,2564,88,คน,หญิง,ไชโย
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,5,2564,1051,คน,ชาย,ป่าโมก
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,6,2564,542,คน,หญิง,ป่าโมก
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,7,2564,813,คน,ชาย,โพธิ์ทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,8,2564,288,คน,หญิง,โพธิ์ทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,9,2564,310,คน,ชาย,แสวงหา
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,10,2564,411,คน,หญิง,แสวงหา
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,11,2564,851,คน,ชาย,วิเศษชัยชาญ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,12,2564,394,คน,หญิง,วิเศษชัยชาญ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,13,2564,140,คน,ชาย,สามโก้
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,14,2564,49,คน,หญิง,สามโก้
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,15,2565,1639,คน,ชาย,เมืองอ่างทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,16,2565,687,คน,หญิง,เมืองอ่างทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,17,2565,403,คน,ชาย,ไชโย
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,18,2565,101,คน,หญิง,ไชโย
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,19,2565,1016,คน,ชาย,ป่าโมก
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,20,2565,518,คน,หญิง,ป่าโมก
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,21,2565,858,คน,ชาย,โพธิ์ทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,22,2565,489,คน,หญิง,โพธิ์ทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,23,2565,317,คน,ชาย,แสวงหา
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,24,2565,408,คน,หญิง,แสวงหา
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,25,2565,849,คน,ชาย,วิเศษชัยชาญ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,26,2565,398,คน,หญิง,วิเศษชัยชาญ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,27,2565,130,คน,ชาย,สามโก้
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,28,2565,49,คน,หญิง,สามโก้
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,29,2566,1652,คน,ชาย,เมืองอ่างทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,30,2566,687,คน,หญิง,เมืองอ่างทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,31,2566,400,คน,ชาย,ไชโย
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,32,2566,101,คน,หญิง,ไชโย
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,33,2566,1018,คน,ชาย,ป่าโมก
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,34,2566,518,คน,หญิง,ป่าโมก
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,35,2566,856,คน,ชาย,โพธิ์ทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,36,2566,451,คน,หญิง,โพธิ์ทอง
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,37,2566,317,คน,ชาย,แสวงหา
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,38,2566,408,คน,หญิง,แสวงหา
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,39,2566,839,คน,ชาย,วิเศษชัยชาญ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,40,2566,395,คน,หญิง,วิเศษชัยชาญ
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,41,2566,130,คน,ชาย,สามโก้
สำนักงานอุตสาหกรรมจังหวัดอ่างทอง,42,2566,49,คน,หญิง,สามโก้
