แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
2179.2,พัฒนานิคม,ผลิตเมล็ดพันธุ์พืช,3-2(1)-1/24ลบ,สาย 2 ซ้าย,187,201,ลพบุรี,411346,225343000,13,10160000125245,บริษัท เจริญโภคภัณฑ์โปรดิ๊วส จำกัด,19-21,บริษัท เจริญโภคภัณฑ์โปรดิ๊วส จำกัด,15140,1630,1,พัฒนานิคม,164
120,พัฒนานิคม,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-107/58ลบ,,โฉนดที่ดินเลขที่ 2785,302,ลพบุรี,,3700000,9,20160010725586,นายไพฑูรย์ เถาอินทร์,,,15140,8103,2,พัฒนานิคม,2
120,พัฒนานิคม,ขุดดินเพื่อใช้ในการก่อสร้าง,จ3-3(2)-295/58ลบ,,โฉนดที่ดินเลขที่ 10758,302,ลพบุรี,,16500000,9,20160029525589,นายเกรียงไกร สุทธปัญญา,24,,15140,8103,3,พัฒนานิคม,2
120,พัฒนานิคม,ขุดดิน,จ3-3(2)-449/50ลบ,,โฉนดที่ดินเลขที่ 21749,302,ลพบุรี,,5940000,9,20160044925509,นายสุชาติ นาคบุรินทร์,,,15140,8103,4,พัฒนานิคม,4
150,พัฒนานิคม,แปรรูปเนื้อสัตว์,จ3-4(3)-7/65ลบ,,โฉนดที่ดินเลขที่ 14809 ,403,ลพบุรี,,43800000,,20160104325657,บริษัท เพ็ญนภาปัญญาฟู๊ด จำกัด,,บริษัท เพ็ญนภาปัญญาฟู๊ด จำกัด,15140,10751,5,พัฒนานิคม,48
97.24,พัฒนานิคม,ทำนมสดโดยการฆ่าเชื้อ,จ3-5(1)-1/46ลบ,พัฒนานิคม-วังม่วง,168,501,ลพบุรี,036-491434,14300000,8,20160200125464,บริษัท พี.วี.พัฒนานมสด จำกัด,18,บริษัท พี.วี.พัฒนานมสด จำกัด,15140,10501,6,พัฒนานิคม,4
113.5,พัฒนานิคม,ผลิตนมสดให้ไร้เชื้อหรือฆ่าเชื้อโดยการพาสเจอร์ไรซ์,จ3-5(1)-2/45ลบ,ลพบุรี-วังม่วง,247/2,501,ลพบุรี,036-639365,7000000,9,20160000225456,ห้างหุ้นส่วนจำกัด กลุ่มผู้เลี้ยงโคนมเขื่อนป่าสัก,23,ห้างหุ้นส่วนจำกัด กลุ่มผู้เลี้ยงโคนมเขื่อนป่าสัก,15140,10501,7,พัฒนานิคม,6
82,พัฒนานิคม,ผลิตนมพาสเจอร์ไรส์,จ3-5(1)-2/46ลบ,,26,501,ลพบุรี,,11220000,4,20160100225463,วิทยาลัยเกษตรและ เทคโนโลยีลพบุรี,21 สาย 4 ซ้าย,โรงงานผลิตภัณฑ์นม วิทยาลัยเกษตรเทคโนโลยี,15140,10501,8,พัฒนานิคม,6
148.7,พัฒนานิคม,เก็บรักษานมสดให้ไร้เชื้อเพื่อจำหน่าย,จ3-5(1)-5/62ลบ,สายตรีลพบุรี-วังม่วง,245,501,ลพบุรี,,55000000,9,20160139725624,บริษัท กลุ่มพัฒนาโคนมพัฒนานิคม จำกัด,23-24,บริษัท กลุ่มพัฒนาโคนมพัฒนานิคม จำกัด,15140,10501,9,พัฒนานิคม,18
339,พัฒนานิคม,ผลิตนมพร้อมดื่มโดยการพาสเจอร์ไรซ์,จ3-5(1)-20/63ลบ,,264/1,501,ลพบุรี,,33000000,9,20160158925634,บริษัท พญาเย็นแดรี่ จำกัด,,บริษัท พญาเย็นแดลี่ จำกัด,15140,10501,10,พัฒนานิคม,8
