แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
50,ทะเลชุบศร,ถนอมสัตว์น้ำ เช่น ปลาทู โดยทำให้เยือกแข็ง,จ2-6(2)-2/51ลบ,รามเดโช,149,602,ลพบุรี,,6600000,,20160000225514,ห้างหุ้นส่วนจำกัด คุณแปร์ ลพบุรี,,ห้างหุ้นส่วนจำกัด คุณแปร์ ลพบุรี,15000,10291,1,เมืองลพบุรี,3
784.5,ทะเลชุบศร,ทำน้ำแข็งก้อนเล็ก ได้วันละ 65.99 ตัน,3-14-2/29ลบ,ศรีปราชญ์,99,1400,ลพบุรี,0 3641 3348,12221200,12,10160100225291,บริษัท ลพบุรีน้ำแข็งหลอด จำกัด,-,บริษัท ลพบุรีน้ำแข็งหลอด จำกัด,15000,10795,2,เมืองลพบุรี,21
733.5,ทะเลชุบศร,ผลิตน้ำแข็ง ได้วันละ 1800 ซอง,3-14-3/15ลบ,ศรีปราชญ์,294,1400,ลพบุรี,411058,10000000,,10160100325158,นางอุไรวรรณ วุฒิวณิช,,โรงน้ำแข็งลพบุรี,15000,10795,3,เมืองลพบุรี,11
90.14,ทะเลชุบศร,ผลิตเบียร์ เพื่อเป็นของชำรวย และบริการลูกค้า,จ3-19(2)-1/50ลบ,นารายณ์มหาราช,28/9,1902,ลพบุรี,,7500000,,20160100125507,บริษัท ลพบุรีกิจวัฒนา จำกัด,,มั้งกี้บริวผับ (โรงแรมลพบุรีอินน์),15000,11030,4,เมืองลพบุรี,3
39.3,ทะเลชุบศร,ทำเครื่องเรือนจากไม้,3-37-1/29ลบ,พระปิยะ,88,3700,ลพบุรี,411068,234600,,10160300125291,กรมราชทัณฑ์ กระทรวงมหาดไทย,,เรื่อนจำกลางลพบุรี,15000,31001,5,เมืองลพบุรี,217
392.74,ทะเลชุบศร,ทำถุงพลาสติก,3-53(4)-1/15ลบ,สีหราชเดโชชัย,52,5304,ลพบุรี,411702,1730000,,10160100125152,บริษัท สุธารส อินทิเกรชั่น จำกัด,,สุธารสลพบุรี,15000,22220,6,เมืองลพบุรี,49
200,ทะเลชุบศร,ผลิตถุงพลาสติก,จ3-53(4)-29/62ลบ,สีหราชเดโชชัย,52,5304,ลพบุรี,,14000000,,20160167425626,บริษัท ลพบุรีสุธารส จำกัด,,บริษัท ลพบุรีสุธารส จำกัด,15000,22220,7,เมืองลพบุรี,12
111,ทะเลชุบศร,ผลิตคอนกรีตผสมเสร็จ,จ3-58(1)-166/60ลบ,-,8/3,5801,ลพบุรี,,5500000,8,20160016625608,ห้างหุ้นส่วนจำกัด บ้านสวนพาณิชย์,-,-,15000,23953,8,เมืองลพบุรี,2
249,ทะเลชุบศร,กลึง เจาะ กัด ไส และเชื่อมโลหะ,จ3-64(13)-30/50ลบ,-,5,6413,ลพบุรี,036-610447,6247000,3,20160003025507,ห้างหุ้นส่วนจำกัด อภิวัฒน์ เอ็นจิเนียริ่ง แอนด์ เซอร์วิส,-,ห้างหุ้นส่วนจำกัด อภิวัฒน์ เอ็นจิเนียริ่ง แอนด์ เซอร์วิส,15000,25922,9,เมืองลพบุรี,16
57.52,ทะเลชุบศร,ซ่อมเครื่องยนต์ และประกอบตัวถังรถยนต์,จ2-65-35/64ลบ,นารายณ์มหาราช,28/1-6,6500,ลพบุรี,411028,2578800,,20160247625641,บริษัท โตโยต้าลพบุรีอุดมชัยผู้จำหน่ายโตโยต้า จำกัด,,บริษัท โตโยต้าลพบุรีอุดมชัยผู้จำหน่ายโตโยต้า จำกัด,15000,28110,10,เมืองลพบุรี,40
