ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
ริมทางรถไฟสายเก่า,20-ต.ค., ,27.52,"600,000",1,11,3-95(1)-86/28,1,นายสมนึก รวยเรืองรุ่ง,ซ่อมและพ่นสีรถยนต์, ,10260,บางจาก,พระโขนง,กรุงเทพมหานคร,2
เอกชัย,มี.ค.-47,เอกสมบูรณ์,44.25,"1,000,000",2,12,3-64(9)-60/35,2,ห้างหุ้นส่วนจำกัด สินพิพัฒน์โลหะ (1996),ทำแปรงลวดสำหรับขัดสนิม,,10150,บางบอน,บางบอน,กรุงเทพมหานคร,6
ประชาอุทิศ,292,วิเชียร,52.31,"830,000",3,10,3-53(1)-30/20,3,ห้างหุ้นส่วนจำกัด ศิลป์ทองอุตสาหกรรม,ผลิตตุ๊กตาพลาสติก,4627938,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,4
ฉลองกรุง,211 เขตอุตสาหกรรมส่งออกลาดกระบัง, ,"5,565.00","103,978,487",4, -   ,น.86-2/2533-ญนล.,4,บริษัท เอ็นโด ไทย จำกัด,ผลิตไม้กอล์ฟและหัวไม้กอลฟ์ทำด้วยเหล็ก,3260342,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
ฉลองกรุง,108/2 เขตอุตสาหกรรมส่งออกลาดกระบัง, ,356.98,"30,025,000",5,250,น.33-2/2533-ญนล.,5,บริษัท แดนซ์แมน จำกัด,ผลิตรองเท้าที่ใช้สำหรับเต้นรำ และยิมนาสติกและกายบริหาร,3260164,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
อิสรภาพ,128,พิเศษสุข,"1,020.58","11,000,000",6,30,3-53(1)-67/33,6,ไทยรุ่งแสงอุตสาหกรรมพลาสติก,ทำภาชนะเครื่องใช้ด้วยพลาสติก, ,10600,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,
เจริญนคร,484/80,เจริญนคร 14/1,32.25,"520,000",7,6,3-64(9)-76/23,7,อุดมภัณฑ์พาณิชย์,ทำของใช้เล็ก ๆ จากโลหะ เช่น ฝากรองอากาศ น๊อต สกรู, ,10600,คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,
พระสุเมรุ,52/3-6,บ้านพานถม,48.7,"1,800,000",8,8,3-53(4)-55/35,8,ห้างหุ้นส่วนจำกัด น้ำแร่ธรรมชาติ ซพริง,ผลิตขวดพลาสติก,2815805,10200,บ้านพานถม,พระนคร,กรุงเทพมหานคร,
สุขสวัสดิ์,208/14-16, ,62.25,"300,000",9,25,3-71-25/33,9,นิวโก้อีเลคทริค,ประกอบเครื่องเชื่อมไฟฟ้า, ,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,8
เสรีไทย,5-ก.ย.,นิคมอุตสาหกรรมบางชัน, -   ,"1,000,000,000",10,186,น.7(2)-1/2520-ญนช.,10,บริษัท สยามร่วมมิตร จำกัด,ผลิตข้าวเกรียบกุ้งขนมคุกกี้ขนมผิงและขนมข้าวโพดอบกรอบ,,10230,คันนายาว,คันนายาว,กรุงเทพมหานคร,4
พระรามที่ 2,43/1301,จันทร์ม่วง,7,"255,000",11,4,3-64(9)-37/25,11,นายประทีป อดุลประวิตรชัย,ทำเครื่องใช้เล็ก ๆ จากโลหะ เช่น แบบพิมพ์, ,10150,จอมทอง,จอมทอง,กรุงเทพมหานคร,
,22,สุขาภิบาล 2 ซอย 31 ,247.42,"53,000,000",12,6,น.60-2/2540-ญอธ.,12,บริษัท ยูมิคอร์ พรีเชียส เมทัลส์ (ไทยแลนด์) จำกัด,แยกสกัด ทองคำและเงินให้บริสุทธิ์ และผลิตทองคำผสม โลหะผสมอื่นๆ,,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,
ประชาอุทิศ,469,วัฒนวงศ์,2.5,"2,450,000",13,7,3-46(2)-2/23,13,ห้างหุ้นส่วนจำกัด เอ็ม.ดี.ฟาร์ม,ผลิตยาแผนปัจจุบัน เช่น ยาน้ำ ยาเม็ด,4683598,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,
วิภาวดีรังสิต,52,ทางเข้าวัดเทพนิมิตร,27.16,"4,000,000",14,9,3-95(1)-118/42,14,รัตนะบริการ,ซ่อมและพ่นสีรถยนต์,,10210,สีกัน,ดอนเมือง,กรุงเทพมหานคร,4
จักรพรรดิพงษ์,10,ตรอกวัดโสมนัส,8,"700,000",15,7,3-95(1)-81/45,15,อู่ช่างเปีย (เบ็นซ์),รับจ้างซ่อมรถยนต์,,10100,วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,
ฉลองกรุง,300 นิคมอุตสาหกรรมลาดกระบัง,,"3,131.30","75,750,000",16,83,น.26-1/2533-นนล.,16,บริษัท ไทยมาร์โซล จำกัด,ผลิต แห-อวน (น้ำเค็ม)ตาข่ายสำหรับใช้ในสงคราม,,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,
สมเด็จพระเจ้าตากสิน,1028/55-58,,52.72,"3,650,000",17,13,3-64(6)-69/23,17,บริษัท บุญเท่งอุตสาหกรรม จำกัด,ทำน๊อต สกรู สลักและแป้นเกลียว,4685363,10600,บุคคโล,ธนบุรี,กรุงเทพมหานคร,
พระรามที่ 2,43/31,วัดกำแพง,"1,249.87","2,500,000",18,80,3-71-11/37,18,ห้างหุ้นส่วนจำกัด ย่งง่วนฮวดอุตสาหกรรม,ทำพัดลม ชิ้นส่วนอุปกรณ์ของพัดลม และแบบหล่อฉีดโลหะ,4158110,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,7
บางขุนเทียน-ชายทะเล,37,เทียนทะเล26 แยก2,336.8,"3,000,000",19,14,ข3-53(1)-21/55,19,บริษัท เค พี เอ็ม เทคโนโลยี จำกัด,ทำภาชนะเครื่องใช้พลาสติก และผลิตภัณฑ์จากพลาสติก,,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,
ฉลองกรุง,เขตอุตสาหกรรมนิืคมลาดกระบัง, ,410.25,"24,000,000",20,250,น.82-1/2534-ญนล.,20,บริษัท ซิวิกาอุตสาหกรรม จำกัด,ผลืตและประกอบกล้องถ่ายรูปและอุปกรณ์กล้องถ่ายรูป, ,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,4
สุขาภิบาล 2,48/13นิคมฯอัญธานี, , -   ,"18,750,000",21,52,น.84(1)-3/2537-ญอธ.,21,บริษัท ไทย เซเมรุ พิไค จำกัด,ผลิตเครื่องประดับกายและอัญมณี, ,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,4
สุขสวัสดิ์,18-มี.ค.,สุขสวัสดิ์ 14,105.25,"1,260,000",22,25,3-71-2/16,22,ห้างหุ้นส่วนจำกัด ที.แอล.เอ็ม.มอเตอร์,ผลิตเครื่องกำเนิดไฟฟ้า,4772970,10150,จอมทอง,จอมทอง,กรุงเทพมหานคร,5
พัฒนาการ,110/122-123,,446.83,"5,000,000",23,30,3-52(4)-1/44,23,ห้างหุ้นส่วนจำกัด สยามชัยรับเบอร์,ทำรองเท้าจากยางและพลาสติก,8021411,10160,บางแค,บางแค,กรุงเทพมหานคร,2
เสรีไทย,ข 30,,"1,545.62","193,000,000",24,402,น.72-12/2535-ญนช.,24,บริษัท ไทเทียน อีเลคทรอนิคส์ จำกัด,ผลิตชิ้นส่วนอิเล็คทรอนิคส์(QUARTZ GRYSTAL TUNING FORK และ AT CUT GRYSTALS),919-9785-9,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,14
ลาดพร้าว,69/14,ลาดพร้าว 109,22.5,"880,000",25,10,3-95(1)-54/32,25,นายอักษร ยินบัว,ซ่อม และพ่นสีรถยนต์,3771095,10240,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2
เลียบคลองสอง,16-ม.ค.,-,16,"650,000",26,10,3-95(1)-67/44,26,บริษัท เจ.เอส.ออโต้เซอร์วิส จำกัด,เคาะพ่นสีรถยนต์,,10510,บางชัน,คลองสามวา,กรุงเทพมหานคร,9
เพชรเกษม,103,,"1,239.00","15,300,000",27,180,3-10(2)-1/30,27,บริษัท คงหงวน บิสกิต แฟคตอรี่ (ไทยแลนด์) จำกัด,ทำขนมปัง และลูกกวาดชนิดต่าง ๆ,4130266,10160,บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,15
