ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
ลาดพร้าว,757,ลาดพร้าว 87,42.25,4770000,1,12,3-78(2)-14/53,1,บริษัท วานิช โปรดักชั่นส์ จำกัด,"ทำอะไหล่รถจักรยานยนต์ เช่น มือจับ ขาตั้ง สปริง น๊อต ได้ปีละ 36,000 ชิ้น",,10240,วังทองหลาง*,บางกะปิ,กรุงเทพมหานคร,7
,20,-,60.75,5000000,2,34,3-39-7/43,2,บริษัท อุดม คอนเทนเนอร์ จำกัด,ทำกล่องกระดาษ,02-8033736,10160,บางแค,บางแค,กรุงเทพมหานคร,
สุขาภิบาล 1,77/55-59,บางบอน 23,107,9000000,3,28,3-41(1)-2/44,3,บริษัท พรรณีการพิมพ์ จำกัด,พิมพ์สิ่งพิมพ์ต่าง ๆ,,10160,บางแค,บางแค,กรุงเทพมหานคร,9
พัฒนาการ,110/122-123,,446.83,5000000,4,30,3-52(4)-1/44,4,ห้างหุ้นส่วนจำกัด สยามชัยรับเบอร์,ทำรองเท้าจากยางและพลาสติก,8021411,10160,บางแค,บางแค,กรุงเทพมหานคร,2
เพชรเกษม,394/8,เพชรเกษม 63,63.5,4100000,5,12,3-62-2/42,5,นายภวัต ดีประสิทธิกุล,อุปกรณ์เครื่องเรือน,1,10160,บางแค,บางแค,กรุงเทพมหานคร,10
วงแหวนรอบนอก,16/1,,251.35,20000000,6,7,3-58(1)-10/38,6,หน่วยผลิตคอนกรีตบางแค,ผลิตและจำหน่ายคอนกรีตผสมเสร็จ,,10160,บางแค,บางแค,กรุงเทพมหานคร,8
สุขาภิบาล 1,21/184,หนองใหญ่,83.16,5500000,7,17,3-64(13)-1/45,7,นายวิชัย แสงพงษ์นภา,กลึง เจาะ คว้าน กัด ไส เจียร และเชื่อมโลหะทั่วไป,02-8034225,10160,บางแค,บางแค,กรุงเทพมหานคร,8
เพชรเกษม,43/3-4,เพชรเกษม 41,475,7200000,8,15,3-39-30/48,8,บริษัท ราชาการพิมพ์ (2002) จำกัด,ทำกล่องกระดาษและตบแต่งสิ่งพิมพ์,,10160,บางแค,บางแค,กรุงเทพมหานคร,3
บางแค,646,,33.44,330000,9,10,3-95(1)-101/35,9,กำพลยานยนต์,ซ่อม เคาะ พ่นสีรถยนต์,,10160,บางแค,บางแค,กรุงเทพมหานคร,
สุขาภิบาล 1,"84/4,84/16",ดำรงค์ 3,8.98,550000,10,8,ศ3-37-23/35,10,นายสุพจน์ มงคลฐิตินันท์,ทำเครื่องเรือนจากไม้หุ้มเบาะ,,10160,บางแค,บางแค,กรุงเทพมหานคร,8
