_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ,ปริมาณน้ำเสีย,หน่วย
1,3-2(1)-18/54พล,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,500,ลบ.ม.
2,3-2(1)-2/35พล,บริษัท โรงสีไฟสิงหวัฒน์ จำกัด,500,ลบ.ม.
3,3-2(1)-29/53พล,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,500,ลบ.ม.
4,จ3-2(1)-1/39พล,บริษัท มอนซานโต้ไทยแลนด์ จำกัด,20,ลบ.ม.
5,จ3-2(1)-10/64พล,ห้างหุ้นส่วนจำกัด เกษตรมีแลนด์,1,ลบ.ม.
6,จ3-2(1)-11/56พล,นางอินทธิรา ลี้ชัยมงคล,1,ลบ.ม.
7,จ3-2(1)-11/62พล,นางอินทธิรา ลี้ชัยมงคล,1,ลบ.ม.
8,จ3-2(1)-2/43พล,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,1,ลบ.ม.
9,จ3-2(1)-2/45พล,นางอมรพร มานะกิจศิริสุทธิ์,1,ลบ.ม.
10,จ3-2(1)-3/41พล,บริษัท โรงสีเจริญพาณิชย์ จำกัด,1,ลบ.ม.
11,จ3-2(1)-3/43พล,สหกรณ์การเกษตรพรหมพิราม จำกัด,1,ลบ.ม.
12,จ3-2(1)-3/62พล,สหกรณ์การเกษตรพรหมพิราม จำกัด,2,ลบ.ม.
13,จ3-2(1)-30/50พล,นายศุภรัตน์ ศักรนันท์,1,ลบ.ม.
14,จ3-2(1)-31/61พล,นางสาวธนิยาภา สุทธิ,1,ลบ.ม.
15,จ3-2(1)-39/52พล,นายธรรมนูญ ไกรเกตุ,1,ลบ.ม.
16,จ3-2(1)-4/46พล,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ,1,ลบ.ม.
17,จ3-2(1)-43/48พล,ศูนย์เมล็ดพันธุ์ข้าวพิษณุโลก,2,ลบ.ม.
18,จ3-2(1)-43/60พล,ห้างหุ้นส่วนจำกัด บี.ที.เอส.อิมปอร์ต,1,ลบ.ม.
19,จ3-2(1)-62/55พล,ห้างหุ้นส่วนจำกัด โชคสันติ,2,ลบ.ม.
20,จ3-2(1)-64/55พล,บริษัท วิเศษพานิช ไซโล จำกัด,2,ลบ.ม.
21,จ3-2(1)-7/56พล,นายเชาว์ ยาประเสริฐ,1,ลบ.ม.
22,จ3-2(1)-7/57พล,นายเรวัฒ จินดารัตนวงศ์,2,ลบ.ม.
23,จ3-2(1)-78/56พล,นางสาวสำเริง สีปาน,2,ลบ.ม.
24,จ3-2(5)-1/45พล,นายธงชัย มนะเกษตรธาร,1,ลบ.ม.
25,จ3-2(5)-10/51พล,นางพิมพ์ฉวี พัฒนพงษ์,0.5,ลบ.ม.
26,จ3-2(5)-10/52พล,นางสาวปัญชลี โกเมศมุนีบริรักษ์,0.5,ลบ.ม.
27,จ3-2(5)-10/56พล,นางสาวอำพร แก่นท่าตาล,0.5,ลบ.ม.
28,จ3-2(5)-11/50พล,บริษัท เกษตรไพศาลธัญกิจ จำกัด,0.5,ลบ.ม.
29,จ3-2(5)-13/52พล,นางพิพรพันธ์ ลิ้มตระกูล,0.5,ลบ.ม.
30,จ3-2(5)-13/54พล,นายเกียรติศักดิ์ ลี้ชัยมงคล,0.5,ลบ.ม.
31,จ3-2(5)-14/52พล,นายพิทักษ์พงษ์ เกียรติดำรงค์กุล,0.5,ลบ.ม.
32,จ3-2(5)-14/57พล,นายก้องเกียรติ เหลืองเจษฎากุล,0.5,ลบ.ม.
33,จ3-2(5)-15/58พล,นายคัชเชนร์ ประสาทชัย,0.5,ลบ.ม.
34,จ3-2(5)-16/56พล,ห้างหุ้นส่วนจำกัด โชคอำนวยพร 2,0.5,ลบ.ม.
35,จ3-2(5)-16/58พล,ห้างหุ้นส่วนจำกัด สีทองดี,0.5,ลบ.ม.
36,จ3-2(5)-17/56พล,นายจงรัก เสนานุช,0.5,ลบ.ม.
37,จ3-2(5)-17/57พล,นายกฎเกณฑ์ มูลขำ,0.5,ลบ.ม.
38,จ3-2(5)-18/55พล,นายธีระพัตร์ ทองกร,0.5,ลบ.ม.
39,จ3-2(5)-18/57พล,นายอนุชา น้อยวงศ์,0.5,ลบ.ม.
40,จ3-2(5)-19/58พล,ห้างหุ้นส่วนจำกัด มุ่ย เฮง เฮง เฮง,0.5,ลบ.ม.
41,จ3-2(5)-2/52พล,นายยงยุทธ เส็งพานิช,0.5,ลบ.ม.
