_id,เลขทะเบียนเดิม,น้ำที่ได้รับการบำบัด,ผู้ประกอบการ,หน่วย
1,3-2(1)-18/54พล,500.0,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,ลบ.ม.
2,3-2(1)-2/35พล,500.0,บริษัท โรงสีไฟสิงหวัฒน์ จำกัด,ลบ.ม.
3,3-2(1)-29/53พล,500.0,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,ลบ.ม.
4,จ3-2(1)-1/39พล,20.0,บริษัท มอนซานโต้ไทยแลนด์ จำกัด,ลบ.ม.
5,จ3-2(1)-10/64พล,1.0,ห้างหุ้นส่วนจำกัด เกษตรมีแลนด์,ลบ.ม.
6,จ3-2(1)-11/56พล,1.0,นางอินทธิรา ลี้ชัยมงคล,ลบ.ม.
7,จ3-2(1)-11/62พล,1.0,นางอินทธิรา ลี้ชัยมงคล,ลบ.ม.
8,จ3-2(1)-2/43พล,1.0,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,ลบ.ม.
9,จ3-2(1)-2/45พล,1.0,นางอมรพร มานะกิจศิริสุทธิ์,ลบ.ม.
10,จ3-2(1)-3/41พล,1.0,บริษัท โรงสีเจริญพาณิชย์ จำกัด,ลบ.ม.
11,จ3-2(1)-3/43พล,1.0,สหกรณ์การเกษตรพรหมพิราม จำกัด,ลบ.ม.
12,จ3-2(1)-3/62พล,2.0,สหกรณ์การเกษตรพรหมพิราม จำกัด,ลบ.ม.
13,จ3-2(1)-30/50พล,1.0,นายศุภรัตน์ ศักรนันท์,ลบ.ม.
14,จ3-2(1)-31/61พล,1.0,นางสาวธนิยาภา สุทธิ,ลบ.ม.
15,จ3-2(1)-39/52พล,1.0,นายธรรมนูญ ไกรเกตุ,ลบ.ม.
16,จ3-2(1)-4/46พล,1.0,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ,ลบ.ม.
17,จ3-2(1)-43/48พล,2.0,ศูนย์เมล็ดพันธุ์ข้าวพิษณุโลก,ลบ.ม.
18,จ3-2(1)-43/60พล,1.0,ห้างหุ้นส่วนจำกัด บี.ที.เอส.อิมปอร์ต,ลบ.ม.
19,จ3-2(1)-62/55พล,2.0,ห้างหุ้นส่วนจำกัด โชคสันติ,ลบ.ม.
20,จ3-2(1)-64/55พล,2.0,บริษัท วิเศษพานิช ไซโล จำกัด,ลบ.ม.
21,จ3-2(1)-7/56พล,1.0,นายเชาว์ ยาประเสริฐ,ลบ.ม.
22,จ3-2(1)-7/57พล,2.0,นายเรวัฒ จินดารัตนวงศ์,ลบ.ม.
23,จ3-2(1)-78/56พล,2.0,นางสาวสำเริง สีปาน,ลบ.ม.
24,จ3-2(5)-1/45พล,1.0,นายธงชัย มนะเกษตรธาร,ลบ.ม.
25,จ3-2(5)-10/51พล,0.5,นางพิมพ์ฉวี พัฒนพงษ์,ลบ.ม.
26,จ3-2(5)-10/52พล,0.5,นางสาวปัญชลี โกเมศมุนีบริรักษ์,ลบ.ม.
27,จ3-2(5)-10/56พล,0.5,นางสาวอำพร แก่นท่าตาล,ลบ.ม.
28,จ3-2(5)-11/50พล,0.5,บริษัท เกษตรไพศาลธัญกิจ จำกัด,ลบ.ม.
29,จ3-2(5)-13/52พล,0.5,นางพิพรพันธ์ ลิ้มตระกูล,ลบ.ม.
30,จ3-2(5)-13/54พล,0.5,นายเกียรติศักดิ์ ลี้ชัยมงคล,ลบ.ม.
31,จ3-2(5)-14/52พล,0.5,นายพิทักษ์พงษ์ เกียรติดำรงค์กุล,ลบ.ม.
32,จ3-2(5)-14/57พล,0.5,นายก้องเกียรติ เหลืองเจษฎากุล,ลบ.ม.
33,จ3-2(5)-15/58พล,0.5,นายคัชเชนร์ ประสาทชัย,ลบ.ม.
34,จ3-2(5)-16/56พล,0.5,ห้างหุ้นส่วนจำกัด โชคอำนวยพร 2,ลบ.ม.
35,จ3-2(5)-16/58พล,0.5,ห้างหุ้นส่วนจำกัด สีทองดี,ลบ.ม.
36,จ3-2(5)-17/56พล,0.5,นายจงรัก เสนานุช,ลบ.ม.
37,จ3-2(5)-17/57พล,0.5,นายกฎเกณฑ์ มูลขำ,ลบ.ม.
38,จ3-2(5)-18/55พล,0.5,นายธีระพัตร์ ทองกร,ลบ.ม.
39,จ3-2(5)-18/57พล,0.5,นายอนุชา น้อยวงศ์,ลบ.ม.
40,จ3-2(5)-19/58พล,0.5,ห้างหุ้นส่วนจำกัด มุ่ย เฮง เฮง เฮง,ลบ.ม.
41,จ3-2(5)-2/52พล,0.5,นายยงยุทธ เส็งพานิช,ลบ.ม.
42,จ3-2(5)-2/58พล,0.5,ห้างหุ้นส่วนจำกัด พงษ์กิจพืชไร่,ลบ.ม.
43,จ3-2(5)-21/55พล,0.5,นายบุญเริ่ม หอมอ่อน,ลบ.ม.
44,จ3-2(5)-21/57พล,0.5,นางสาวตรีรัตน์ สังสีแก้ว,ลบ.ม.
45,จ3-2(5)-3/50พล,0.5,นายอนุสรณ์ เกียรติยศไกรลาศ,ลบ.ม.
46,จ3-2(5)-3/56พล,0.5,ห้างหุ้นส่วนจำกัด บี.ที.เอส.อิมปอร์ต,ลบ.ม.
47,จ3-2(5)-30/55พล,0.5,นางมยุรี หอมอ่อน,ลบ.ม.
48,จ3-2(5)-33/55พล,0.5,นายอิศรา ปานเกิด,ลบ.ม.
49,จ3-2(5)-34/55พล,0.5,นางสาวทิพวรรณ เดชธาดา,ลบ.ม.
50,จ3-2(5)-37/59พล,0.5,ห้างหุ้นส่วนจำกัด จุ้ยเจริญกิจ,ลบ.ม.
51,จ3-2(5)-4/44พล,0.5,นางจุฬาพร หาญวัฒนาศิริ,ลบ.ม.
52,จ3-2(5)-4/46พล,0.5,นางจุฑาทิพย์ ฟักคง,ลบ.ม.
53,จ3-2(5)-4/52พล,0.5,บริษัท เกษตรไพศาลธัญกิจ จำกัด,ลบ.ม.
54,จ3-2(5)-4/56พล,0.5,นางจีราภรณ์ มาดี,ลบ.ม.
55,จ3-2(5)-40/49พล,0.5,นายเขียว ดีอินทร์,ลบ.ม.
56,จ3-2(5)-47/55พล,0.5,บริษัท เกษตรไพศาลธัญกิจ จำกัด,ลบ.ม.
57,จ3-2(5)-5/56พล,0.5,นายประจักร์ คำจำปา,ลบ.ม.
58,จ3-2(5)-55/55พล,0.5,นายชัชวาลย์ วิเศษพานิช,ลบ.ม.
59,จ3-2(5)-6/44พล,0.5,บริษัท ส.ธนวัฒน์พืชผล จำกัด,ลบ.ม.
60,จ3-2(5)-6/46พล,0.5,นายบุญส่ง แตงอ่ำ,ลบ.ม.
61,จ3-2(5)-6/54พล,0.5,นายประยูร ประสาทชัย,ลบ.ม.
62,จ3-2(5)-6/55พล,0.5,นายสาธิต พิทยาเวชวิวัฒน์,ลบ.ม.
63,จ3-2(5)-6/65พล,0.5,นางสาวธันย์ชนก ฟักคง,ลบ.ม.
64,จ3-2(5)-7/52พล,0.5,นายพิทักษ์พงษ์ เกียรติดำรงค์กุล,ลบ.ม.
65,จ3-2(5)-7/54พล,0.5,นางวันชัย ยศปัญญา,ลบ.ม.
66,จ3-2(5)-7/61พล,0.5,นางสาวธันย์ชนก ฟักคง,ลบ.ม.
67,จ3-2(5)-7/63พล,0.5,นางสาวธัญณภัสศ์ มีจันโท,ลบ.ม.
68,จ3-2(9)-1/45พล,2.0,บริษัท สิงหวัฒน์เทรดดิ้ง จำกัด,ลบ.ม.
69,จ3-2(9)-6/57พล,2.0,นายฤชัย แซ่ฉั่ว,ลบ.ม.
70,ธ3-3(1)-1/40พล,2.0,บริษัท เจ.คอนสตรัคชั่น จำกัด,ลบ.ม.
71,จ3-3(2)-1/65พล,0.5,นายแสวง ขอบใจ,ลบ.ม.
72,จ3-3(2)-115/64พล,0.5,บริษัท ทรายชัยประเสริฐ จำกัด,ลบ.ม.
73,จ3-3(2)-129/63พล,0.5,บริษัท เพิ่มพูน บารมี พิษณุโลก จำกัด,ลบ.ม.
74,จ3-3(2)-145/64พล,0.5,นายอนุสรณ์ สีแพร,ลบ.ม.
75,จ3-3(2)-148/64พล,0.5,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,ลบ.ม.
76,จ3-3(2)-185/61พล,0.5,บริษัท เพิ่มพูน บารมี จำกัด,ลบ.ม.
77,จ3-3(2)-187/62พล,0.5,บริษัท เพิ่มพูน บารมี จำกัด,ลบ.ม.
78,จ3-3(2)-190/63พล,0.5,นางสาวสายไหม มั่งมี,ลบ.ม.
79,จ3-3(2)-191/63พล,0.5,นางสาวอัญชลี ขุนศรี,ลบ.ม.
80,จ3-3(2)-211/58พล,0.5,นางปิ่นเพชร พูลสวัสดิ์,ลบ.ม.
81,จ3-3(2)-211/64พล,0.5,บริษัท ธิติดา ทรานสปอร์ต จำกัด,ลบ.ม.
82,จ3-3(2)-212/64พล,0.5,นางเฉลียว จันทร์เกษร,ลบ.ม.
83,จ3-3(2)-268/59พล,0.5,นายมานัส พลอยครุฑ,ลบ.ม.
84,จ3-3(2)-293/61พล,0.5,บริษัท เพิ่มพูน บารมี จำกัด,ลบ.ม.
85,จ3-3(2)-34/64พล,0.5,นางสาวจิรนุช ขุนศรี,ลบ.ม.
86,จ3-3(2)-70/63พล,0.5,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,ลบ.ม.
87,จ3-3(2)-81/56พล,0.5,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,ลบ.ม.
88,จ3-3(2)-82/64พล,0.5,นายเสกสรรค์ เกตุนาค,ลบ.ม.
89,จ3-3(4)-1/40พล,0.5,นายมานัส พลอยครุฑ,ลบ.ม.
90,จ3-3(4)-1/42พล,0.5,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,ลบ.ม.
91,จ3-3(4)-13/56พล,0.5,นางสาวจิรนุช ขุนศรี,ลบ.ม.
92,จ3-3(4)-54/55พล,0.5,นางสมศรี ชัยเชย,ลบ.ม.
93,จ3-3(4)-79/51พล,0.5,นายประมวล ขุนศรี,ลบ.ม.
94,จ3-3(4)-88/48พล,0.5,นายประมวล ขุนศรี,ลบ.ม.
95,จ3-3(4)-89/48พล,0.5,นางสาวอัจฉรา อินทร์พิมพ์,ลบ.ม.
96,3-4(1)-1/35พล,50.0,เทศบาลนครพิษณุโลก,ลบ.ม.
97,3-4(1)-23/61พล,500.0,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด,ลบ.ม.
98,จ3-4(1)-15/56พล,50.0,นางสาวสัตตบงกช สิริวราพาณิช,ลบ.ม.
99,จ3-4(1)-2/50พล,50.0,นางระเบียบ สิงห์เรือง,ลบ.ม.
100,จ3-4(1)-26/62พล,200.0,บริษัท เมืองพลการเกษตร จำกัด,ลบ.ม.
101,จ3-4(1)-6/58พล,200.0,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,ลบ.ม.
102,3-4(3)-1/32พล,50.0,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์สุพัตรา,ลบ.ม.
103,จ3-4(3)-11/53พล,40.0,นางสิริเพ็ญ พงษ์โอภาส,ลบ.ม.
104,จ3-4(3)-29/59พล,20.0,ห้างหุ้นส่วนจำกัด ฟาร์มอดุลย์ วังมะด่าน,ลบ.ม.
105,จ3-4(6)-5/64พล,50.0,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด ,ลบ.ม.
106,จ3-4(7)-4/60พล,100.0,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),ลบ.ม.
107,จ3-5(1)-2/52พล,20.0,บริษัท พิษณุโลกโกลด์มิลค์ จำกัด,ลบ.ม.
108,จ2-6(3)-1/63พล,20.0,บริษัท เอ-วัน ฟู้ดโปรดักส์ จำกัด,ลบ.ม.
109,จ3-7(1)-9/50พล,5.0,นายธนวิน ธนเศรษฐ์ภูมิไพศาล,ลบ.ม.
110,3-8(1)-4/54พล,50.0,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด,ลบ.ม.
111,3-8(1)-9/60พล,50.0,บริษัท สยาม พีนา แอนด์ ฟรุ๊ตส์ จำกัด,ลบ.ม.
112,จ3-8(1)-30/60พล,2.5,บริษัท บานาน่าโซไซตี้ จำกัด,ลบ.ม.
113,จ3-8(1)-33/60พล,3.5,บริษัท จิราพรฟู๊ด จำกัด,ลบ.ม.
114,จ3-8(2)-1/45พล,50.0,บริษัท ไทยนิปปอนฟู้ดส์ จำกัด,ลบ.ม.
115,จ3-8(2)-14/59พล,5.0,นางสุภาภรณ์ จูด้วง,ลบ.ม.
116,จ3-8(2)-6/63พล,50.0,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน),ลบ.ม.
117,ศ3-8(2)-1/34พล,500.0,บริษัท วังทองผลพืช จำกัด,ลบ.ม.
118,3-9(1)-1/32พล,2.0,บริษัท โรงสีเจริญพาณิชย์ จำกัด,ลบ.ม.
119,3-9(1)-15/57พล,2.0,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,ลบ.ม.
120,3-9(1)-19/50พล,2.0,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,ลบ.ม.
121,3-9(1)-31/52พล,6.0,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,ลบ.ม.
122,3-9(1)-31/55พล,2.0,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด,ลบ.ม.
123,3-9(1)-48/56พล,1.0,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,ลบ.ม.
124,3-9(1)-63/21พล,1.8,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,ลบ.ม.
125,3-9(1)-67/52พล,3.5,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,ลบ.ม.
126,3-9(1)-71/56พล,50.0,บริษัท ที.เอส.พี.ไรซ์ จำกัด,ลบ.ม.
127,จ3-9(1)-1/45พล,0.3,นายบุญชู วงษ์นิยม,ลบ.ม.
128,จ3-9(1)-13/55พล,1.0,นายฉัตรชัย วิชชุปัญญาพาณิชย์,ลบ.ม.
129,จ3-9(1)-3/26พล,0.6,นางอมรพร มานะกิจศิริสุทธิ์,ลบ.ม.
130,จ3-9(1)-34/20พล,0.4,นายเปี่ยมศักดิ์ พลอยกิติกูล,ลบ.ม.
131,จ3-9(1)-46/47พล,0.2,นางอินทธิรา ลี้ชัยมงคล,ลบ.ม.
132,จ3-9(1)-5/37พล,0.2,นางมนทิรา ตันพิศมัย,ลบ.ม.
133,จ3-9(1)-5/42พล,0.4,"นายนิรันดร์,เบ็ญจา ลิ้มศิริวงษ์",ลบ.ม.
134,จ3-9(1)-53/47พล,2.4,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ,ลบ.ม.
135,จ3-9(1)-6/46พล,0.4,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,ลบ.ม.
136,จ3-9(1)-61/52พล,0.4,ห้างหุ้นส่วนจำกัด โชคสันติ,ลบ.ม.
137,จ3-9(1)-69/48พล,0.2,บริษัท ส.ธนวัฒน์พืชผล จำกัด,ลบ.ม.
138,จ3-9(1)-7/46พล,3.2,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,ลบ.ม.
