เดือน,ที่มา,_id,ปี,ค่า,รายการ,หน่วย
1,สำนักงานพาณิชย์จังหวัดกระบี่,1,2562,"264,471",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,2,2562,"293,805",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,3,2562,"413,215",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,4,2562,"438,521",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,5,2562,"502,537",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,6,2562,"397,832",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,7,2562,"378,935",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,8,2562,"295,288",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,9,2562,"235,037",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,10,2562,"223,813",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,11,2562,"183,436",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,12,2562,"138,240",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,13,2563,"132,191",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,14,2563,"227,992",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,15,2563,"350,668",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,16,2563,"451,412",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,17,2563,"447,574",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,18,2563,"411,383",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,19,2563,"303,824",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,20,2563,"277,431",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,21,2563,"213,964",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,22,2563,"180,436",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,23,2563,"121,739",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,24,2563,"102,088",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,25,2564,"116,732",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,26,2564,"222,117",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,27,2564,"407,761",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,28,2564,"471,650",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,29,2564,"482,063",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,30,2564,"358,169",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,31,2564,"332,543",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,32,2564,"329,727",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,33,2564,"306,097",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,34,2564,"323,543",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,35,2564,"258,356",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,36,2564,"182,717",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,37,2565,"221,412",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,38,2565,"222,125",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,39,2565,"342,675",ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
