เดือน,ที่มา,_id,ปี,ค่า,รายการ,หน่วย
1,สำนักงานพาณิชย์จังหวัดกระบี่,1,2562,47587.878,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,2,2562,52849.213,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,3,2562,72220.285,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,4,2562,75331.349,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,5,2562,88901.415,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,6,2562,72033.893,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,7,2562,70579.376,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,8,2562,53518.373,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,9,2562,42563.147,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,10,2562,41205.129,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,11,2562,33374.27,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,12,2562,24742.48,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,13,2563,22436.237,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,14,2563,36282.638,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,15,2563,55160.066,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,16,2563,68582.07,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,17,2563,75116.334,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,18,2563,73934.748,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,19,2563,58657.134,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,20,2563,52210.898,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,21,2563,39581.489,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,22,2563,32247.573,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,23,2563,22062.903,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,24,2563,17561.555,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,25,2564,18929.309,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,26,2564,36455.315,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,27,2564,67094.238,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,28,2564,76875.993,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,29,2564,83400.428,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,30,2564,64502.132,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,31,2564,60027.709,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,32,2564,59123.529,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,33,2564,55381.143,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,34,2564,59316.93,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,35,2564,45954.099,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,36,2564,33283.581,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,37,2565,40645.55,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,38,2565,36455.315,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,39,2565,68233.396,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,40,2565,76875.993,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,41,2565,63063.736,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,42,2565,62289.744,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,43,2565,58278.226,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,44,2565,68390.675,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,45,2565,81127.826,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,46,2565,80600.776,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,47,2565,69451.607,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,48,2565,65097.286,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,49,2566,77757.407,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,50,2566,83596.41,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,51,2566,76498.774,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,52,2566,60725.27,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,53,2566,59780.67,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,54,2566,54182.26,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,55,2566,57134.39,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,56,2566,70296.04,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,57,2566,67780.64,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,58,2566,65986.13,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,59,2566,57200.37,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,60,2566,49550.14,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,61,2567,54681.024,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,62,2567,46993.492,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,63,2567,72837.438,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,64,2567,75882.088,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,65,2567,85472.074,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,66,2567,92895.732,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,67,2567,89573.097,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,68,2567,74500.593,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,69,2567,51441.811,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,70,2567,40508.369,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,71,2567,41547.254,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,72,2567,27315.801,ปริมาณน้ำมันปาล์มดิบที่ผลิตได้ในจังหวัดกระบี่,ตัน
