เดือน,จำนวน,ที่มา,จังหวัด,_id,ข้อมูล,การจำแนก,ปีงบประมาณ,หน่วย
ตุลาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,1,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
ตุลาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,2,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
พศจิกายน,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,3,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
พศจิกายน,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,4,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
ธันวาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,5,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
ธันวาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,6,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
มกราคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,7,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
มกราคม,1,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,8,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
กุมภาพันธ์,10,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,9,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
กุมภาพันธ์,2,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,10,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
มีนาคม,12,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,11,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
มีนาคม,2,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,12,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
เมษายน,14,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,13,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
เมษายน,3,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,14,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
พฤษภาคม,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,15,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
พฤษภาคม,3,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,16,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
มิถุนายน,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,17,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,โรงงานสีขาว,2567,แห่ง
มิถุนายน,3,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,18,การแสดงเจตจำนงเข้าร่วมกิจกรรมการป้องกันและแก้ไขปัญหายาเสพติด,มยส.,2567,แห่ง
