จำนวน,_id,ปี,ชนิดรถ,รายการ,ประเภทรถ,หน่วย
30,1,2561,รวม,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
10,2,2561,ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
28,3,2561,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
1,4,2561,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
1029,5,2561,รวม,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
481,6,2561,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
548,7,2561,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
,8,2561,รถขนาดเล็ก,รถจดทะเบียนใหม่ ,รถขนาดเล็ก,คัน
46,9,2562,รวม,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
3,10,2562,ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
40,11,2562,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
3,12,2562,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
979,13,2562,รวม,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
488,14,2562,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
491,15,2562,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
,16,2562,รถขนาดเล็ก,รถจดทะเบียนใหม่ ,รถขนาดเล็ก,คัน
29,17,2563,รวม,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
8,18,2563,ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
19,19,2563,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
2,20,2563,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
818,21,2563,รวม,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
469,22,2563,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
349,23,2563,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
,24,2563,รถขนาดเล็ก,รถจดทะเบียนใหม่ ,รถขนาดเล็ก,คัน
17,25,2564,รวม,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
3,26,2564,ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
13,27,2564,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
1,28,2564,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
998,29,2564,รวม,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
603,30,2564,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
395,31,2564,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
,32,2564,รถขนาดเล็ก,รถจดทะเบียนใหม่ ,รถขนาดเล็ก,คัน
6,33,2565,รวม,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
,34,2565,ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
6,35,2565,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
,36,2565,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
901,37,2565,รวม,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
570,38,2565,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
331,39,2565,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
,40,2565,รถขนาดเล็ก,รถจดทะเบียนใหม่ ,รถขนาดเล็ก,คัน
9,41,2566,รวม,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
,42,2566,ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
4,43,2566,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
5,44,2566,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถโดยสาร,คัน
1030,45,2566,รวม,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
665,46,2566,ไม่ประจำทาง,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
365,47,2566,ส่วนบุคคล,รถจดทะเบียนใหม่ ,รถบรรทุก,คัน
,48,2566,รถขนาดเล็ก,รถจดทะเบียนใหม่ ,รถขนาดเล็ก,คัน
