แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
404,ในเมือง,ปรับปรุงคุณภาพและคัดแยกข้าวสาร 80 ตัน/วัน,จ3-2(9)-1/46บร,บุรีรัมย์-สตึก,175,209,บุรีรัมย์,01/8769958,57000000,6,20310000125467,บริษัท บุรีรัมย์สหสินข้าวไทย จำกัด,,บริษัท บุรีรัมย์สหสินข้าวไทย จำกัด,31000,28240,1,เมืองบุรีรัมย์,37
940.93,ในเมือง,ทำน้ำแข็งก้อนเล็ก ได้วันละ 140 ตัน/วัน,3-14-1/29บร,ธานี,46/5,1400,บุรีรัมย์,044-611619,9100000,,10310100125294,ห้างหุ้นส่วนจำกัด ชัยศิริบุรีรัมย์,,ห้างหุ้นส่วนจำกัด ชัยศิริบุรีรัมย์,31000,10795,2,เมืองบุรีรัมย์,7
98.13,ในเมือง,"พิมพ์สิ่งพิมพ์ต่างๆ,ทำสำเนา,เย็บเข้าเล่ม หรือตกแต่งสิ่งพิมพ์",จ3-41(1)-4/63บร,รมย์บุรี,26/3,4101,บุรีรัมย์,0818785188,11000000,-,20310033425637,นายเรวัต ประหยัดรัตน์,-,ร้านเรวัตการพิมพ์,31000,17092,3,เมืองบุรีรัมย์,19
164.36,ในเมือง,กลึงและเชื่อมโลหะทั่วไป,จ3-64(13)-1/36บร,บุรีรัมย์-พุทไธสง,175/7,6413,บุรีรัมย์,0924835544,1800000,,20310100125367,บริษัท สง่ายนต์ ออโต้เวิร์ค จำกัด,,บริษัท สง่ายนต์ ออโต้เวิร์ค จำกัด,31000,25922,4,เมืองบุรีรัมย์,6
78,ในเมือง,ทำและซ่อมอุปกรณ์ชิ้นส่วนของเครื่อง เช่น น๊อต สกูร ฯลฯ,จ3-65-3/36บร,รมย์บุรี,4/1 - 3,6500,บุรีรัมย์,612394,9500000,,20310000325364,นางสาวเอมิกา ว่องโชติกุล,,โรงกลึงบุรีรัมย์,31000,33121,5,เมืองบุรีรัมย์,16
127.87,ในเมือง,ซ่อมรถยนต์,3-95(1)-1/29บร,ธานี,35/13-14,9501,บุรีรัมย์,044616812,1440000,,10310200125293,บริษัท คิงส์ยนต์ จำกัด,,บริษัท คิงส์ยนต์ จำกัด สาขาบุรีรัมย์,31000,33121,6,เมืองบุรีรัมย์,20
2128.5,อิสาณ,โม่ บด ย่อยหิน,3-3(1)-1/36บร,บุรีรัมย์-ประโคนชัย,30/2,301,บุรีรัมย์,044-614414,29900000,4,10310000125360,บริษัท ศิลาชัยบุรีรัมย์ (1991) จำกัด, ,บริษัท ศิลาชัยบุรีรัมย์ (1991) จำกัด,31000,23961,7,เมืองบุรีรัมย์,175
4024.5,อิสาณ,โม่ บด ย่อยหิน กำลังการผลิต 39600 ลูกบาศก์เมตรต่อปี,3-3(1)-1/37บร,บุรีรัมย์-สุรินทร์,1,301,บุรีรัมย์, ,9100000, 13,10310000125378,บริษัท เหมืองหินราช จำกัด,บ้านโคกขุนสมาน,บริษัท เหมืองหินราช จำกัด,,23961,8,เมืองบุรีรัมย์,45
3140,อิสาณ,โม่ บด หรือย่อยหิน,ธ3-3(1)-1/48บร,บุรีรัมย์-สุรินทร์,21,301,บุรีรัมย์,,78000000,19,30310000125481,บริษัท หินเพชร จำกัด,,บริษัท หินเพชร จำกัด,31000,23961,9,เมืองบุรีรัมย์,78
81.9,อิสาณ,โรงฆ่าสุกร,จ3-4(1)-4/62บร,,203,401,บุรีรัมย์,084-8356874,7500000,1,20310025225623,นายสมชาย แพพิพัฒน์,,กู้-เกียว,31000,10111,10,เมืองบุรีรัมย์,8
482.75,อิสาณ,ทำลูกชิ้นเนื้อวัว ลูกชิ้นปลา,จ3-4(3)-1/38บร,บุรีรัมย์-กระสัง,116,403,บุรีรัมย์,613914,8900000,3,20310100125383,ห้างหุ้นส่วนจำกัด วรารัตน์ ฟู๊ดส์,บ้านโคกหัวช้าง,ห้างหุ้นส่วนจำกัด วรารัตน์ ฟู๊ดส์,31000,10139,11,เมืองบุรีรัมย์,10
189.92,อิสาณ,ผลิตนมสดพาสเจอร์ไรส์ และนมปรุงแต่งพาสเจอร์ไรส์,3-5(1)-2/47บร,บุรีรัมย์-ประโคนชัย,67,501,บุรีรัมย์,,5540511,1,10310000225475,กรมอาชีวศึกษา กระทรวงศึกษาธิการ,-,โรงงานแปรรูปผลิตภัณฑ์นม วิทยาลัยเกษตรและเทคโนโลยีบุรีรัมย์,31000,10501,12,เมืองบุรีรัมย์,20
322,อิสาณ,"โรงงานสกัดน้ำมันจากพืชกัญชา,กัญชง",จ3-7(1)-6/65บร,-,90/1,701,บุรีรัมย์,,57500000,14,20310117825652,บริษัท เอ็น แอนด์ เอ็น แลนด์ จำกัด,-,บริษัท เอ็น แอนด์ เอ็น แลนด์ จำกัด,31000,10419,13,เมืองบุรีรัมย์,36
346.75,อิสาณ,ทำเส้นก๋วยเตี๋ยว,จ3-10(3)-1/37บร,สายบุรีรัมย์-สตึก,179,1003,บุรีรัมย์,044611331,2000000,1,20310000125376,นายโชติอนันต์ วงษ์วิจิตรสุข,-,ก๋วยเตี๋ยวโรงใหม่,31000,10743,14,เมืองบุรีรัมย์,10
205.15,อิสาณ,ทำน้ำแข็งก้อนเล็ก ขนาดกำลังผลิต 30 ตันต่อวัน,จ3-14-1/46บร,ถนนบุรีรัมย์-นางรอง,365,1400,บุรีรัมย์,044-621722,7000000,8,20310300125464,บริษัท พรพงษ์ วิลล่า จำกัด,,โรงน้ำแข็งพรพงษ์,31000,10795,15,เมืองบุรีรัมย์,4
918.5,อิสาณ,ทำน้ำแข็งก้อนเล็ก (กำลังการผลิตส่วนที่ขยายโรงงาน 50 ตัน/วัน),จ3-14-3/46บร,บุรีรัมย์-ประโคนชัย,88,1400,บุรีรัมย์,081-8773187,8500000,15,20310000325463,บริษัท ศิลา น้ำแข็งหลอด จำกัด,โรงงานวิกผม,ศิลาน้ำแข็งหลอด,31000,10795,16,เมืองบุรีรัมย์,15
432.83,อิสาณ,ผลิตผมปลอม (วิก),ส3-28(1)-1/31บร,บุรีรัมย์-ประโคนชัย,122,2801,บุรีรัมย์,,53000000,9,00310000125313,บริษัท แอดเดอรานสไทย จำกัด,,บริษัท แอดเดอรานสไทย จำกัด,31000,14111,17,เมืองบุรีรัมย์,737
556,อิสาณ,เลื่อยไม้,3-34(1)-1/20บร,บุรีรัมย์-ประโคนชัย,35,3401,บุรีรัมย์,611301,3500000,4,10310000125204,ห้างหุ้นส่วนจำกัด โรงเลื่อยจักรรุ่งศิริพรพาณิชย์,,โรงเลื่อยจักรรุ่งศิริพรพาณิชย์,31000,16101,18,เมืองบุรีรัมย์,34
127,อิสาณ,"เลื่อย ไส ซอย เซาะร่องหรือแปรรูปไม้ ทำประดิษฐกรรมจากไม้ เช่น ทำวงกบประตู-หน้าต่าง, เฟอร์นิเจอร์,เครื่องเรือน เครื่องใช้จากไม้",จ3-34(1)-1/43บร,-,71,3401,บุรีรัมย์,044-614081/6123,6000000,8,20310000125434,ห้างหุ้นส่วนจำกัด มิตรยนต์ค้าวัสดุ,-,ห้างหุ้นส่วนจำกัด มิตรยนต์ค้าวัสดุ,31000,16101,19,เมืองบุรีรัมย์,12
316.99,อิสาณ,ผลิตแอสฟัลต์คอนกรีต,จ3-50(4)-1/54บร,,30/2,5004,บุรีรัมย์,081-8781878,4500000,4,20310000125541,ห้างหุ้นส่วนจำกัด บุรีเจริญคอนสตรัคชั่น,,ห้างหุ้นส่วนจำกัด บุรีเจริญคอนสตรัคชั่น,31000,19209,20,เมืองบุรีรัมย์,10
316.99,อิสาณ,ผลิตแอสฟัลต์คอนกรีต,จ3-50(4)-8/53บร,-,133,5004,บุรีรัมย์,,8700000,2,20310000825538,บริษัท เชียงใหม่คอนตรัคชั่น จำกัด,-,บริษัท เชียงใหม่คอนตรัคชั่น จำกัด,31000,19209,21,เมืองบุรีรัมย์,5
77.25,อิสาณ,ปะเปลี่ยนยางรถยนต์ ตั้งศูนย์ถ่วงล้อ,จ3-51-1/38บร,รอบเมือง,64,5100,บุรีรัมย์,611566,24000000,9,20310300125381,ห้างหุ้นส่วนจำกัด บุรีรัมย์เสรียางยนต์,,ห้างหุ้นส่วนจำกัด บุรีรัมย์เสรียางยนต์,31000,22112,22,เมืองบุรีรัมย์,12
76.3,อิสาณ,ทำผลิตภัณฑ์คอนกรีต,จ3-58(1)-1/39บร,บุรีรัมย์ - ประโคนชัย,9/2,5801,บุรีรัมย์,611688,5100000,4,20310600125396,บริษัท สมบูรณ์สุข จำกัด,,บริษัท สมบูรณ์สุข จำกัด,31000,23953,23,เมืองบุรีรัมย์,7
161.18,อิสาณ,"ทำผลิตภัณฑ์คอนกรีต เช่น ท่อ คสล.,อัดแรง, อิฐบล๊อก, คอนกรีตผสมเสร็จ และแผ่นพื้นคอนกรีตสำเร็จรูปสำหรับระบบพื้นคอนกรีต",จ3-58(1)-2/36บร,บุรีรัมย์-สุรินทร์,88,5801,บุรีรัมย์,,39000000,2,20310000225366,บริษัท เอบี คอนกรีต จำกัด,,บริษัท เอบี คอนกรีต จำกัด,31000,23953,24,เมืองบุรีรัมย์,30
89,อิสาณ,คอนกรีตผสมเสร็จ,จ3-58(1)-2/38บร,บุรีรัมย์-สุรินทร์,,5801,บุรีรัมย์,,3700000,3,20310100225381,บริษัท ปูนซิเมนต์ไทย(แก่งคอย) จำกัด,,บริษัท ปูนซิเมนต์ไทย(แก่งคอย) จำกัด,31000,23953,25,เมืองบุรีรัมย์,3
97,อิสาณ,ทำผลิตภัณฑ์คอนกรีต เช่น คอนกรีตผสมเสร็จ แผ่นพื้น คอนกรีตหล่อสำเร็จ เสาเข็มคอนกรีต เสาไฟฟ้า,จ3-58(1)-6/38บร,บายพาส,167,5801,บุรีรัมย์,613939,10000000,3,20310000625383,ห้างหุ้นส่วนจำกัด อาร์.เอส.คอนกรีตบุรีรัมย์,,ห้างหุ้นส่วนจำกัด อาร์.เอส.คอนกรีตบุรีรัมย์,31000,23953,26,เมืองบุรีรัมย์,11
142.34,อิสาณ,ทำวิกผม,จ3-87(6)-2/56บร,บุรีรัมย์-นางรอง,62,8706,บุรีรัมย์,0872613841,312000,10,20310000225564,ห้างหุ้นส่วนจำกัด จ.ชนะโชค,,ห้างหุ้นส่วนจำกัด จ.ชนะโชค,31000,13940,27,เมืองบุรีรัมย์,70
226.81,อิสาณ,ทำวิกผม,จ3-87(6)-3/48บร,,412,8706,บุรีรัมย์,,300000,10,20310000325489,นางจำปี ไชยเยชน์,,,31000,13940,28,เมืองบุรีรัมย์,147
