_id,คนงานหญิง,แรงม้า,ไปรษณีย์,เจ้าของข้อมูล,ตำบล,ประกอบกิจการ,อำเภอ,คนงานรวม,ชื่อชุดข้อมูล,แรงม้าตรวจพบ,ผู้ประกอบการ,คนงานชาย,จังหวัด,เงินทุนรวม,โทรศัพท์,ชื่อโรงงาน
1,2,1305.4,72230,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สนามคลี,ผลิตเส้นก๋วยเตี๋ยว,เมืองสุพรรณบุรี,7,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,1305.4,นายสุนทร ธนะประเสริฐกุล,5,สุพรรณบุรี,3900000,597490.0,โรงงานก๋วยเตี๋ยวอนามัยสุพรรณบุรี
2,0,4999,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,บำบัดน้ำเสียรวม และผลิตน้ำเพื่อใช้ในอุตสาหกรรม,ด่านช้าง,8,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,4999,บริษัท พัฒนาสิ่งแวดล้อมและพลังงานไทย จำกัด,8,สุพรรณบุรี,493064000,29444001.0,บริษัท พัฒนาสิ่งแวดล้อมและพลังงานไทย จำกัด
3,4,185,72250,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สระกระโจม,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น เศษพลาสติก,ดอนเจดีย์,17,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,185,บริษัท บีเอสอาร์ โพลิเมอร์ เทรดดิ้ง จำกัด,13,สุพรรณบุรี,22000000,924665262.0,บริษัท บีเอสอาร์ โพลิเมอร์ เทรดดิ้ง จำกัด
4,10,287,72000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านโพธิ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษเหล็ก และบดขวดแก้ว เศษแก้ว,เมืองสุพรรณบุรี,20,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,287,นายวรพงษ์ ทิพอาสน์,10,สุพรรณบุรี,12500000,646549828.0,ก้อย รีไซเคิล
5,9,846,72140,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,บ้านกร่าง,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย สกัดโลหะมีค่าจากแผงวงจรอิเล็กทรอนิกส์และตะกอนน้ำเสียของโรงงานอิเล็กทรอนิกส์ สกัดคอปเปอร์ซัลเฟตจากน้ำยาล้างแผงวงจรอิเล็กทรอนิกส์,ศรีประจันต์,19,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,846,บริษัท เอส.เอ สยามรีคัฟเวอรี่ จำกัด,10,สุพรรณบุรี,4100002,08 6304 2952,บริษัท เอส. เอ. สยามรีคัฟเวอรี่ จำกัด
6,4,373,72240,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,ทัพหลวง,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้วจากโรงงานมาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์ ปุ๋ยหมัก ,หนองหญ้าไซ,9,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,373,บริษัท เอ.เอ.บี. ไบโอ เฟอร์ทิไลเซอร์ จำกัด,5,สุพรรณบุรี,6600000,,บริษัท เอ.เอ.บี. ไบโอ เฟอร์ทิไลเซอร์ จำกัด
7,9,303,72000,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,สนามชัย,เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ ทำเม็ดพลาสติกเกรด บี คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยเครื่องใช้ไฟฟ้าและชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะ คัดแยกเศษผ้า เศษยาง ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว ทำสีกันสนิมเกรดบีจากฝุ่่นและกากสี สกัดโลหะมีค่าจากกากตะกอนที่มีองค์ประกอบของโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอิเล็กทรอนิกส์,เมืองสุพรรณบุรี,30,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,303,บริษัท ไอรอน กรุ๊ป จำกัด,21,สุพรรณบุรี,8000000,034-546050,บริษัท ไอรอน กรุ๊ป จำกัด
8,0,260,72140,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,วังน้ำซับ,นำผลิตภัณฑ์จากอุตสาหกรรมที่ไม่ใช้แล้วที่ไม่เป็นอันตราย จำพวกเศษยางมาบดย่อย,ศรีประจันต์,0,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,260,บริษัท วังน้ำทรัพย์ จำกัด,0,สุพรรณบุรี,4200000,081-8261666,บริษัท วังน้ำทรัพย์ จำกัด
9,3,515.5,72240,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,แจงงาม,ผลิตสารปรับปรุงดิน ผลิตอิฐบล๊อกประสาน จากสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่เป็นของเสียอันตราย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองหญ้าไซ,10,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,150.5,บริษัท ริณทร์ณฑี จำกัด,7,สุพรรณบุรี,24700000,972896955.0,บริษัท ริณทร์ณฑี จำกัด 
10,1,650.7,72180,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,หนองมะค่าโมง,นำวัสดุไม่ใช้แล้วที่ไม่อันตรายจากโรงงานอุตสาหกรรม มาผลิตดินปลูก / วัสดุปรับปรุงดิน และเป็นส่วนผสมในการผลิตอิฐปูพื้นทางเดิน,ด่านช้าง,8,สถานประกอบการอุตสาหกรรมในพื้นที่จังหวัดสุพรรณบุรี,632.45,บริษัท เพิ่มผลผลิต จำกัด,7,สุพรรณบุรี,42090000,035-969912-3,บริษัท เพิ่มผลผลิต จำกัด   
