ค่าข้อมูล,ประเภท,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
24,ผลิตภัณฑ์จากพืช,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
39,อุตสาหกรรมอาหาร,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,อุตสาหกรรมเครื่องดื่ม,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,สิ่งทอ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
20,แปรรูปไม้และผลิตภัณฑ์จากไม้,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,เคมีภัณฑ์และผลิตภัณฑ์เคมี,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,ผลิตภัณฑ์จากปิโตรเลียม,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ยางและผลิตภัณฑ์ยาง,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
8,ผลิตภัณฑ์พลาสติก,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
59,ผลิตภัณฑ์อโลหะ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,ผลิตภัณฑ์โลหะขั้นมูลฐาน,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,ผลิตภัณฑ์โลหะ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,19,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
24,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,20,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
31,การผลิตอื่น ๆ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,21,2563,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
24,ผลิตภัณฑ์จากพืช,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,22,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
41,อุตสาหกรรมอาหาร,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,23,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,อุตสาหกรรมเครื่องดื่ม,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,24,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
7,สิ่งทอ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,25,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
2,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,26,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,27,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
21,แปรรูปไม้และผลิตภัณฑ์จากไม้,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,28,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,29,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,30,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,31,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
1,เคมีภัณฑ์และผลิตภัณฑ์เคมี,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,32,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
10,ผลิตภัณฑ์จากปิโตรเลียม,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,33,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
-,ยางและผลิตภัณฑ์ยาง,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,34,2564,จำนวนโรงงานอุตสาหกรรม,มหาสารคาม,แห่ง
