ค่าข้อมูล,ที่มา,ขนาดโรงงาน,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
56,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,1,2566,เมืองมหาสารคาม,จำนวนโรงงาน,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,2,2566,แกดำ,จำนวนโรงงาน,มหาสารคาม,แห่ง
20,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,3,2566,โกสุมพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
23,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,4,2566,กันทรวิชัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
32,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,5,2566,เชียงยืน,จำนวนโรงงาน,มหาสารคาม,แห่ง
32,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,6,2566,บรบือ,จำนวนโรงงาน,มหาสารคาม,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,7,2566,นาเชือก,จำนวนโรงงาน,มหาสารคาม,แห่ง
29,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,8,2566,พยัคฆภูมิพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
21,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,9,2566,วาปีปทุม,จำนวนโรงงาน,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,10,2566,นาดูน,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,11,2566,ยางสีสุราช,จำนวนโรงงาน,มหาสารคาม,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,12,2566,กุดรัง,จำนวนโรงงาน,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,รวม,13,2566,ชื่นชม,จำนวนโรงงาน,มหาสารคาม,แห่ง
50,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),14,2566,เมืองมหาสารคาม,จำนวนโรงงาน,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),15,2566,แกดำ,จำนวนโรงงาน,มหาสารคาม,แห่ง
17,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),16,2566,โกสุมพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
23,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),17,2566,กันทรวิชัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
30,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),18,2566,เชียงยืน,จำนวนโรงงาน,มหาสารคาม,แห่ง
31,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),19,2566,บรบือ,จำนวนโรงงาน,มหาสารคาม,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),20,2566,นาเชือก,จำนวนโรงงาน,มหาสารคาม,แห่ง
27,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),21,2566,พยัคฆภูมิพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
19,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),22,2566,วาปีปทุม,จำนวนโรงงาน,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),23,2566,นาดูน,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),24,2566,ยางสีสุราช,จำนวนโรงงาน,มหาสารคาม,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),25,2566,กุดรัง,จำนวนโรงงาน,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดเล็ก (S),26,2566,ชื่นชม,จำนวนโรงงาน,มหาสารคาม,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),27,2566,เมืองมหาสารคาม,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),28,2566,แกดำ,จำนวนโรงงาน,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),29,2566,โกสุมพิสัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),30,2566,กันทรวิชัย,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),31,2566,เชียงยืน,จำนวนโรงงาน,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),32,2566,บรบือ,จำนวนโรงงาน,มหาสารคาม,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,ขนาดกลาง (M),33,2566,นาเชือก,จำนวนโรงงาน,มหาสารคาม,แห่ง
