ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
2022,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,เมืองมหาสารคาม,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
15,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,แกดำ,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
607,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,โกสุมพิสัย,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
308,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,กันทรวิชัย,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
903,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,เชียงยืน,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
458,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,บรบือ,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
49,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,นาเชือก,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
392,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,พยัคฆภูมิพิสัย,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
438,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,วาปีปทุม,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
11,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,นาดูน,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,ยางสีสุราช,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
768,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,กุดรัง,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
1030,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,ชื่นชม,จำนวนแรงงานที่ทำงานในโรงงาน,มหาสารคาม,คน
