ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
"2,000.34",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,เมืองมหาสารคาม,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
26.2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,แกดำ,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
"3,367.78",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,โกสุมพิสัย,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
612.42,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,กันทรวิชัย,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
729.861 ,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,เชียงยืน,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
"1,908.82",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,บรบือ,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
132.235,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,นาเชือก,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
882.957,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,พยัคฆภูมิพิสัย,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
438.55,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,วาปีปทุม,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
15,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,นาดูน,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
2.7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,ยางสีสุราช,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
"1,830.97",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,กุดรัง,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
147,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,ชื่นชม,จำนวนเงินทุนของโรงงาน,มหาสารคาม,ล้านบาท
