ค่าข้อมูล,ที่มา,_id,ปี,กลุ่มอุตสาหกรรม,รายการ,จังหวัด,หน่วย
664,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,ผลิตภัณฑ์จากพืช,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
"1,110",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,อุตสาหกรรมอาหาร,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
95,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,อุตสาหกรรมเครื่องดื่ม,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
"1,362",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,สิ่งทอ,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
638,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
236,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
13,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
224,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
86,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,ผลิตภัณฑ์จากปิโตรเลียม,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
154,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,ผลิตภัณฑ์พลาสติก,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
789,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,ผลิตภัณฑ์อโลหะ,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
31,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,ผลิตโลหะขั้นมูลฐาน,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
64,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,ผลิตภัณฑ์โลหะ,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
9,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,ผลิตเครื่องจักรและเครื่องกล,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
707,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
573,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
246,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การผลิตอื่นๆ,จำนวนคนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
