ที่มา,เลขทะเบียน,_id,ปี,ชื่อโรงงาน,รายการ,ที่อยู่,จังหวัด
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,ส3-52(4)-1/34นม,1,2568,บริษัท อีตัน อินดัสทรีส์ (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,156 ม.3 ซ.เขตอุตสาหกรรมบริษัท เขตอุตสาหกรรม สุรนาร ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-212165-8,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-78(2)-2/55นม,2,2568,บริษัท ไทย อะคิบะ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,297 ม.6 ซ. ถ. ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/16นม,3,2568,บริษัท แป้งมันอิสาน จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,35 ม. 1 ซ.- ถ.นครราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-920282,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/18นม,4,2568,บริษัท อุตสาหกรรมแป้งโคราช จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,61 ม. 3 ซ.- ถ.นครราชสีมา-ปักธงชัย ต.หนองจะบก อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.243386,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-58(5)-1/48นม,5,2568,บริษัท โอฬารไฟเบอร์ซีเมนต์ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,243 ม.6 ซ.- ถ.ราชสีมา-โชตชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-218134-7,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/46นม,6,2568,บริษัท โชคยืนยงอุตสาหกรรม จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,ม.1 ซ. ถ.สหกรณ์นิคมขามทะเลสอ ต.โป่งแดง อ.ขามทะเลสอ จ.นครราชสีมา 30280 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-103(4)-1/32นม,7,2568,บริษัท เกลือพิมาย จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,146 ม. 3 ซ. ถ.ตลาดแค-พิมาย ต.กระเบื้องใหญ่ อ.พิมาย จ.นครราชสีมา 30110 โทร.471212,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-18-1/40นม,8,2568,บริษัท เขาใหญ่ไวน์เนอรี่ และ ดิสทิลเลอรี่ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,102 ม.5 ซ.- ถ.- ต.พญาเย็น อ.ปากช่อง จ.นครราชสีมา 30320 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/19นม,9,2568,บริษัท ชัยภูมิพืชผล จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,144 ม.13 ซ.- ถ.มิตรภาพ ต.มิตรภาพ อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.044-412307-9,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-8(1)-1/39นม,10,2568,บริษัท เค.แพน โปรดั๊กชั่น ฟู้ด จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,49 ม.7 ซ. ถ.ขามทะเลสอ-ด่านขุนทด ต.บึงอ้อ อ.ขามทะเลสอ จ.นครราชสีมา 30280 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/24นม,11,2568,บริษัท ไทยวา ฟูจิ นิฮอน จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,301 ม. 8 ซ. ถ.พิมาย-ห้วยแคลง ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30110 โทร.271569,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-2/34นม,12,2568,บริษัท แป้งตะวันออกเฉียงเหนือ (1987) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,67 ม.2 ซ.- ถ.นครราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.241099,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-34(4)-2/54นม,13,2568,บริษัท อะโกร เอ็นเนอร์จี้ ซัพพลาย จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,286 ม.14 ซ.- ถ.- ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-34(4)-53/61นม,14,2568,บริษัท อะโกร เอ็นเนอร์จี้ ซัพพลาย จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,"โฉนดที่ดินเลขที่ 54366, 55875 ม.14 ซ. ถ.โชคชัย-เดชอุดม ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190 โทร.",นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-4/47นม,15,2568,บริษัท แสงเพชรอินเตอร์สตาร์ช จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,ม.14 ซ.- ถ.- ต.หินดาด อ.ด่านขุนทด จ.นครราชสีมา 30210 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-61-1/61นม,16,2568,บริษัท แม็กนิเควนซ์ (โคราช) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,202 ม.3 ซ. ถ. ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-17-2/50นม,17,2568,บริษัท เค ไอ เอทานอล จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,222 ม.18 ซ.- ถ.- ต.หนองระเวียง อ.พิมาย จ.นครราชสีมา 30110 โทร.044200444,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-17-3/50นม,18,2568,บริษัท อัพเวนเจอร์ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,222 ม.8 ซ.- ถ.- ต.ตะแบกบาน อ.ครบุรี จ.นครราชสีมา 30250 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-20(3)-2/15นม,19,2568,บริษัท เสริมสุข จำกัด (มหาชน),โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,211 ม.14 ซ.- ถ.นครราชสีมา-กบินทร์บุรี ต.ปรุใหญ่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-353088-92,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-14-14/51นม,20,2568,บริษัท วารีเทพ นครราชสีมา จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,444/4 ม.4 ซ.- ถ.มทส.ประตู 2 ต.ไชยมงคล อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-216789,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-14-11/53นม,21,2568,บริษัท วารีเทพ สีคิ้ว จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,99/9 ม.15 ซ. ถ.มิตรภาพ ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340 โทร.044-325555,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,ศ3-14-1/36นม,22,2568,ห้างหุ้นส่วนจำกัด ธาราทิพย์ ศาลาลอย,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,357/1 ม. ซ.3 ถ.ท้าวสุระ ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.-,นครราชสีมา
