FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
บ้านเขาเกตุ-บ้านดง,40190000925561,3-88(1)-9/56สบ,แก่งคอย,สระบุรี,บริษัท อินฟินิท กรีน จำกัด,1,1,บริษัท อินฟินิท กรีน จำกัด,โรงงานผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ 1.68 เมกะวัตต์,ดำเนินกิจการ,2023-04-18T21:00:05,101.0759851652,โฉนด31541,14.5560378060072,NULL,ชำผักแพว
NULL,20110001625592,จ3-64(13)-16/59สป,พระสมุทรเจดีย์,สมุทรปราการ,นางสมคิด เอี่ยมภิรมย์,12,2,-,กลึง เจาะ กัด ไส เจียน หรือเชื่อมโลหะทั่วไป และทำชิ้นส่วนแม่พิมพ์โลหะ,ดำเนินกิจการ,2023-04-18T21:00:05,100.540314,290/81,13.603355,NULL,ในคลองบางปลากด
บ้านนา-แก่งคอย,10260000125334,3-3(4)-1/33นย,บ้านนา,นครนายก,นายสุรชัย สุภาวิมล,2,3,บ่อทรายสามชัย,ดูดทราย,ดำเนินกิจการ,2023-04-18T21:00:05,101.08634,185,14.34767,NULL,เขาเพิ่ม
NULL,10260000125201,3-34(1)-1/20นย,องครักษ์,นครนายก,บริษัท ลิ้มเจริญค้าวัสดุก่อสร้าง จำกัด,1,4,บริษัท ลิ้มเจริญค้าว้สถุก่อสร้าง จำกัด,ไสไม้และซอยไม้,ดำเนินกิจการ,2023-04-18T21:00:05,100.99979,120,14.1207,NULL,องครักษ์
รังสิต-นครนายก,10260001325156,3-9(1)-13/15นย,องครักษ์,นครนายก,ห้างหุ้นส่วนจำกัด ตี่ฮั่วเชียง,5,5,ห้างหุ้นส่วนจำกัด ตี่ฮั่วเชียง,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน,หยุดชั่วคราว,2023-04-18T21:00:05,100.96136,22,13.97137,NULL,พระอาจารย์
นครนายก-รังสิต,20260000125373,จ3-53(5)-1/37นย,เมืองนครนายก,นครนายก,บริษัท บีดี สตรอว์ จำกัด,13,6,บริษัท บีดี สตรอว์ จำกัด,ผลิตภัณฑ์จากพลาสติก เช่น หลอดดูด ฝาจุก ก้านพันสำลี,ดำเนินกิจการ,2023-04-18T21:00:05,101.19652,50/1,14.197485,NULL,ท่าช้าง
NULL,10260003225156,3-9(1)-32/15นย,ปากพลี,นครนายก,นายสันตชัย เหมยากร,4,7,โรงสีไพบูลย์ศิริ,สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),หยุดชั่วคราว,2023-04-18T21:00:05,101.30221,228,14.20365,NULL,หนองแสง
NULL,10260000125367,3-22(1)-1/36นย,บ้านนา,นครนายก,บริษัท บ้านนาสปินเท็กซ์ จำกัด,  3,8,บริษัท บ้านนาสปินเท็กซ์ จำกัด,ปั่นด้าย (จำนวนแกนปั่นด้าย 1400 แกน),ดำเนินกิจการ,2023-04-18T21:00:05,101.06948,19,14.2915,NULL,ป่าขะ
ขุนหนองแสง,10260100125358,3-65-1/35นย,ปากพลี,นครนายก,บริษัท โปรแค็ป จำกัด,5,9,บริษัท โปรแค็ป จำกัด,ผลิตชิ้นส่วนหรืออุปกรณ์ของยานพาหนะ และงานสร้างประกอบเหล็ก,ดำเนินกิจการ,2023-04-18T21:00:05,101.29352,85,14.2092,NULL,หนองแสง
NULL,20260000125241,จ3-43(1)-1/24นย,เมืองนครนายก,นครนายก,ห้างหุ้นส่วนจำกัด ปุ๋ยประเสริฐสุข,  8,10,ห้างหุ้นส่วนจำกัด ปุ๋ยประเสริฐสุข,ผสมปุ๋ยเคมี,ดำเนินกิจการ,2023-04-18T21:00:05,101.166187,109,14.171947,NULL,ท่าช้าง
NULL,10260000125383,3-50(4)-1/38นย,เมืองนครนายก,นครนายก,ห้างหุ้นส่วนจำกัด นครนายกการโยธา,8,11,ห้างหุ้นส่วนจำกัด นครนายกการโยธา,ทำแอสฟัลติกคอนกรีต,ดำเนินกิจการ,2023-04-18T21:00:05,101.18055,16/2,14.22421,NULL,พรหมณี
หนองปราจีน,20260000425351,จ3-64(13)-4/35นย,เมืองนครนายก,นครนายก,นายสมรักษ์ วิศิษฎ์เจริญ,4,12,นายสมรักษ์ วิศิษฎ์เจริญ,กลึงโลหะ,หยุดชั่วคราว,2023-04-18T21:00:05,101.23164,59,14.19825,NULL,บ้านใหญ่
NULL,20260000425369,จ3-60-4/36นย,เมืองนครนายก,นครนายก,นางสาวสำราญ ศรีส้มป่อย,8,13,-,หล่อทองเหลือง,ดำเนินกิจการ,2023-04-18T21:00:05,101.26796,40/1,14.22265,NULL,ศรีนาวา
NULL,10260000125151,3-14-1/15นย,เมืองนครนายก,นครนายก,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,  1,14,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,ทำน้ำแข็ง ได้วันละ 364 ซอง,ดำเนินกิจการ,2023-04-18T21:00:05,101.20157,134,14.20189, ,ท่าช้าง
-,20260100125364,จ3-33-1/36นย,ปากพลี,นครนายก,บริษัท ยูเม็ค เทรดดิ้ง จำกัด,3,15,บริษัท ยูเม็ค เทรดดิ้ง จำกัด,"ทำรองเท้าจากผ้า, ถุงมือผ้าและผ้ากันเปื้อน,ผ้าฝ้ายทำความสะอาด",ดำเนินกิจการ,2023-04-18T21:00:05,101.27323,271,14.16762,ท่าแดง-น้ำตกวังม่วง,เกาะหวาย
สุวรรณศร,20260300125370,จ3-64(2)-1/37นย,ปากพลี,นครนายก,นายคำตัน ทาภู่,1,16,NULL,ปั๊มโลหะ เช่น น๊อต แผ่นเหล็ก จานหมุนอุปกรณ์ไฟฟ้า,ดำเนินกิจการ,2023-04-18T21:00:05,101.24382,124,14.17766,NULL,เกาะโพธิ์
