FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
ดอนจั่น-น้ำพุร้อน,10500100125407,3-64(4)-1/40ชม,สันกำแพง,เชียงใหม่,บริษัท เชอวาล เทคโนโลยี่ จำกัด,10,1,บริษัท เชอวาล เทคโนโลยี่ จำกัด,ผลิตตู้โลหะสำหรับใช้ในงาน อิเล็คโทรนิคและโทรคมนาคม,ดำเนินกิจการ,2023-04-18T21:00:05,99.149661,121/4,18.716932,NULL,แช่ช้าง
-,20500000225412,จ3-14-2/41ชม,สันทราย,เชียงใหม่,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งแม่โจ้,5,2,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งแม่โจ้,ทำน้ำแข็งก้อนเล็ก,ดำเนินกิจการ,2023-04-18T21:00:05,99.01265,286,18.88832,-,หนองหาร
NULL,20570001125416,จ3-95(1)-11/41ชร,แม่จัน,เชียงราย,นายประเสริฐ โคนทรงแสน,4,3,อู่พรยานยนต์,ซ่อมรถยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,99.93723,29,20.21347,NULL,จันจว้าใต้
ทางหลวงจังหวัด 1174,10570000225383,3-38(1)-2/38ชร,เชียงของ,เชียงราย,บริษัท สยาม นอร์ทเทอร์น เปเปอร์ จำกัด,1,4,บริษัท สยาม นอร์ทเทอร์น เปเปอร์ จำกัด,ผลิตกระดาษสา ได้ปีละ 240 ตัน,ดำเนินกิจการ,2023-04-18T21:00:05,100.27423,2,20.02534,NULL,ห้วยซ้อ
NULL,20570100125382,จ3-34(1)-1/38ชร,พาน,เชียงราย,ห้างหุ้นส่วนจำกัด เชียงรายวิวัฒน์ค้าไม้,1,5,ห้างหุ้นส่วนจำกัด เชียงรายวิวัฒน์ค้าไม้,ประดิษฐกรรม ทำไส - ซอย เซาะร่องรางลิ้นไม้แปรรูป,ดำเนินกิจการ,2023-04-18T21:00:05,99.74481,-,19.55347,NULL,เมืองพาน
พหลโยธิน,520000125382,ศ3-37-1/38ลป,เมืองลำปาง,ลำปาง,กรมราชทัณฑ์,NULL,6,โรงงานฝึกวิชาชีพเรือนจำกลางลำปาง,ทำโต๊ะ เก้าอี้ ตู้เสื้อผ้า ชั้นวางของต่าง ๆ และเฟอร์นิเจอร์เครื่องเรือนต่าง ๆ,ดำเนินกิจการ,2023-04-18T21:00:05,99.50728,100,18.28934,NULL,หัวเวียง
เชียงใหม่-ลำปาง,20510000425367,จ3-58(1)-4/36ลพ,เมืองลำพูน,ลำพูน,บริษัท เอสซีจีแลนด์สเคป จำกัด,4,7,บริษัท เอสซีจีแลนด์สเคป จำกัด,ผลิตภัณฑ์คอนกรีตบล๊อคสำหรับปูถนนและก่อผนัง ท่อคอนกรีตเสริมเห,ดำเนินกิจการ,2023-04-18T21:00:05,99.07697,240,18.53312,NULL,ศรีบัวบาน
อ้อมเมืองป่าซาง,20510000125363,จ3-32(1)-1/36ลพ,เมืองลำพูน,ลำพูน,บริษัท ธนูลักษณ์ จำกัด (มหาชน),5 3,8,บริษัท ธนูลักษณ์ จำกัด (มหาชน),ผลิตผลิตภัณฑ์จากหนังสัตว์และหนังเทียม,ดำเนินกิจการ,2023-04-18T21:00:05,99.02228,99/3,18.54276,NULL,ป่าสัก
ดอยติ-ป่าซาง,510000125334,ศ3-8(1)-1/33ลพ,เมืองลำพูน,ลำพูน,บริษัท ทรอปิคคอลพรีเมียร์ฟูดส์ จำกัด,11,9,บริษัท ทรอปิคคอลพรีเมียร์ฟูดส์ จำกัด,ทำน้ำมะเขือเทศเข้มข้น ผักผลไม้กระป๋อง เช่น ข้าวโพด เห็ด ลิ้นจี่ ลำใยกระป๋อง,ดำเนินกิจการ,2023-04-18T21:00:05,99.00911,1/3,18.51679,-,ป่าสัก
ลำปาง - เชียงใหม่,10510000125332,3-28(1)-1/33ลพ,เมืองลำพูน,ลำพูน,บริษัท ไทยสปอร์ตการ์เมนต์ จำกัด,  6,10,บริษัท ไทยสปอร์ตการ์เมนต์ จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 85 เครื่อง),ดำเนินกิจการ,2023-04-18T21:00:05,99.043775,77/1,18.581099,NULL,บ้านกลาง
เชียงใหม่ - ลำพูน,510100125333,ศ3-92-1/33ลพ,เมืองลำพูน,ลำพูน,บริษัท นิ่มซี่เส็งห้องเย็น จำกัด,11,11,บริษัท นิ่มซี่เส็งห้องเย็น จำกัด,ทำห้องเย็น,ดำเนินกิจการ,2023-04-18T21:00:05,99.04186,99,18.64021,-,อุโมงค์
