จำนวน,_id,ชื่อชุดข้อมูล,อำเภอ,ช่วงเวลา,หน่วย
57,1,จำนวนโรงงานอุตสาหกรรม,เมืองนครนายก,2565,แห่ง
58,2,จำนวนโรงงานอุตสาหกรรม,ปากพลี,2565,แห่ง
11,3,จำนวนโรงงานอุตสาหกรรม,บ้านนา,2565,แห่ง
43,4,จำนวนโรงงานอุตสาหกรรม,องครักษ์,2565,แห่ง
56,5,จำนวนโรงงานอุตสาหกรรม,เมืองนครนายก,2566,แห่ง
55,6,จำนวนโรงงานอุตสาหกรรม,ปากพลี,2566,แห่ง
11,7,จำนวนโรงงานอุตสาหกรรม,บ้านนา,2566,แห่ง
43,8,จำนวนโรงงานอุตสาหกรรม,องครักษ์,2566,แห่ง
55,9,จำนวนโรงงานอุตสาหกรรม,เมืองนครนายก,2567,แห่ง
57,10,จำนวนโรงงานอุตสาหกรรม,ปากพลี,2567,แห่ง
11,11,จำนวนโรงงานอุตสาหกรรม,บ้านนา,2567,แห่ง
43,12,จำนวนโรงงานอุตสาหกรรม,องครักษ์,2567,แห่ง
55,13,จำนวนโรงงานอุตสาหกรรม,เมืองนครนายก,2568,แห่ง
58,14,จำนวนโรงงานอุตสาหกรรม,ปากพลี,2568,แห่ง
11,15,จำนวนโรงงานอุตสาหกรรม,บ้านนา,2568,แห่ง
45,16,จำนวนโรงงานอุตสาหกรรม,องครักษ์,2568,แห่ง
