_id,ปี,ที่มา,รายชื่อ
1,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด กุยบุรี ฟรุต คัพ
2,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด จอยวิน เนเจอรัล โปรดักส์ (ไทยแลนด์)
3,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด นิธิวัฒน์ฟูด
4,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทิปโก้ ไบโอเท็ค (โรงสารสกัด)
5,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ปลายน้ำผลไม้กวน-อบ โดยนายวีรชัย คงกำเหนิด
6,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,กลุ่มแม่บ้านขวัญลดาร่วมใจ
7,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด พี.ที.อินเตอร์ฟู้ด
8,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สยามฟรุ๊ตการ์เด้น
9,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ห้างหุ้นส่วนจำกัด ทวีผลสามร้อยยอด
10,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด มอร์นิ่ง ดิว ฟู๊ดส์
11,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทิปโก้ ไบโอเท็ค (แปลงปลูกสับปะรด)
12,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด เอ็น พี เค โฮม (วนิชย์มะพร้าวขาว)
13,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,ช.รุ่งเรือง
14,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ผลไม้กระป๋องประจวบ
15,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ทิปโก้ ไพน์แอปเปิ้ล 209 (ชื่อเดิมทิปโก้ฟูดส์)จำกัด(มหาชน)
16,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด ปราณบุรีโฮเตอิ จำกัด
17,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด สามร้อยยอด จำกัด
18,2565,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์,บริษัทจำกัด กุยบุรีผลไม้กระป๋อง (
