Province,Unit,_id,Year,Source,Amp,Value
สระแก้ว,แห่ง,1,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เมืองสระแก้ว,219
สระแก้ว,แห่ง,2,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,คลองหาด,30
สระแก้ว,แห่ง,3,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,ตาพระยา,64
สระแก้ว,แห่ง,4,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังน้ำเย็น,86
สระแก้ว,แห่ง,5,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วัฒนานคร,122
สระแก้ว,แห่ง,6,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,อรัญประเทศ,119
สระแก้ว,แห่ง,7,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เขาฉกรรจ์,18
สระแก้ว,แห่ง,8,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,โคกสูง,36
สระแก้ว,แห่ง,9,2561,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังสมบูรณ์,62
สระแก้ว,แห่ง,10,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เมืองสระแก้ว,229
สระแก้ว,แห่ง,11,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,คลองหาด,31
สระแก้ว,แห่ง,12,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,ตาพระยา,66
สระแก้ว,แห่ง,13,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังน้ำเย็น,87
สระแก้ว,แห่ง,14,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วัฒนานคร,126
สระแก้ว,แห่ง,15,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,อรัญประเทศ,121
สระแก้ว,แห่ง,16,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เขาฉกรรจ์,18
สระแก้ว,แห่ง,17,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,โคกสูง,37
สระแก้ว,แห่ง,18,2562,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังสมบูรณ์,62
สระแก้ว,แห่ง,19,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เมืองสระแก้ว,165
สระแก้ว,แห่ง,20,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,คลองหาด,26
สระแก้ว,แห่ง,21,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,ตาพระยา,26
