_id,หน่วยโรงงาน,ปี,หน่วยเงินทุน,จำนวนคนงาน,หน่วยคนงาน,กลุ่มอุตสาหกรรม,หน่วยเครื่องจักร,เครื่องจักร,เงินทุน,จำนวนโรงงาน
1,โรง,2565,ล้านบาท,152,คน,ผลิตภัณฑ์จากพืช,แรงม้า,113.56,57.80,1
2,โรง,2565,ล้านบาท,"2,761",คน,อุตสาหกรรมอาหาร,แรงม้า,"18,856.91","1,800.74",21
3,โรง,2565,ล้านบาท,132,คน,อุตสาหกรรมเครื่องดื่ม,แรงม้า,891.00,55.00,2
4,โรง,2565,ล้านบาท,25,คน,สิ่งทอ,แรงม้า,299.59,20.00,1
5,โรง,2565,ล้านบาท,364,คน,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,แรงม้า,"1,178.26",120.10,4
6,โรง,2565,ล้านบาท,0,คน,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,แรงม้า,0.00,0,0
7,โรง,2565,ล้านบาท,30,คน,แปรรูปไม้และผลิตภัณฑ์จากไม้,แรงม้า,575.70,24.00,2
8,โรง,2565,ล้านบาท,5,คน,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,แรงม้า,192.95,16.00,1
9,โรง,2565,ล้านบาท,238,คน,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,แรงม้า,"3,905.06",331.52,9
10,โรง,2565,ล้านบาท,236,คน,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,แรงม้า,"1,636.89",800.55,6
11,โรง,2565,ล้านบาท,249,คน,เคมีภัณฑ์และผลิตภัณฑ์เคมี,แรงม้า,"2,325.97",257.00,8
12,โรง,2565,ล้านบาท,0,คน,ผลิตภัณฑ์จากปิโตรเลียม,แรงม้า,0.00,0.00,0
13,โรง,2565,ล้านบาท,187,คน,ยางและผลิตภัณฑ์ยาง,แรงม้า,"1,556.84",57.03,6
14,โรง,2565,ล้านบาท,"1,077",คน,ผลิตภัณฑ์พลาสติก,แรงม้า,"18,734.32","1,431.74",46
15,โรง,2565,ล้านบาท,127,คน,ผลิตภัณฑ์อโลหะ,แรงม้า,"2,320.95",179.12,6
16,โรง,2565,ล้านบาท,347,คน,ผลิตโลหะขั้นมูลฐาน,แรงม้า,"13,957.35",766.20,12
17,โรง,2565,ล้านบาท,803,คน,ผลิตภัณฑ์โลหะ,แรงม้า,"8,595.18","1,000.90",28
18,โรง,2565,ล้านบาท,58,คน,ผลิตเครื่องจักรและเครื่องกล,แรงม้า,"16,048.59","11,827.73",4
19,โรง,2565,ล้านบาท,172,คน,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,แรงม้า,952.87,104.85,6
