จำนวนโรงสี,_id,ปี,ลำดับ,หน่วยนับ,หน่วยงานเจ้าของข้อมูล,อำเภอ
4,1,2562,1,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,เมืองสกลนคร
2,2,2562,2,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,พังโคน
4,3,2562,3,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,สว่างแดนดิน
1,4,2562,4,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,โพนนาแก้ว
4,5,2563,5,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,เมืองสกลนคร
2,6,2563,6,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,พังโคน
4,7,2563,7,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,สว่างแดนดิน
1,8,2563,8,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,โพนนาแก้ว
3,9,2564,9,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,เมืองสกลนคร
2,10,2564,10,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,พังโคน
4,11,2564,11,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,สว่างแดนดิน
1,12,2564,12,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,โพนนาแก้ว
3,13,2565,13,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,เมืองสกลนคร
2,14,2565,14,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,พังโคน
4,15,2565,15,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,สว่างแดนดิน
1,16,2565,16,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,โพนนาแก้ว
3,17,2566,17,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,เมืองสกลนคร
2,18,2566,18,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,พังโคน
4,19,2566,19,แห่ง,สำนักงานอุตสาหกรรมจังหวัดสกลนคร,สว่างแดนดิน
,20,,,,,
,21,,หมายเหตุ :,,,
,22,,จำนวนโรงสีข้าวที่เป็นโรงงานตามพระราชบัญญัติโรงงาน (ฉบับที่ 2) พ.ศ. 2562 ,,,
,23,,เนื่องจากผลของการบังคับใช้พระราชบัญญัติโรงงาน (ฉบับที่ 2) พ.ศ. 2562 มีผลใช้บังคับ 27 ตุลาคม 2562 นั้น,,,
,24,,ทำให้โรงสีข้าว จำพวกที่ 1 และโรงสีข้าว จำพวกที่ 2 สิ้นภาพการเป็นโรงงาน เป็นเหตุให้มีโรงสีข้าวลดลง,,,
