รายการชุดข้อมูล,จำนวน,ที่มา,_id,ปี,หน่วยนับ,เพศ,อำเภอ,จังหวัด
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1629,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,1,2561,คน,หญิง,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,135,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,2,2561,คน,หญิง,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,790,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,3,2561,คน,หญิง,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,43,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,4,2561,คน,หญิง,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10380,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,5,2561,คน,หญิง,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,2321,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,6,2561,คน,หญิง,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,256,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,7,2561,คน,หญิง,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,528,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,8,2561,คน,หญิง,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,436,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,9,2561,คน,หญิง,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,455,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,10,2561,คน,หญิง,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,104,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,11,2561,คน,หญิง,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,31,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,12,2561,คน,หญิง,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,128,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,13,2561,คน,หญิง,ห้วยกระเจา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,3365,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,14,2561,คน,ชาย,เมืองกาญจนบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,349,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,15,2561,คน,ชาย,ไทรโยค,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1063,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,16,2561,คน,ชาย,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,217,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,17,2561,คน,ชาย,ศรีสวัสดิ์,กาญจนบุรี
