ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,1,2564,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"4,621.20",2,2564,เกษตรวิสัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,3,2564,ปทุมรัตต์,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
390.98,4,2564,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,5,2564,ธวัชบุรี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
518,6,2564,พนมไพร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"70,070.37",7,2564,โพนทอง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,8,2564,โพธิ์ชัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"330,940.00",9,2564,หนองพอก,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,10,2564,เสลภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,11,2564,สุวรรณภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,12,2564,เมืองสรวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,13,2564,โพนทราย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,14,2564,อาจสามารถ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"76,362.00",15,2564,เมยวดี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,16,2564,ศรีสมเด็จ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,17,2564,จังหาร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,18,2564,เชียงขวัญ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,19,2564,หนองฮี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,20,2564,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,21,2565,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"1,750.00",22,2565,เกษตรวิสัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,23,2565,ปทุมรัตต์,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
21,24,2565,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,25,2565,ธวัชบุรี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,26,2565,พนมไพร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"65,506.80",27,2565,โพนทอง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"192,890.00",28,2565,โพธิ์ชัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"300,080.00",29,2565,หนองพอก,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,30,2565,เสลภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,31,2565,สุวรรณภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,32,2565,เมืองสรวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,33,2565,โพนทราย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,34,2565,อาจสามารถ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"33,872.50",35,2565,เมยวดี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,36,2565,ศรีสมเด็จ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,37,2565,จังหาร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,38,2565,เชียงขวัญ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,39,2565,หนองฮี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
