_id,รหัสหลักสูตร,ชื่อหลักสูตร,ระยะเวลาการฝึก (ชม.),ที่
1,1120092070202,การเชื่อมอาร์กโลหะด้วยมือชิ้นงานต่อฟิลเล็ทตามมาตรฐานสากล ,18,1
2,1120092070802,การเชื่อมแม็กชิ้นงานต่อฟิลเล็ทตามมาตรฐานสากล,18,2
3,1120092070605,การเชื่อมทิกชิ้นงานต่อฟิลเล็ทตามมาตรฐานสากล ,18,3
4,1120092070206,การเชื่อมอาร์กโลหะด้วยมือชิ้นงานแผ่นต่อชนตามมาตรฐานสากล ,18,4
5,1120092070803,การเชื่อมแม็กชิ้นงานแผ่นต่อชนตามมาตรฐานสากล,18,5
6,1120092070604, การเชื่อมทิกชิ้นงานแผ่นต่อชนตามมาตรฐานสากล ,18,6
7,1120092070207,การเชื่อมอาร์กโลหะด้วยมือชิ้นงานท่อต่อชนตามมาตรฐานสากล,18,7
8,1120092070805,การเชื่อมแม็กชิ้นงานท่อต่อชนตามมาตรฐานสากล ,18,8
9,1120092070605,การเชื่อมทิกชิ้นงานท่อต่อชนตามมาตรฐานสากล ,18,9
10,1120092070201,การเชื่อมอาร์กโลหะด้วยมือเหล็กต่อฟิลเล็ทตามมาตรฐานสากล,192,10
11,1120092070801,การเชื่อมแม็กเหล็กต่อฟิลเล็ทตามมาตรฐานสากล ,219,11
12,1120092070601,การเชื่อมทิกเหล็กต่อฟิลเล็ทตามมาตรฐานสากล,159,12
13,1120092070203,การเชื่อมอาร์กโลหะด้วยมือเหล็กแผ่นต่อชนตามมาตรฐานสากล,213,13
