ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
พิษณุโลก-บางระกำ,2,เลขที่ 153,,1958.38,32,6095000,1,1,โรงงานเรืองสิน,ทำเส้นหมี่อบแห้ง,1958.38,วัดจันทร์,เมืองพิษณุโลก,30,พิษณุโลก,ห้างหุ้นส่วนจำกัด เส้นหมี่เรืองสิน,7.0
ศรีธรรมไตรปิฎก,2000000,เลขที่ 78/43,,0,200000,,2,2,วันชัย,ทำเส้นก๋วยเตี๋ยว,2,ในเมือง,เมืองพิษณุโลก,1200000,พิษณุโลก,นายวิชัย มัตยะสุวรรณ,
บ้านหนองหัวยาง,10000000,เลขที่ 456,,11,1000000,,3,3,บริษัท หงษ์ทองคู่ จำกัด,ทำเส้นก๋วยเตี๋ยวและเส้นหมี่,10,ท่าทอง,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท หงษ์ทองคู่ จำกัด,7.0
,3200000,เลขที่ 444,,7,400000,,4,4,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,3,หนองพระ,วังทอง,300000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,11.0
,8,เลขที่ 221/1,,316,11,4420000,5,5,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,316,สมอแข,เมืองพิษณุโลก,3,พิษณุโลก,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด,3.0
,10,เลขที่ -,,263,20,16000000,6,6,บริษัท ขวดแก้วรีไซเคิล จำกัด,บดเศษแก้วที่ไม่เป็นอันตราย,263,ท่านางงาม,บางระกำ,10,พิษณุโลก,บริษัท ขวดแก้วรีไซเคิล จำกัด,7.0
สายสันติบรรเทิง-บางกระทุ่ม,85,เลขที่ 8/8,,359906.36,105,1555000000,7,7,บริษัท น้ำตาลพิษณุโลก จำกัด,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 22,000 ตันอ้อย/วัน ",350633.86,ไผ่ล้อม,บางกระทุ่ม,20,พิษณุโลก,บริษัท น้ำตาลพิษณุโลก จำกัด,8.0
,3200000,เลขที่ 199,,14,2000000,,8,8,บริษัท พิษณุโลกบ่อทอง จำกัด,ผลิตน้ำแข็งก้อนเล็กและน้ำแข็งซอง,6,บ่อทอง,บางระกำ,20000000,พิษณุโลก,บริษัท พิษณุโลกบ่อทอง จำกัด,3.0
,1240000,เลขที่ 83,,10,5000000,,9,9,บริาัท วารีเทพ วังทอง จำกัด,ทำน้ำแข็งก้อนเล็ก 135 ตัน/วัน,1,ดินทอง,วังทอง,20629600,พิษณุโลก,บริษัท วารีเทพ วังทอง จำกัด,6.0
-,4000000,เลขที่ 199,-,17,2000000,,10,10,บริษัท ไทยสมบูรณ์วังทอง จำกัด,ผลิตน้ำแข็งซอง ได้ 720 ซอง/วัน และน้ำแข็งก้อนเล็ก ได้ 30 ตัน/วัน,0,ดินทอง,วังทอง,27000000,พิษณุโลก,บริษัท ไทยสมบูรณ์วังทอง จำกัด,1.0
,14,เลขที่ 42/8,,1168.86,20,55000000,11,11,บริษัท คิงไอซ์ จำกัด,"ทำน้ำแข็งซองได้ 320 ซอง/วัน,ทำน้ำแข็งก้อนเล็กอนามัยได้วันละ 150 ตัน/วันและทำน้ำดื่ม",536.5,วัดพริก,เมืองพิษณุโลก,6,พิษณุโลก,บริษัท คิงไอซ์ จำกัด,5.0
สิงหวัฒน์,10,เลขที่ 241/1,-,323,12,61000000,12,12,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,อบและนึ่งข้าวเปลือก,323,บ้านกร่าง,เมืองพิษณุโลก,2,พิษณุโลก,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,1.0
สิงหวัฒน์,7725000,เลขที่ 161/1,,11,7000000,,13,13,โรงสีไฟสิงหวัฒน์,อบเมล็ดข้าวเปลือก และสีข้าวนึ่ง (กำลังสีสูงสุดของร้านสีข้าว 185 เกวียน/วัน),0,พลายชุมพล,เมืองพิษณุโลก,7000000,พิษณุโลก,บริษัท โรงสีไฟสิงหวัฒน์ จำกัด,3.0
-,0,เลขที่ 46/1,-,7,20000000,,14,14,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,นึ่งและอบข้าวเปลือก,0,โคกสลุด,บางกระทุ่ม,98000000,พิษณุโลก,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,4.0
พิษณุโลก-หล่มสัก,0,เลขที่ 365,,8,585000,,15,15,งานไม้ให้เรา,ทำไม้ปาร์เก้-โมเสด วงกบ ประตู-หน้าต่าง และเครื่องเรือนจากไม้,0,สมอแข,เมืองพิษณุโลก,0,พิษณุโลก,นายสุรพันธ์ ชลประทิน,3.0
