จำนวน,ประเภทรถ,_id,ปี
51794,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,1,2563
3085,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2,2563
94415,รถยนต์บรรทุกส่วนบุคคล,3,2563
0,รถยนต์สามล้อส่วนบุคคล,4,2563
0,รถยนต์รับจ้างระหว่างจังหวัด,5,2563
62,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,6,2563
0,รถยนต์สี่ล้อเล็กรับจ้าง,7,2563
0,รถยนต์รับจ้างสามล้อ,8,2563
0,รถยนต์บริการธุรกิจ,9,2563
0,รถยนต์บริการทัศนาจร,10,2563
0,รถยนต์บริการให้เช่า,11,2563
259697,รถจักรยานยนต์,12,2563
14130,รถแทรกเตอร์,13,2563
213,รถบดถนน,14,2563
247,รถใช้งานเกษตรกรรม,15,2563
8,รถพ่วง,16,2563
207,รถจักรยานยนต์สาธารณะ,17,2563
54755,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,18,2564
3086,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,19,2564
95950,รถยนต์บรรทุกส่วนบุคคล,20,2564
0,รถยนต์สามล้อส่วนบุคคล,21,2564
0,รถยนต์รับจ้างระหว่างจังหวัด,22,2564
62,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,23,2564
0,รถยนต์สี่ล้อเล็กรับจ้าง,24,2564
0,รถยนต์รับจ้างสามล้อ,25,2564
0,รถยนต์บริการธุรกิจ,26,2564
0,รถยนต์บริการทัศนาจร,27,2564
0,รถยนต์บริการให้เช่า,28,2564
267149,รถจักรยานยนต์,29,2564
14640,รถแทรกเตอร์,30,2564
219,รถบดถนน,31,2564
247,รถใช้งานเกษตรกรรม,32,2564
6,รถพ่วง,33,2564
175,รถจักรยานยนต์สาธารณะ,34,2564
57416,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,35,2565
3002,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,36,2565
96596,รถยนต์บรรทุกส่วนบุคคล,37,2565
0,รถยนต์สามล้อส่วนบุคคล,38,2565
0,รถยนต์รับจ้างระหว่างจังหวัด,39,2565
61,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,40,2565
0,รถยนต์สี่ล้อเล็กรับจ้าง,41,2565
0,รถยนต์รับจ้างสามล้อ,42,2565
0,รถยนต์บริการธุรกิจ,43,2565
0,รถยนต์บริการทัศนาจร,44,2565
0,รถยนต์บริการให้เช่า,45,2565
270211,รถจักรยานยนต์,46,2565
15351,รถแทรกเตอร์,47,2565
227,รถบดถนน,48,2565
248,รถใช้งานเกษตรกรรม,49,2565
5,รถพ่วง,50,2565
153,รถจักรยานยนต์สาธารณะ,51,2565
59626,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,52,2566
2940,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,53,2566
96234,รถยนต์บรรทุกส่วนบุคคล,54,2566
1,รถยนต์สามล้อส่วนบุคคล,55,2566
0,รถยนต์รับจ้างระหว่างจังหวัด,56,2566
58,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,57,2566
0,รถยนต์สี่ล้อเล็กรับจ้าง,58,2566
0,รถยนต์รับจ้างสามล้อ,59,2566
0,รถยนต์บริการธุรกิจ,60,2566
0,รถยนต์บริการทัศนาจร,61,2566
0,รถยนต์บริการให้เช่า,62,2566
270326,รถจักรยานยนต์,63,2566
15480,รถแทรกเตอร์,64,2566
225,รถบดถนน,65,2566
248,รถใช้งานเกษตรกรรม,66,2566
5,รถพ่วง,67,2566
137,รถจักรยานยนต์สาธารณะ,68,2566
60751,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,69,2567
2879,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,70,2567
94430,รถยนต์บรรทุกส่วนบุคคล,71,2567
1,รถยนต์สามล้อส่วนบุคคล,72,2567
0,รถยนต์รับจ้างระหว่างจังหวัด,73,2567
57,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,74,2567
0,รถยนต์สี่ล้อเล็กรับจ้าง,75,2567
0,รถยนต์รับจ้างสามล้อ,76,2567
0,รถยนต์บริการธุรกิจ,77,2567
0,รถยนต์บริการทัศนาจร,78,2567
0,รถยนต์บริการให้เช่า,79,2567
266585,รถจักรยานยนต์,80,2567
15360,รถแทรกเตอร์,81,2567
232,รถบดถนน,82,2567
247,รถใช้งานเกษตรกรรม,83,2567
6,รถพ่วง,84,2567
119,รถจักรยานยนต์สาธารณะ,85,2567
