2560,2561,_id,2559,2564,2567,2566,2563,2565,Type of vehicle,ประเภทรถ,2562
"99,950","87,521",1,"93,873","130,717","148,880","150,113","27,724","145,029",Sedan (not more than 7 passengers),รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,"93,742"
"3,659","2,372",2,"3,606","4,402","4,977","4,852","13,557","4,764",Microbus & passenger van,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,"2,467"
"87,238","60,353",3,"85,158","92,402","95,273","98,443",1,"98,264",Van & pick up,รถยนต์บรรทุกส่วนบุคคล,"62,037"
53,5,4,51,6,8,14,-,5,Motortricycle,รถยนต์สามล้อส่วนบุคคล,6
2,-,5,-,0,0,0,40,0,Interprovincial taxi,รถยนต์รับจ้างระหว่างจังหวัด,-
193,187,6,192,130,104,142,-,109,Urban taxi,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,173
-,-,7,-,0,0,0,1,0,Fixed route taxi,รถยนต์สี่ล้อเล็กรับจ้าง,-
119,92,8,127,71,72,81,-,72,Motortricycle taxi (tuk tuk),รถยนต์รับจ้างสามล้อ,93
-,-,9,-,3,0,0,-,0,Hotel taxi,รถยนต์บริการธุรกิจ,-
-,-,10,-,4,0,0,-,2,Tour taxi,รถยนต์บริการทัศนาจร,-
-,-,11,-,0,0,0,-,0,Car for hire,รถยนต์บริการให้เช่า,-
"271,134","178,180",12,"269,374","239,436","263,433","262,051","82,060","254,379",Motorcycle,รถจักรยานยนต์,"180,944"
"9,604","4,228",13,"9,452","7,031","8,124","7,980","3,883","7,586",Tractor,รถแทรกเตอร์,"4,223"
213,173,14,189,232,213,219,56,235,Road roller,รถบดถนน,167
"6,720",-,15,"6,302","2,509","2,093","2,277",5,"2,448",Farm vehicle,รถใช้งานเกษตรกรรม,-
22,15,16,8,30,47,47,2,29,Automobile trailer,รถพ่วง,16
252,206,17,276,148,118,125,3,160,Public motorcycle,รถจักรยานยนต์สาธารณะ,181
