รายการ,จังหวัด,ที่มา,_id,ข้อมูล,หน่วยนับ,ประเภทรถ,ชนิดเชื้อเพลิง,ประเภท,ปี
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,1," 6,731 ",คัน,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,2, 5 ,คัน,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,3, 136 ,คัน,รย.3 รถยนต์บรรทุกส่วนบุคคล,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,4, 2 ,คัน,รย.4 รถยนต์สามล้อส่วนบุคคล,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,5, -   ,คัน,รย.5 รถยนต์รับจ้างระหว่างจังหวัด,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,6, -   ,คัน,รย.6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,7, -   ,คัน,บุคคลธรรมดา,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,8, -   ,คัน,นิติบุคคล,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,9, -   ,คัน,รย.7 รถยนต์สี่ล้อเล็กรับจ้าง,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,10, -   ,คัน,รย.8 รถยนต์รับจ้างสามล้อ,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,11, -   ,คัน,รย.9 รถยนต์บริการธุรกิจ,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,12, -   ,คัน,รย.10 รถยนต์บริการทัศนาจร,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,13, -   ,คัน,รย.11 รถยนต์บริการให้เช่า,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,14," 51,706 ",คัน,รย.12 รถจักรยานยนต์ส่วนบุคคล,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,15, -   ,คัน,รย.13 รถแทร็กเตอร์,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,16, -   ,คัน,รย.14 รถบดถนน,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,17, -   ,คัน,รย.15 รถใช้ในงานเกษตรกรรม,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,18, -   ,คัน,รย.16 รถพ่วง,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,19, -   ,คัน,รย.17  รถจักรยานยนต์สาธารณะ,เบนซิน, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,20, -   ,คัน,รถโดยสารประจำทาง,เบนซิน, รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,21, -   ,คัน,รถโดยสารไม่ประจำทาง,เบนซิน, รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,22, -   ,คัน,รถโดยสารส่วนบุคคล,เบนซิน, รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,23, -   ,คัน,รถบรรทุกไม่ประจำทาง,เบนซิน, รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,24, -   ,คัน,รถบรรทุกส่วนบุคคล,เบนซิน, รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,25, -   ,คัน,รถขนาดเล็ก,เบนซิน, รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,2565
จำนวนรถจดทะเบียนใหม่ , นครราชสีมา , สำนักงานขนส่งจังหวัดนครราชสีมา  ,26," 7,389 ",คัน,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ดีเซล, รวมรถตามกฎหมายว่าด้วยรถยนต์ ,2565
