jun,dec,vehicle_type,oct,aug,jan,_id,feb,may,jul,sep,vehicle_id,apr,v_total,mar,nov
" 62,481 ", -   ,     รวมทั้งหมด  Grand Total , -   , -   ," 85,815 ",1," 82,254 "," 52,661 ", -   , -   ,1," 56,200 "," 429,247 "," 89,836 ", -   
" 61,696 ", -   ," ก. รวมรถตามกฎหมายว่าด้วยรถยนต์
      Total Vehicle under Motor Vehicle Act. ", -   , -   ," 84,756 ",2," 81,285 "," 51,952 ", -   , -   ,2," 55,229 "," 423,393 "," 88,475 ", -   
" 18,841 ",,     รย.1  รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน Sedan (Not more than 7 Pass.) ,,," 34,258 ",3," 32,126 "," 18,382 ",,,3," 24,373 "," 161,807 "," 33,827 ",
" 1,094 ",,     รย.2  รถยนต์นั่งส่วนบุคคลเกิน 7 คน Microbus & Passenger Van ,,," 1,260 ",4," 2,034 "," 1,072 ",,,4," 1,220 "," 8,724 "," 2,044 ",
" 5,840 ",,     รย.3  รถยนต์บรรทุกส่วนบุคคล Van & Pick Up ,,," 7,668 ",5," 6,821 "," 4,247 ",,,5," 5,325 "," 36,958 "," 7,057 ",
 3 ,,     รย.4  รถยนต์สามล้อส่วนบุคคล Motortricycle ,,, 1 ,6, 2 , 4 ,,,6, 2 , 15 , 3 ,
 -   ,,     รย.5  รถยนต์รับจ้างระหว่างจังหวัด Interprovincial Taxi ,,, -   ,7, -   , -   ,,,7, -   , -   , -   ,
 126 ,,     รย.6  รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน Urban Taxi ,,, 664 ,8, 614 , 91 ,,,8, 84 ," 2,109 ", 530 ,
 23 ,,                  - บุคคลธรรมดา Private ,,, 53 ,9, 53 , 24 ,,,9, 15 , 210 , 42 ,
 103 ,,                  - นิติบุคคล Juristic Person ,,, 611 ,10, 561 , 67 ,,,10, 69 ," 1,899 ", 488 ,
 2 ,,     รย.7  รถยนต์สี่ล้อเล็กรับจ้าง Fixed Route Taxi ,,, 1 ,11, -   , -   ,,,11, -   , 3 , -   ,
 15 ,,     รย.8  รถยนต์รับจ้างสามล้อ (Tuk Tuk) ,,, 1 ,12, 4 , 10 ,,,12, -   , 31 , 1 ,
 -   ,,     รย.9  รถยนต์บริการธุรกิจ Hotel Taxi ,,, 11 ,13, 6 , -   ,,,13, -   , 17 , -   ,
 3 ,,     รย.10 รถยนต์บริการทัศนาจร Tour Taxi ,,, 23 ,14, 53 , 1 ,,,14, 15 , 128 , 33 ,
 -   ,,     รย.11 รถยนต์บริการให้เช่า Car For Hire ,,, -   ,15, -   , -   ,,,15, -   , 2 , 2 ,
" 34,685 ",,     รย.12 รถจักรยานยนต์ Motorcycle ,,," 39,756 ",16," 38,624 "," 27,316 ",,,16," 23,282 "," 207,561 "," 43,898 ",
 851 ,,     รย.13 รถแทรกเตอร์ Tractor ,,, 855 ,17, 747 , 696 ,,,17, 821 ," 4,831 ", 861 ,
 48 ,,     รย.14 รถบดถนน Road Roller ,,, 12 ,18, 13 , 20 ,,,18, 12 , 118 , 13 ,
 -   ,,     รย.15 รถใช้งานเกษตรกรรม Farm Vehicle ,,, -   ,19, -   , -   ,,,19, -   , -   , -   ,
 96 ,,     รย.16 รถพ่วง Automobile Trailer ,,, 62 ,20, 82 , 59 ,,,20, 44 , 428 , 85 ,
 92 ,,     รย.17 รถจักรยานยนต์สาธารณะ Public Motorcycle ,,, 184 ,21, 159 , 54 ,,,21, 51 , 661 , 121 ,
 785 , -   ," ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก
     Total Vehicle under Land Transport Act ", -   , -   ," 1,059 ",22, 969 , 709 , -   , -   ,22, 971 ," 5,854 "," 1,361 ", -   
 322 ,,     รวมรถโดยสาร Bus : Total ,,, 378 ,23, 272 , 104 ,,,23, 133 ," 1,488 ", 279 ,
 219 ,,     แยกเป็น - ประจำทาง Fixed Route Bus ,,, 169 ,24, 107 , 22 ,,,24, 22 , 681 , 142 ,
 199 ,,                            หมวด 1 category 1 ,,, 136 ,25, 68 , 10 ,,,25, 6 , 531 , 112 ,
 8 ,,                            หมวด 2 category 2 ,,, 19 ,26, 21 , 8 ,,,26, 11 , 81 , 14 ,
 -   ,,                            หมวด 3 category 3 ,,, -   ,27, 7 , -   ,,,27, -   , 7 , -   ,
 12 ,,                            หมวด 4 category 4 ,,, 14 ,28, 11 , 4 ,,,28, 5 , 62 , 16 ,
 -   ,,                            ระหว่างประเทศ Internation Bus ,,, -   ,29, -   , -   ,,,29, -   , -   , -   ,
 91 ,,                - ไม่ประจำทาง Non Fixed Route Bus ,,, 202 ,30, 148 , 71 ,,,30, 94 , 724 , 118 ,
 91 ,,                           ไม่ประจำทาง Non Fixed Route Bus ,,, 202 ,31, 148 , 71 ,,,31, 94 , 724 , 118 ,
 -   ,,                            ระหว่างประเทศ Internation Bus ,,, -   ,32, -   , -   ,,,32, -   , -   , -   ,
 12 ,,                - ส่วนบุคคล Private Bus ,,, 7 ,33, 17 , 11 ,,,33, 17 , 83 , 19 ,
 12 ,,                            ส่วนบุคคล Private Bus ,,, 7 ,34, 17 , 11 ,,,34, 17 , 83 , 19 ,
 -   ,,                            ระหว่างประเทศ Internation Bus ,,, -   ,35, -   , -   ,,,35, -   , -   , -   ,
 463 ,,     รวมรถบรรทุก Truck : Total ,,, 681 ,36, 697 , 605 ,,,36, 838 ," 4,366 "," 1,082 ",
 288 ,,     แยกเป็น - ไม่ประจำทาง Non Fixed Route Truck ,,, 409 ,37, 406 , 411 ,,,37, 553 ," 2,771 ", 704 ,
 288 ,,                           ไม่ประจำทาง Non Fixed Route Bus ,,, 409 ,38, 406 , 411 ,,,38, 553 ," 2,771 ", 704 ,
 -   ,,                            ระหว่างประเทศ Internation Truck ,,, -   ,39, -   , -   ,,,39, -   , -   , -   ,
