_id,ก.พ.,เม.ย.,พ.ค.,มิ.ย.,พ.ย.,ม.ค.,ต.ค.,รวม,ก.ย.,ธ.ค.,ประเภทรถ,ส.ค.,ก.ค.,มี.ค.
1,23137,25584,26582,26262,21888,30750,22928,294328,24351,17929,    รวมทั้งหมด,23673,23639,27605
2,22273,24494,25630,25720,20814,29496,21970,282941,23453,16890,ก. รวมรถตามกฎหมายว่าด้วยรถยนตร์และล้อเลื่อน,22811,22740,26650
3,4301,4747,5324,5399,4486,7215,4523,58960,5532,3745,    รย.1  รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5133,3903,4652
4,2707,2548,2765,2600,1637,3432,2297,29510,2690,1676,    รย.2  รถยนต์นั่งส่วนบุคคลเกิน 7 คน ,1880,2120,3158
5,3017,3698,3740,3759,3125,4283,3404,41414,3357,2951,    รย.3  รถยนต์บรรทุกส่วนบุคคล,3228,3114,3738
6,3,7,7,14,6,4,56,130,4,5,    รย.4  รถยนต์สามล้อส่วนบุคคล,9,15,
7,,,,1,,,,1,,,    รย.5  รถยนต์รับจ้างระหว่างจังหวัด,,,
8,,,,,,,,0,,,    รย.6  รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,,,
9,,,,,,,,0,,,    รย.7  รถยนต์สี่ล้อเล็กรับจ้าง,,,
10,,,,,,,,0,,,    รย.8  รถยนต์รับจ้างสามล้อ,,,
11,,,,,,,,0,,,    รย.9  รถยนต์บริการธุรกิจ,,,
12,,,1,1,,3,,6,,1,    รย.10 รถยนต์บริการทัศนาจร,,,
13,,,5,,9,,26,57,15,2,    รย.11 รถยนต์บริการให้เช่า,,,
14,12200,13435,13730,13840,11500,14500,11530,151690,11670,8450,    รย.12 รถจักรยานยนต์,12385,13450,15000
15,38,53,58,100,49,53,127,952,88,54,    รย.13 รถแทรกเตอร์,115,124,93
16,7,6,,6,2,6,7,216,97,5,    รย.14 รถบดถนน,61,10,9
17,,,,,,,,0,,,    รย.15 รถใช้งานเกษตรกรรม,,,
18,,,,,,,,5,,1,    รย.16 รถพ่วง,,4,
19,,,,,,,,0,,,    ล้อเลื่อน,,,
20,864,1090,952,542,1074,1254,958,11387,898,1039,ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก,862,899,955
21,101,94,83,122,358,145,324,2341,229,406,    รวมรถโดยสาร,256,134,89
22,15,9,8,38,275,41,214,1284,143,336,    แยกเป็น - ประจำทาง,177,18,10
23,59,64,52,53,47,83,65,726,64,45,               - ไม่ประจำทาง,59,82,53
24,27,21,23,31,36,21,45,331,22,25,               - ส่วนบุคคล,20,34,26
25,763,996,869,420,716,1109,634,9046,669,633,    รวมรถบรรทุก,606,765,866
26,156,251,161,133,247,288,167,2240,126,187,    แยกเป็น - ไม่ประจำทาง,142,224,158
27,607,745,708,287,469,821,467,6806,543,446,               - ส่วนบุคคล,464,541,708
28,0,0,0,0,0,0,0,0,0,0,    โดยรถขนาดเล็ก,0,0,0
29,,,,,,,,,,,ฝ่ายสถิติการขนส่ง   กองวิชาการและวางแผน   กรมการขนส่งทางบก,,,
