_id,ประเภทรถ,ปี,จำนวน,หน่วย
1,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2563,"41,066",คัน
2,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2563,"1,582",คัน
3,รย.3 รถยนต์บรรทุกส่วนบุคคล,2563,"52,248",คัน
4,รย.4 รถยนต์สามล้อส่วนบุคคล,2563,10,คัน
5,รย.8 รถยนต์รับจ้างสามล้อ,2563,4,คัน
6,รย.12 รถจักรยานยนต์,2563,"169,583",คัน
7,รย.13 รถแทรกเตอร์,2563,"3,929",คัน
8,รย.14 รถบดถนน,2563,76,คัน
9,รย.15 รถใช้ในงานเกษตรกรรม,2563,43,คัน
10,รย.16 รถพ่วง,2563,2,คัน
11,รย.17รถจักรยานยนต์สาธารณะ,2563,86,คัน
12,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2564,"43,695",คัน
13,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2564,"1,610",คัน
14,รย.3 รถยนต์บรรทุกส่วนบุคคล,2564,"52,806",คัน
15,รย.4 รถยนต์สามล้อส่วนบุคคล,2564,8,คัน
16,รย.8 รถยนต์รับจ้างสามล้อ,2564,4,คัน
17,รย.12 รถจักรยานยนต์,2564,"170,565",คัน
18,รย.13 รถแทรกเตอร์,2564,"3,940",คัน
19,รย.14 รถบดถนน,2564,75,คัน
20,รย.15 รถใช้ในงานเกษตรกรรม,2564,42,คัน
21,รย.16 รถพ่วง,2564,2,คัน
22,รย.17รถจักรยานยนต์สาธารณะ,2564,78,คัน
23,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,"45,546",คัน
24,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,"1,595",คัน
25,รย.3 รถยนต์บรรทุกส่วนบุคคล,2565,"52,928",คัน
26,รย.4 รถยนต์สามล้อส่วนบุคคล,2565,7,คัน
27,รย.8 รถยนต์รับจ้างสามล้อ,2565,4,คัน
28,รย.12 รถจักรยานยนต์,2565,"170,092",คัน
29,รย.13 รถแทรกเตอร์,2565,"3,950",คัน
30,รย.14 รถบดถนน,2565,75,คัน
31,รย.15 รถใช้ในงานเกษตรกรรม,2565,42,คัน
32,รย.16 รถพ่วง,2565,3,คัน
33,รย.17รถจักรยานยนต์สาธารณะ,2565,71,คัน
34,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,"47,519",คัน
35,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,"1,588",คัน
36,รย.3 รถยนต์บรรทุกส่วนบุคคล,2566,"52,815",คัน
37,รย.4 รถยนต์สามล้อส่วนบุคคล,2566,4,คัน
38,รย.8 รถยนต์รับจ้างสามล้อ,2566,,คัน
39,รย.12 รถจักรยานยนต์,2566,"169,093",คัน
40,รย.13 รถแทรกเตอร์,2566,"3,913",คัน
41,รย.14 รถบดถนน,2566,75,คัน
42,รย.15 รถใช้ในงานเกษตรกรรม,2566,42,คัน
43,รย.16 รถพ่วง,2566,3,คัน
44,รย.17รถจักรยานยนต์สาธารณะ,2566,63,คัน
45,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,48832,คัน
46,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,1591,คัน
47,รย.3 รถยนต์บรรทุกส่วนบุคคล,2567,52433,คัน
48,รย.4 รถยนต์สามล้อส่วนบุคคล,2567,5,คัน
49,รย.8 รถยนต์รับจ้างสามล้อ,2567,3,คัน
50,รย.12 รถจักรยานยนต์,2567,168103,คัน
51,รย.13 รถแทรกเตอร์,2567,3935,คัน
52,รย.14 รถบดถนน,2567,77,คัน
53,รย.15 รถใช้ในงานเกษตรกรรม,2567,42,คัน
54,รย.16 รถพ่วง,2567,4,คัน
55,รย.17รถจักรยานยนต์สาธารณะ,2567,50,คัน
