_id,ผลรวม,ปี,ประจำทาง,อันดับ,เดือน,มาตรฐานรถ,ไม่ประจําทาง,ส่วนบุคคล
1,1,2566,0,1,มกราคม,ม.1 (ข) รถปรับอากาศพิเศษ,1,0
2,1,2566,0,1,มกราคม,ม.2 รถปรับอากาศ,1,0
3,1,2566,0,1,มกราคม,ม.2(จ) รถปรับอากาศ,1,0
4,2,2566,1,1,มกราคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,0
5,5,2566,4,1,มกราคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,1,0
6,1,2566,0,2,กุมภาพันธ์,ม.1 (ข) รถปรับอากาศพิเศษ,1,0
7,2,2566,0,2,กุมภาพันธ์,ม.2 (จ) รถปรับอากาศ,0,2
8,1,2566,0,2,กุมภาพันธ์,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
9,3,2566,0,2,กุมภาพันธ์,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,2
10,1,2566,1,2,กุมภาพันธ์,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
11,1,2566,0,3,มีนาคม,ม.2 (ก) รถปรับอากาศ,1,0
12,12,2566,0,3,มีนาคม,ม.2 (จ) รถปรับอากาศ,12,0
13,1,2566,0,3,มีนาคม,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
14,1,2566,0,3,มีนาคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,0
15,5,2566,5,3,มีนาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
16,2,2566,0,4,เมษายน,ม.1 (ข) รถปรับอากาศพิเศษ,2,0
17,2,2566,0,4,เมษายน,ม.2 (จ) รถปรับอากาศ,2,0
18,1,2566,0,4,เมษายน,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,0,1
19,1,2566,0,4,เมษายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,0
20,1,2566,0,4,เมษายน,ม.4 (ข) รถสองชั้น,1,0
21,1,2566,0,5,พฤษภาคม,ม.1 (ข) รถปรับอากาศพิเศษ,1,0
22,2,2566,0,5,พฤษภาคม,ม.2 (จ) รถปรับอากาศ,1,1
23,1,2566,0,5,พฤษภาคม,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
24,3,2566,3,5,พฤษภาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
25,2,2566,0,6,มิถุนายน,ม.2 (จ) รถปรับอากาศ,2,0
26,1,2566,0,6,มิถุนายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,1
27,4,2566,4,6,มิถุนายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
28,3,2566,0,7,กรกฎาคม,ม.1 (ข) รถปรับอากาศพิเศษ,3,0
29,2,2566,0,7,กรกฎาคม,ม.2 (จ) รถปรับอากาศ,1,1
30,1,2566,0,7,กรกฎาคม,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
31,1,2566,0,7,กรกฎาคม,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,0,1
32,3,2566,3,7,กรกฎาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
33,2,2566,0,7,กรกฎาคม,ม.4 (ข) รถสองชั้น,2,0
34,3,2566,0,8,สิงหาคม,ม.2 (จ) รถปรับอากาศ,3,0
35,1,2566,0,8,สิงหาคม,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
36,3,2566,0,8,สิงหาคม,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,0,3
37,1,2566,0,8,สิงหาคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,1
38,3,2566,3,8,สิงหาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
39,1,2566,0,9,กันยายน,ม.2 รถปรับอากาศ,1,0
40,1,2566,0,9,กันยายน,ม.2 (ก) รถปรับอากาศ,1,0
41,2,2566,0,9,กันยายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,2,0
42,6,2566,6,9,กันยายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
43,2,2566,0,10,ตุลาคม,ม.2 (จ) รถปรับอากาศ,2,0
44,1,2566,0,10,ตุลาคม,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
45,2,2566,0,10,ตุลาคม,ม.3 (ข) รถที่ไม่มีเครื่องปรับอากาศ,2,0
46,1,2566,0,10,ตุลาคม,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,0,1
47,1,2566,0,10,ตุลาคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,1
48,6,2566,6,10,ตุลาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
49,2,2566,0,11,พฤศจิกายน,ม.1 (ข) รถปรับอากาศพิเศษ,2,0
50,3,2566,0,11,พฤศจิกายน,ม.2 (จ) รถปรับอากาศ,3,0
51,1,2566,0,11,พฤศจิกายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,1
52,1,2566,1,11,พฤศจิกายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
53,2,2566,0,12,ธันวาคม,ม.1 (ข) รถปรับอากาศพิเศษ,2,0
54,1,2566,0,12,ธันวาคม,ม.2 (ง) รถปรับอากาศ,0,1
55,1,2566,0,12,ธันวาคม,ม.2 (จ) รถปรับอากาศ,1,0
56,1,2566,0,12,ธันวาคม,ม.2 (จ) รถปรับอากาศ (รถตู้),1,0
57,1,2566,1,12,ธันวาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
58,8,2567,0,1,มกราคม,ม.2 (จ) รถปรับอากาศ,5,3
59,1,2567,0,1,มกราคม,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
60,1,2567,1,1,มกราคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
61,3,2567,3,1,มกราคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
62,1,2567,0,2,กุมภาพันธ์,ม.2 รถปรับอากาศ,0,1
63,2,2567,0,2,กุมภาพันธ์,ม.2 (จ) รถปรับอากาศ,2,0
64,1,2567,0,2,กุมภาพันธ์,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,1
65,1,2567,1,2,กุมภาพันธ์,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
66,1,2567,0,3,มีนาคม,ม.1 (ข) รถปรับอากาศพิเศษ,1,0
67,1,2567,0,3,มีนาคม,ม.2 (ค) รถปรับอากาศ,0,1
68,2,2567,0,3,มีนาคม,ม.2 (จ) รถปรับอากาศ,2,0
69,1,2567,0,3,มีนาคม,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
70,3,2567,3,3,มีนาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
71,1,2567,0,4,เมษายน,ม.3 (ข) รถที่ไม่มีเครื่องปรับอากาศ,1,0
72,1,2567,0,4,เมษายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,0
73,6,2567,6,4,เมษายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
74,2,2567,0,4,เมษายน,ม.4 (ข) รถสองชั้น,2,0
75,2,2567,0,5,พฤษภาคม,ม.2 (ก) รถปรับอากาศ,1,1
76,4,2567,0,5,พฤษภาคม,ม.2 (จ) รถปรับอากาศ,2,2
77,1,2567,0,5,พฤษภาคม,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
78,2,2567,1,5,พฤษภาคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,1
79,4,2567,4,5,พฤษภาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
80,7,2567,0,6,มิถุนายน,ม.2 (จ) รถปรับอากาศ,7,0
81,1,2567,0,6,มิถุนายน,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
