ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,หน่วย
"2,993",สำนักงานขนส่งจังหวัดปทุมธานี,1,2556,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"2,481",สำนักงานขนส่งจังหวัดปทุมธานี,2,2557,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"2,488",สำนักงานขนส่งจังหวัดปทุมธานี,3,2558,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"2,561",สำนักงานขนส่งจังหวัดปทุมธานี,4,2559,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"2,452",สำนักงานขนส่งจังหวัดปทุมธานี,5,2560,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"2,321",สำนักงานขนส่งจังหวัดปทุมธานี,6,2561,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"2,197",สำนักงานขนส่งจังหวัดปทุมธานี,7,2562,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"1,900",สำนักงานขนส่งจังหวัดปทุมธานี,8,2563,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"1,577",สำนักงานขนส่งจังหวัดปทุมธานี,9,2564,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"1,902",สำนักงานขนส่งจังหวัดปทุมธานี,10,2565,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"1,734",สำนักงานขนส่งจังหวัดปทุมธานี,11,2566,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"1,613",สำนักงานขนส่งจังหวัดปทุมธานี,12,2567,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
"1,277",สำนักงานขนส่งจังหวัดปทุมธานี,13,2568,จังหวัดปทุมธานี,จำนวนทะเบียนรถใหม่,คัน
