_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
1,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,578,เบนซิน
2,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,2,เบนซิน
3,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2565,8,เบนซิน
4,รย. 4 รถยนต์สามล้อส่วนบุคคล,2565,0,เบนซิน
5,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2565,0,เบนซิน
6,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2565,0,เบนซิน
7,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,เบนซิน
8,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,เบนซิน
9,รย. 9 รถยนต์บริการธุรกิจ,2565,0,เบนซิน
10,รย. 10 รถยนต์บริการทัศนาจร,2565,0,เบนซิน
11,รย. 11 รถยนต์บริการให้เช่า,2565,0,เบนซิน
12,รย. 12 รถจักรยานยนต์,2565,"7,823",เบนซิน
13,รย. 13 รถแทร็กเตอร์,2565,0,เบนซิน
14,รย. 14 รถบดถนน,2565,0,เบนซิน
15,รย. 15 รถใช้ในงานเกษตรกรรม,2565,0,เบนซิน
16,รย. 16 รถพ่วง,2565,0,เบนซิน
17,รย. 17 รถจักรยานยนต์สาธารณะ,2565,0,เบนซิน
18,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2565,0,เบนซิน
19,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,"1,191",ดีเซล
20,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,18,ดีเซล
21,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2565,"1,080",ดีเซล
22,รย. 4 รถยนต์สามล้อส่วนบุคคล,2565,0,ดีเซล
23,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2565,0,ดีเซล
24,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2565,0,ดีเซล
25,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,ดีเซล
26,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,ดีเซล
27,รย. 9 รถยนต์บริการธุรกิจ,2565,0,ดีเซล
28,รย. 10 รถยนต์บริการทัศนาจร,2565,0,ดีเซล
29,รย. 11 รถยนต์บริการให้เช่า,2565,0,ดีเซล
30,รย. 12 รถจักรยานยนต์,2565,0,ดีเซล
31,รย. 13 รถแทร็กเตอร์,2565,813,ดีเซล
32,รย. 14 รถบดถนน,2565,3,ดีเซล
33,รย. 15 รถใช้ในงานเกษตรกรรม,2565,0,ดีเซล
34,รย. 16 รถพ่วง,2565,0,ดีเซล
35,รย. 17 รถจักรยานยนต์สาธารณะ,2565,0,ดีเซล
36,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2565,0,ดีเซล
37,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,2,แก๊ส LPG +เบนซิน
38,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,2,แก๊ส LPG +เบนซิน
39,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2565,0,แก๊ส LPG +เบนซิน
40,รย. 4 รถยนต์สามล้อส่วนบุคคล,2565,0,แก๊ส LPG +เบนซิน
41,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2565,0,แก๊ส LPG +เบนซิน
42,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2565,0,แก๊ส LPG +เบนซิน
43,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,แก๊ส LPG +เบนซิน
44,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,แก๊ส LPG +เบนซิน
45,รย. 9 รถยนต์บริการธุรกิจ,2565,0,แก๊ส LPG +เบนซิน
46,รย. 10 รถยนต์บริการทัศนาจร,2565,0,แก๊ส LPG +เบนซิน
47,รย. 11 รถยนต์บริการให้เช่า,2565,0,แก๊ส LPG +เบนซิน
48,รย. 12 รถจักรยานยนต์,2565,0,แก๊ส LPG +เบนซิน
49,รย. 13 รถแทร็กเตอร์,2565,0,แก๊ส LPG +เบนซิน
