เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
สิงหาคม,55641,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
สิงหาคม,1702,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
สิงหาคม,14640,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
สิงหาคม,3,4,2566,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
สิงหาคม,198,5,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
สิงหาคม,42,6,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
สิงหาคม,22,7,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
สิงหาคม,28,8,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
สิงหาคม,178817,9,2566,รย. 12 รถจักรยานยนต์,รถยนต์
สิงหาคม,4691,10,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
สิงหาคม,72,11,2566,รย. 14 รถบดถนน,รถยนต์
สิงหาคม,19,12,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
สิงหาคม,77,13,2566,รย. 16 รถพ่วง,รถยนต์
สิงหาคม,80,14,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
สิงหาคม,118,15,2566,รถโดยสารประจำทาง,รถขนส่ง
สิงหาคม,432,16,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
สิงหาคม,50,17,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
สิงหาคม,3181,18,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
สิงหาคม,2935,19,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
