จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
509091,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
18744,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
116688,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
83,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
3958,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
1,6,2567,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),รถยนต์
323,7,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
194,8,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
596,9,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
9,10,2567,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
1899811,11,2567,รย. 12 รถจักรยานยนต์,รถยนต์
58395,12,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
601,13,2567,รย. 14 รถบดถนน,รถยนต์
331,14,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
909,15,2567,รย. 16 รถพ่วง,รถยนต์
1103,16,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
1245,17,2567,รถโดยสารประจำทาง,รถขนส่ง
4323,18,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
504,19,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
28855,20,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
30143,21,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
