เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
พฤศจิกายน,39921,1,2568,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,1440,2,2568,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
พฤศจิกายน,6478,3,2568,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
พฤศจิกายน,5,4,2568,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
พฤศจิกายน,334,5,2568,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,10,6,2568,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
พฤศจิกายน,24,7,2568,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
พฤศจิกายน,11,8,2568,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
พฤศจิกายน,143326,9,2568,รย. 12 รถจักรยานยนต์,รถยนต์
พฤศจิกายน,3254,10,2568,รย. 13 รถแทร็กเตอร์,รถยนต์
พฤศจิกายน,56,11,2568,รย. 14 รถบดถนน,รถยนต์
พฤศจิกายน,7,12,2568,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
พฤศจิกายน,125,13,2568,รย. 16 รถพ่วง,รถยนต์
พฤศจิกายน,120,14,2568,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
พฤศจิกายน,116,15,2568,รถโดยสารประจำทาง,รถขนส่ง
พฤศจิกายน,302,16,2568,รถโดยสารไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,61,17,2568,รถโดยสารส่วนบุคคล,รถขนส่ง
พฤศจิกายน,2469,18,2568,รถบรรทุกไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,2376,19,2568,รถบรรทุกส่วนบุคคล,รถขนส่ง
