เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
มีนาคม,68183,1,2566,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
มีนาคม,1963,2,2566,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
มีนาคม,17901,3,2566,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
มีนาคม,8,4,2566,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
มีนาคม,287,5,2566,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
มีนาคม,1,6,2566,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),รถยนต์
มีนาคม,45,7,2566,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
มีนาคม,12,8,2566,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
มีนาคม,37,9,2566,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
มีนาคม,9,10,2566,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
มีนาคม,203769,11,2566,รย. 12 รถจักรยานยนต์,รถยนต์
มีนาคม,6806,12,2566,รย. 13 รถแทร็กเตอร์,รถยนต์
มีนาคม,64,13,2566,รย. 14 รถบดถนน,รถยนต์
มีนาคม,65,14,2566,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
มีนาคม,104,15,2566,รย. 16 รถพ่วง,รถยนต์
มีนาคม,143,16,2566,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
มีนาคม,350,17,2566,รถโดยสารประจำทาง,รถขนส่ง
มีนาคม,414,18,2566,รถโดยสารไม่ประจำทาง,รถขนส่ง
มีนาคม,36,19,2566,รถโดยสารส่วนบุคคล,รถขนส่ง
มีนาคม,3105,20,2566,รถบรรทุกไม่ประจำทาง,รถขนส่ง
มีนาคม,3257,21,2566,รถบรรทุกส่วนบุคคล,รถขนส่ง
