เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
พฤศจิกายน,48936,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,1691,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
พฤศจิกายน,16262,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
พฤศจิกายน,5,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
พฤศจิกายน,170,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
พฤศจิกายน,48,6,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
พฤศจิกายน,15,7,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
พฤศจิกายน,60,8,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
พฤศจิกายน,167050,9,2565,รย. 12 รถจักรยานยนต์,รถยนต์
พฤศจิกายน,4734,10,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
พฤศจิกายน,63,11,2565,รย. 14 รถบดถนน,รถยนต์
พฤศจิกายน,37,12,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
พฤศจิกายน,109,13,2565,รย. 16 รถพ่วง,รถยนต์
พฤศจิกายน,109,14,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
พฤศจิกายน,316,15,2565,รถโดยสารประจำทาง,รถขนส่ง
พฤศจิกายน,269,16,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,41,17,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
พฤศจิกายน,2910,18,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
พฤศจิกายน,3518,19,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
