เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
ตุลาคม,34865,1,2567,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ตุลาคม,1540,2,2567,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
ตุลาคม,8627,3,2567,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
ตุลาคม,3,4,2567,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
ตุลาคม,255,5,2567,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
ตุลาคม,14,6,2567,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
ตุลาคม,5,7,2567,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
ตุลาคม,18,8,2567,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
ตุลาคม,160530,9,2567,รย. 12 รถจักรยานยนต์,รถยนต์
ตุลาคม,3896,10,2567,รย. 13 รถแทร็กเตอร์,รถยนต์
ตุลาคม,67,11,2567,รย. 14 รถบดถนน,รถยนต์
ตุลาคม,28,12,2567,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
ตุลาคม,71,13,2567,รย. 16 รถพ่วง,รถยนต์
ตุลาคม,90,14,2567,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
ตุลาคม,91,15,2567,รถโดยสารประจำทาง,รถขนส่ง
ตุลาคม,329,16,2567,รถโดยสารไม่ประจำทาง,รถขนส่ง
ตุลาคม,27,17,2567,รถโดยสารส่วนบุคคล,รถขนส่ง
ตุลาคม,2318,18,2567,รถบรรทุกไม่ประจำทาง,รถขนส่ง
ตุลาคม,2743,19,2567,รถบรรทุกส่วนบุคคล,รถขนส่ง
