เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
มีนาคม,69699,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
มีนาคม,1858,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
มีนาคม,25126,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
มีนาคม,7,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
มีนาคม,122,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
มีนาคม,10,6,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
มีนาคม,1,7,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
มีนาคม,8,8,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
มีนาคม,169628,9,2565,รย. 12 รถจักรยานยนต์,รถยนต์
มีนาคม,7171,10,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
มีนาคม,91,11,2565,รย. 14 รถบดถนน,รถยนต์
มีนาคม,42,12,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
มีนาคม,140,13,2565,รย. 16 รถพ่วง,รถยนต์
มีนาคม,120,14,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
มีนาคม,37,15,2565,รถโดยสารประจำทาง,รถขนส่ง
มีนาคม,188,16,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
มีนาคม,35,17,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
มีนาคม,3449,18,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
มีนาคม,3640,19,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
