ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
" 1,010 ",สำนักงานขนส่งจังหวัดมหาสารคาม,1,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
 705 ,สำนักงานขนส่งจังหวัดมหาสารคาม,2,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 173 ,สำนักงานขนส่งจังหวัดมหาสารคาม,3,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
 132 ,สำนักงานขนส่งจังหวัดมหาสารคาม,4,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 12,042 ",สำนักงานขนส่งจังหวัดมหาสารคาม,5,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
" 2,514 ",สำนักงานขนส่งจังหวัดมหาสารคาม,6,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
" 9,528 ",สำนักงานขนส่งจังหวัดมหาสารคาม,7,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
 120 ,สำนักงานขนส่งจังหวัดมหาสารคาม,8,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
 991 ,สำนักงานขนส่งจังหวัดมหาสารคาม,9,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
 668 ,สำนักงานขนส่งจังหวัดมหาสารคาม,10,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 185 ,สำนักงานขนส่งจังหวัดมหาสารคาม,11,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
 138 ,สำนักงานขนส่งจังหวัดมหาสารคาม,12,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 12,431 ",สำนักงานขนส่งจังหวัดมหาสารคาม,13,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
" 2,898 ",สำนักงานขนส่งจังหวัดมหาสารคาม,14,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
" 9,533 ",สำนักงานขนส่งจังหวัดมหาสารคาม,15,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
 120 ,สำนักงานขนส่งจังหวัดมหาสารคาม,16,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
 941 ,สำนักงานขนส่งจังหวัดมหาสารคาม,17,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
 647 ,สำนักงานขนส่งจังหวัดมหาสารคาม,18,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 147 ,สำนักงานขนส่งจังหวัดมหาสารคาม,19,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
 147 ,สำนักงานขนส่งจังหวัดมหาสารคาม,20,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 12,566 ",สำนักงานขนส่งจังหวัดมหาสารคาม,21,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
" 3,115 ",สำนักงานขนส่งจังหวัดมหาสารคาม,22,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
" 9,451 ",สำนักงานขนส่งจังหวัดมหาสารคาม,23,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
 120 ,สำนักงานขนส่งจังหวัดมหาสารคาม,24,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
 887 ,สำนักงานขนส่งจังหวัดมหาสารคาม,25,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
 613 ,สำนักงานขนส่งจังหวัดมหาสารคาม,26,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 127 ,สำนักงานขนส่งจังหวัดมหาสารคาม,27,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
 147 ,สำนักงานขนส่งจังหวัดมหาสารคาม,28,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 12,892 ",สำนักงานขนส่งจังหวัดมหาสารคาม,29,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
" 3,406 ",สำนักงานขนส่งจังหวัดมหาสารคาม,30,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
" 9,486 ",สำนักงานขนส่งจังหวัดมหาสารคาม,31,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
 120 ,สำนักงานขนส่งจังหวัดมหาสารคาม,32,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
 825 ,สำนักงานขนส่งจังหวัดมหาสารคาม,33,2565,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
