ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
"390,755",สำนักงานขนส่งจังหวัดมหาสารคาม,1,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"44,922",สำนักงานขนส่งจังหวัดมหาสารคาม,2,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,134",สำนักงานขนส่งจังหวัดมหาสารคาม,3,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"66,536",สำนักงานขนส่งจังหวัดมหาสารคาม,4,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,5,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,6,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
45,สำนักงานขนส่งจังหวัดมหาสารคาม,7,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,8,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,9,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,10,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,11,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,12,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"206,940",สำนักงานขนส่งจังหวัดมหาสารคาม,13,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"7,917",สำนักงานขนส่งจังหวัดมหาสารคาม,14,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
94,สำนักงานขนส่งจังหวัดมหาสารคาม,15,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
665,สำนักงานขนส่งจังหวัดมหาสารคาม,16,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถใช้งานเกษตรกรรม,มหาสารคาม,คัน
5,สำนักงานขนส่งจังหวัดมหาสารคาม,17,2561,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
95,สำนักงานขนส่งจังหวัดมหาสารคาม,18,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"431,899",สำนักงานขนส่งจังหวัดมหาสารคาม,19,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"48,005",สำนักงานขนส่งจังหวัดมหาสารคาม,20,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,098",สำนักงานขนส่งจังหวัดมหาสารคาม,21,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"67,286",สำนักงานขนส่งจังหวัดมหาสารคาม,22,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,23,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,24,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
41,สำนักงานขนส่งจังหวัดมหาสารคาม,25,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,26,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,27,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,28,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,29,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,30,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"215,746",สำนักงานขนส่งจังหวัดมหาสารคาม,31,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"8,044",สำนักงานขนส่งจังหวัดมหาสารคาม,32,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
95,สำนักงานขนส่งจังหวัดมหาสารคาม,33,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
660,สำนักงานขนส่งจังหวัดมหาสารคาม,34,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถใช้งานเกษตรกรรม,มหาสารคาม,คัน
6,สำนักงานขนส่งจังหวัดมหาสารคาม,35,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
78,สำนักงานขนส่งจังหวัดมหาสารคาม,36,2562,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"353,431",สำนักงานขนส่งจังหวัดมหาสารคาม,37,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
"51,023",สำนักงานขนส่งจังหวัดมหาสารคาม,38,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,มหาสารคาม,คัน
"2,140",สำนักงานขนส่งจังหวัดมหาสารคาม,39,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,มหาสารคาม,คัน
"67,670",สำนักงานขนส่งจังหวัดมหาสารคาม,40,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บรรทุกส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,41,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สามล้อส่วนบุคคล,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,42,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างระหว่างจังหวัด,มหาสารคาม,คัน
36,สำนักงานขนส่งจังหวัดมหาสารคาม,43,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,44,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์สี่ล้อเล็กรับจ้าง,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,45,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์รับจ้างสามล้อ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,46,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการธุรกิจ,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,47,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการทัศนาจร,มหาสารคาม,คัน
 - ,สำนักงานขนส่งจังหวัดมหาสารคาม,48,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถยนต์บริการให้เช่า,มหาสารคาม,คัน
"223,725",สำนักงานขนส่งจังหวัดมหาสารคาม,49,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์,มหาสารคาม,คัน
"8,006",สำนักงานขนส่งจังหวัดมหาสารคาม,50,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถแทรกเตอร์,มหาสารคาม,คัน
99,สำนักงานขนส่งจังหวัดมหาสารคาม,51,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถบดถนน,มหาสารคาม,คัน
659,สำนักงานขนส่งจังหวัดมหาสารคาม,52,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถใช้งานเกษตรกรรม,มหาสารคาม,คัน
5,สำนักงานขนส่งจังหวัดมหาสารคาม,53,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถพ่วง,มหาสารคาม,คัน
68,สำนักงานขนส่งจังหวัดมหาสารคาม,54,2563,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รถจักรยานยนต์สาธารณะ,มหาสารคาม,คัน
"364,467",สำนักงานขนส่งจังหวัดมหาสารคาม,55,2564,รถจดทะเบียนสะสม ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522,รวมยอด,มหาสารคาม,คัน
