ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
57,สำนักงานขนส่งจังหวัดมหาสารคาม,1,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
31,สำนักงานขนส่งจังหวัดมหาสารคาม,2,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
16,สำนักงานขนส่งจังหวัดมหาสารคาม,3,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
10,สำนักงานขนส่งจังหวัดมหาสารคาม,4,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
663,สำนักงานขนส่งจังหวัดมหาสารคาม,5,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
265,สำนักงานขนส่งจังหวัดมหาสารคาม,6,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
398,สำนักงานขนส่งจังหวัดมหาสารคาม,7,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,8,2561,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
35,สำนักงานขนส่งจังหวัดมหาสารคาม,9,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
15,สำนักงานขนส่งจังหวัดมหาสารคาม,10,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
15,สำนักงานขนส่งจังหวัดมหาสารคาม,11,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
5,สำนักงานขนส่งจังหวัดมหาสารคาม,12,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
747,สำนักงานขนส่งจังหวัดมหาสารคาม,13,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
340,สำนักงานขนส่งจังหวัดมหาสารคาม,14,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
407,สำนักงานขนส่งจังหวัดมหาสารคาม,15,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,16,2562,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
29,สำนักงานขนส่งจังหวัดมหาสารคาม,17,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
15,สำนักงานขนส่งจังหวัดมหาสารคาม,18,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
7,สำนักงานขนส่งจังหวัดมหาสารคาม,19,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
7,สำนักงานขนส่งจังหวัดมหาสารคาม,20,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
653,สำนักงานขนส่งจังหวัดมหาสารคาม,21,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
273,สำนักงานขนส่งจังหวัดมหาสารคาม,22,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
380,สำนักงานขนส่งจังหวัดมหาสารคาม,23,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,24,2563,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
13,สำนักงานขนส่งจังหวัดมหาสารคาม,25,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
6,สำนักงานขนส่งจังหวัดมหาสารคาม,26,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
4,สำนักงานขนส่งจังหวัดมหาสารคาม,27,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
3,สำนักงานขนส่งจังหวัดมหาสารคาม,28,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
699,สำนักงานขนส่งจังหวัดมหาสารคาม,29,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
320,สำนักงานขนส่งจังหวัดมหาสารคาม,30,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
379,สำนักงานขนส่งจังหวัดมหาสารคาม,31,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
-,สำนักงานขนส่งจังหวัดมหาสารคาม,32,2564,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
12,สำนักงานขนส่งจังหวัดมหาสารคาม,33,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
6,สำนักงานขนส่งจังหวัดมหาสารคาม,34,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
,สำนักงานขนส่งจังหวัดมหาสารคาม,35,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
6,สำนักงานขนส่งจังหวัดมหาสารคาม,36,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
803,สำนักงานขนส่งจังหวัดมหาสารคาม,37,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
443,สำนักงานขนส่งจังหวัดมหาสารคาม,38,2565,รถจดทะเบียนใหม่ ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
