LPG ดีเซล ไฟฟ้า,ไม่ใช้เชื้อเพลิง,เบนซิน ไฟฟ้า,ดีเซล,LNG,LPG เบนซิน ไฟฟ้า,LPGและเบนซิน,CNG ดีเซล,CNG LPG,รวม,CNG LPG ดีเซล,เบนซิน เอทานอล,LPG ดีเซล ไฟฟ้าปลั๊กอิน,เบนซิน ไฟฟ้าปลั๊กอิน,ประเภท,CNG LPG เบนซิน,CNG เบนซิน,ไม่ระบุ,CNG,ไฟฟ้า,ดีเซล ไฟฟ้าปลั๊กอิน,ดีเซล ไฟฟ้า,ก๊าซ LPG,_id,เบนซิน,LPGและดีเซล
 -   ,56,390,"2,042", -   , -   ,1, -   , -   ,"21,838", -   , -   , -   ,38,รวมทั้งสิ้น, -   , -   , -   , -   ,945, -   , -   , -   ,1,"18,366", -   
 -   , -   ,390,"1,881", -   , -   ,1, -   , -   ,"21,620", -   , -   , -   ,38,ก. รวมรถตามกฎหมายว่าด้วยรถยนต์, -   , -   , -   , -   ,945, -   , -   , -   ,2,"18,365", -   
 -   , -   ,390,703, -   , -   ,1, -   , -   ,"1,966", -   , -   , -   ,38,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน, -   , -   , -   , -   ,284, -   , -   , -   ,3,550, -   
 -   , -   , -   ,28, -   , -   , -   , -   , -   ,28, -   , -   , -   , -   ,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน, -   , -   , -   , -   , -   , -   , -   , -   ,4, -   , -   
 -   , -   , -   ,399, -   , -   , -   , -   , -   ,401, -   , -   , -   , -   ,รย.3 รถยนต์บรรทุกส่วนบุคคล, -   , -   , -   , -   , -   , -   , -   , -   ,5,2, -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.4 รถยนต์สามล้อส่วนบุคคล, -   , -   , -   , -   , -   , -   , -   , -   ,6, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.5 รถยนต์รับจ้างระหว่างจังหวัด, -   , -   , -   , -   , -   , -   , -   , -   ,7, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน, -   , -   , -   , -   , -   , -   , -   , -   ,8, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,   -  บุคคลธรรมดา, -   , -   , -   , -   , -   , -   , -   , -   ,9, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,   -  นิติบุคคล, -   , -   , -   , -   , -   , -   , -   , -   ,10, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.7 รถยนต์สี่ล้อเล็กรับจ้าง, -   , -   , -   , -   , -   , -   , -   , -   ,11, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.8 รถยนต์รับจ้างสามล้อ, -   , -   , -   , -   , -   , -   , -   , -   ,12, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.9 รถยนต์บริการธุรกิจ, -   , -   , -   , -   , -   , -   , -   , -   ,13, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.10 รถยนต์บริการทัศนาจร, -   , -   , -   , -   , -   , -   , -   , -   ,14, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,รย.11 รถยนต์บริการให้เช่า, -   , -   , -   , -   , -   , -   , -   , -   ,15, -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   ,"18,462", -   , -   , -   , -   ,รย.12 รถจักรยานยนต์ส่วนบุคคล, -   , -   , -   , -   ,661, -   , -   , -   ,16,"17,801", -   
 -   , -   , -   ,744, -   , -   , -   , -   , -   ,744, -   , -   , -   , -   ,รย.13 รถแทรกเตอร์, -   , -   , -   , -   , -   , -   , -   , -   ,17, -   , -   
